Jornada,Fecha,Hora,Local,Resultado,Visitante,Asistencia,Estadio
Jornada 1 (1930/1931),07.12.1930,,Real Madrid,-,Espanyol,2:0 (1:0),
Jornada 1 (1930/1931),,,Real Sociedad,-,Alavés,2:2 (1:1),
Jornada 1 (1930/1931),,,Arenas de Getxo,-,Real Unión,1:2 (1:2),
Jornada 1 (1930/1931),,,Real Racing,-,CE Europa,2:1 (0:1),
Jornada 1 (1930/1931),,,Barcelona,-,Athletic,6:3 (3:1),
Jornada 2 (1930/1931),14.12.1930,,CE Europa,-,Barcelona,2:2 (1:2),
Jornada 2 (1930/1931),,,Athletic,-,Real Sociedad,6:1 (3:1),
Jornada 2 (1930/1931),,,Espanyol,-,Real Racing,4:1 (3:0),
Jornada 2 (1930/1931),,,Alavés,-,Arenas de Getxo,3:2 (2:2),
Jornada 2 (1930/1931),27.01.1931,,Real Unión,-,Real Madrid,1:1 (0:1),
Jornada 3 (1930/1931),21.12.1930,,Arenas de Getxo,-,Real Madrid,4:1 (2:0),
Jornada 3 (1930/1931),,,CE Europa,-,Real Unión,2:1 (2:0),
Jornada 3 (1930/1931),,,Alavés,-,Espanyol,4:1 (0:0),
Jornada 3 (1930/1931),,,Real Sociedad,-,Barcelona,4:1 (4:1),
Jornada 3 (1930/1931),,,Real Racing,-,Athletic,4:1 (1:1),
Jornada 4 (1930/1931),25.12.1930,,Real Madrid,-,CE Europa,3:1 (3:0),
Jornada 4 (1930/1931),28.12.1930,,Real Unión,-,Real Sociedad,2:4 (1:2),
Jornada 4 (1930/1931),,,Barcelona,-,Real Racing,1:1 (0:1),
Jornada 4 (1930/1931),,,Espanyol,-,Arenas de Getxo,5:0 (0:0),
Jornada 4 (1930/1931),,,Athletic,-,Alavés,7:1 (4:1),
Jornada 5 (1930/1931),04.01.1931,,Real Madrid,-,Alavés,1:0 (1:0),
Jornada 5 (1930/1931),,,CE Europa,-,Athletic,2:1 (2:1),
Jornada 5 (1930/1931),,,Arenas de Getxo,-,Barcelona,5:0 (3:0),
Jornada 5 (1930/1931),,,Real Racing,-,Real Sociedad,2:5 (2:1),
Jornada 5 (1930/1931),,,Real Unión,-,Espanyol,6:1 (2:0),
Jornada 6 (1930/1931),11.01.1931,,Real Racing,-,Real Madrid,3:0 (1:0),
Jornada 6 (1930/1931),,,Barcelona,-,Espanyol,6:2 (4:1),
Jornada 6 (1930/1931),,,Athletic,-,Arenas de Getxo,5:2 (4:1),
Jornada 6 (1930/1931),,,Alavés,-,Real Unión,3:1 (0:0),
Jornada 6 (1930/1931),,,Real Sociedad,-,CE Europa,3:1 (3:1),
Jornada 7 (1930/1931),18.01.1931,,Arenas de Getxo,-,Real Sociedad,1:3 (1:0),
Jornada 7 (1930/1931),,,Alavés,-,Real Racing,2:5 (1:1),
Jornada 7 (1930/1931),,,Real Madrid,-,Athletic,0:6 (0:4),
Jornada 7 (1930/1931),,,Real Unión,-,Barcelona,1:1 (1:1),
Jornada 7 (1930/1931),,,Espanyol,-,CE Europa,4:0 (1:0),
Jornada 8 (1930/1931),25.01.1931,,Real Sociedad,-,Real Madrid,2:1 (1:1),
Jornada 8 (1930/1931),,,Athletic,-,Espanyol,5:1 (3:0),
Jornada 8 (1930/1931),,,CE Europa,-,Arenas de Getxo,1:4 (1:2),
Jornada 8 (1930/1931),,,Barcelona,-,Alavés,1:1 (1:1),
Jornada 8 (1930/1931),,,Real Racing,-,Real Unión,4:1 (3:0),
Jornada 9 (1930/1931),01.02.1931,,Alavés,-,CE Europa,2:0 (1:0),
Jornada 9 (1930/1931),,,Real Madrid,-,Barcelona,0:0 (0:0),
Jornada 9 (1930/1931),,,Real Unión,-,Athletic,2:3 (0:2),
Jornada 9 (1930/1931),,,Espanyol,-,Real Sociedad,1:0 (1:0),
Jornada 9 (1930/1931),,,Arenas de Getxo,-,Real Racing,4:2 (1:1),
Jornada 10 (1930/1931),08.02.1931,,Athletic,-,Barcelona,12:1 (6:1),
Jornada 10 (1930/1931),,,Alavés,-,Real Sociedad,1:2 (1:1),
Jornada 10 (1930/1931),,,CE Europa,-,Real Racing,1:2 (1:2),
Jornada 10 (1930/1931),,,Real Unión,-,Arenas de Getxo,2:2 (1:2),
Jornada 10 (1930/1931),,,Espanyol,-,Real Madrid,1:1 (1:0),
Jornada 11 (1930/1931),15.02.1931,,Real Sociedad,-,Athletic,1:0 (1:0),
Jornada 11 (1930/1931),,,Real Racing,-,Espanyol,4:0 (1:0),
Jornada 11 (1930/1931),,,Arenas de Getxo,-,Alavés,1:1 (1:0),
Jornada 11 (1930/1931),,,Real Madrid,-,Real Unión,3:0 (1:0),
Jornada 11 (1930/1931),,,Barcelona,-,CE Europa,0:2 (0:2),
Jornada 12 (1930/1931),22.02.1931,,Barcelona,-,Real Sociedad,5:1 (4:1),
Jornada 12 (1930/1931),,,Real Unión,-,CE Europa,4:3 (1:1),
Jornada 12 (1930/1931),,,Espanyol,-,Alavés,2:0 (2:0),
Jornada 12 (1930/1931),,,Athletic,-,Real Racing,7:1 (3:1),
Jornada 12 (1930/1931),,,Real Madrid,-,Arenas de Getxo,1:2 (0:1),
Jornada 13 (1930/1931),01.03.1931,,CE Europa,-,Real Madrid,0:3 (0:1),
Jornada 13 (1930/1931),,,Real Racing,-,Barcelona,0:1 (0:1),
Jornada 13 (1930/1931),,,Alavés,-,Athletic,1:4 (1:1),
Jornada 13 (1930/1931),,,Arenas de Getxo,-,Espanyol,1:0 (1:0),
Jornada 13 (1930/1931),,,Real Sociedad,-,Real Unión,3:3 (2:3),
Jornada 14 (1930/1931),08.03.1931,,Real Sociedad,-,Real Racing,4:7 (3:4),
Jornada 14 (1930/1931),,,Athletic,-,CE Europa,4:1 (3:0),
Jornada 14 (1930/1931),,,Espanyol,-,Real Unión,4:2 (1:1),
Jornada 14 (1930/1931),,,Alavés,-,Real Madrid,2:0 (1:0),
Jornada 14 (1930/1931),,,Barcelona,-,Arenas de Getxo,2:0 (1:0),
Jornada 15 (1930/1931),14.03.1931,,CE Europa,-,Real Sociedad,2:1 (1:1),
Jornada 15 (1930/1931),15.03.1931,,Arenas de Getxo,-,Athletic,3:2 (2:0),
Jornada 15 (1930/1931),,,Real Madrid,-,Real Racing,0:0 (0:0),
Jornada 15 (1930/1931),,,Real Unión,-,Alavés,4:1 (2:1),
Jornada 15 (1930/1931),17.03.1931,,Espanyol,-,Barcelona,4:4 (3:3),
Jornada 16 (1930/1931),22.03.1931,,Real Sociedad,-,Arenas de Getxo,4:1 (2:1),
Jornada 16 (1930/1931),,,Real Racing,-,Alavés,4:0 (3:0),
Jornada 16 (1930/1931),,,CE Europa,-,Espanyol,3:1 (1:0),
Jornada 16 (1930/1931),,,Athletic,-,Real Madrid,2:4 (2:3),
Jornada 16 (1930/1931),,,Barcelona,-,Real Unión,5:3 (3:0),
Jornada 17 (1930/1931),29.03.1931,,Alavés,-,Barcelona,1:1 (1:0),
Jornada 17 (1930/1931),,,Espanyol,-,Athletic,0:4 (0:3),
Jornada 17 (1930/1931),,,Real Madrid,-,Real Sociedad,2:0 (1:0),
Jornada 17 (1930/1931),,,Real Unión,-,Real Racing,4:3 (3:3),
Jornada 17 (1930/1931),,,Arenas de Getxo,-,CE Europa,1:0 (0:0),
Jornada 18 (1930/1931),05.04.1931,,Athletic,-,Real Unión,1:2 (0:1),
