Jornada,Fecha,Hora,Local,Resultado,Visitante,Asistencia,Estadio
Jornada 1 (1984/1985),01.09.1984,,Espanyol,-,Atlético,0:0 (0:0),
Jornada 1 (1984/1985),,,Athletic,-,Valladolid,1:1 (0:1),
Jornada 1 (1984/1985),,,Elche,-,Valencia,0:1 (0:0),
Jornada 1 (1984/1985),02.09.1984,,Real Madrid,-,Barcelona,0:3 (0:0),
Jornada 1 (1984/1985),,,Málaga,-,Sevilla,0:1 (0:1),
Jornada 1 (1984/1985),,,Betis,-,Real Sociedad,0:0 (0:0),
Jornada 1 (1984/1985),,,Real Racing,-,Sporting,1:0 (1:0),
Jornada 1 (1984/1985),,,Zaragoza,-,Hércules CF,0:1 (0:0),
Jornada 1 (1984/1985),,,Osasuna,-,Real Murcia,2:0 (1:0),
Jornada 2 (1984/1985),09.09.1984,,Sevilla,-,Athletic,3:0 (2:0),
Jornada 2 (1984/1985),,,Atlético,-,Osasuna,3:0 (0:0),
Jornada 2 (1984/1985),,,Hércules CF,-,Elche,1:0 (1:0),
Jornada 2 (1984/1985),,,Real Sociedad,-,Málaga,0:1 (0:1),
Jornada 2 (1984/1985),,,Valladolid,-,Real Racing,1:0 (0:0),
Jornada 2 (1984/1985),,,Real Murcia,-,Betis,0:1 (0:0),
Jornada 2 (1984/1985),,,Valencia,-,Espanyol,5:1 (2:0),
Jornada 2 (1984/1985),,,Sporting,-,Real Madrid,1:1 (1:1),
Jornada 2 (1984/1985),,,Barcelona,-,Zaragoza,4:0 (2:0),
Jornada 3 (1984/1985),23.09.1984,,Athletic,-,Real Racing,1:0 (0:0),
Jornada 3 (1984/1985),,,Barcelona,-,Espanyol,1:0 (1:0),
Jornada 3 (1984/1985),,,Hércules CF,-,Osasuna,1:1 (0:1),
Jornada 3 (1984/1985),,,Sporting,-,Elche,2:0 (1:0),
Jornada 3 (1984/1985),,,Real Murcia,-,Málaga,4:0 (3:0),
Jornada 3 (1984/1985),,,Sevilla,-,Real Madrid,1:0 (0:0),
Jornada 3 (1984/1985),,,Atlético,-,Real Sociedad,2:1 (2:0),
Jornada 3 (1984/1985),,,Valladolid,-,Zaragoza,1:1 (0:0),
Jornada 3 (1984/1985),,,Valencia,-,Betis,0:1 (0:1),
Jornada 4 (1984/1985),29.09.1984,,Real Sociedad,-,Hércules CF,4:0 (2:0),
Jornada 4 (1984/1985),,,Betis,-,Barcelona,1:2 (1:2),
