Jornada,Fecha,Hora,Local,Resultado,Visitante,Asistencia,Estadio
Jornada 1,12.09.2020,16:00,Eibar,-,Celta,0:0 (0:0),
Jornada 1,,18:30,Granada,-,Athletic,2:0 (0:0),
Jornada 1,,21:00,Cádiz CF,-,Osasuna,0:2 (0:1),
Jornada 1,13.09.2020,14:00,Alavés,-,Betis,0:1 (0:0),
Jornada 1,,16:00,Valladolid,-,Real Sociedad,1:1 (1:0),
Jornada 1,,18:30,Villarreal,-,Huesca,1:1 (0:1),
Jornada 1,,21:00,Valencia,-,Levante,4:2 (2:2),
Jornada 1,12.01.2021,21:30,Atlético,-,Sevilla,2:0 (1:0),
Jornada 1,09.02.2021,21:00,Real Madrid,-,Getafe,2:0 (0:0),
Jornada 1,24.02.2021,19:00,Barcelona,-,Elche,3:0 (0:0),
Jornada 2,19.09.2020,16:00,Villarreal,-,Eibar,2:1 (0:0),
Jornada 2,,18:30,Getafe,-,Osasuna,1:0 (0:0),
Jornada 2,,21:00,Celta,-,Valencia,2:1 (1:0),
Jornada 2,20.09.2020,16:00,Huesca,-,Cádiz CF,0:2 (0:1),
Jornada 2,,18:30,Betis,-,Valladolid,2:0 (2:0),
Jornada 2,,18:30,Granada,-,Alavés,2:1 (1:1),
Jornada 2,,21:00,Real Sociedad,-,Real Madrid,0:0 (0:0),
Jornada 2,06.01.2021,21:00,Athletic,-,Barcelona,2:3 (1:2),
Jornada 2,17.02.2021,19:00,Levante,-,Atlético,1:1 (1:1),
Jornada 2,17.03.2021,19:00,Sevilla,-,Elche,2:0 (1:0),
Jornada 3,26.09.2020,13:00,Alavés,-,Getafe,0:0 (0:0),
Jornada 3,,16:00,Valencia,-,Huesca,1:1 (1:0),
Jornada 3,,18:30,Elche,-,Real Sociedad,0:3 (0:0),
Jornada 3,,21:00,Betis,-,Real Madrid,2:3 (2:1),
Jornada 3,27.09.2020,12:00,Osasuna,-,Levante,1:3 (1:1),
Jornada 3,,14:00,Eibar,-,Athletic,1:2 (0:1),
Jornada 3,,16:00,Atlético,-,Granada,6:1 (1:0),
Jornada 3,,18:30,Cádiz CF,-,Sevilla,1:3 (0:0),
Jornada 3,,18:30,Valladolid,-,Celta,1:1 (0:1),
Jornada 3,,21:00,Barcelona,-,Villarreal,4:0 (4:0),
Jornada 4,29.09.2020,19:00,Real Sociedad,-,Valencia,0:1 (0:0),
Jornada 4,,21:30,Getafe,-,Betis,3:0 (3:0),
Jornada 4,30.09.2020,19:00,Huesca,-,Atlético,0:0 (0:0),
Jornada 4,,19:00,Villarreal,-,Alavés,3:1 (2:1),
Jornada 4,,21:30,Eibar,-,Elche,0:1 (0:1),
Jornada 4,,21:30,Real Madrid,-,Valladolid,1:0 (0:0),
Jornada 4,01.10.2020,19:00,Athletic,-,Cádiz CF,0:1 (0:0),
Jornada 4,,19:00,Sevilla,-,Levante,1:0 (0:0),
Jornada 4,,21:30,Celta,-,Barcelona,0:3 (0:1),
Jornada 4,12.01.2021,19:00,Granada,-,Osasuna,2:0 (2:0),
Jornada 5,03.10.2020,13:00,Valladolid,-,Eibar,1:2 (1:1),
Jornada 5,,16:00,Atlético,-,Villarreal,0:0 (0:0),
Jornada 5,,18:30,Real Sociedad,-,Getafe,3:0 (1:0),
Jornada 5,,18:30,Elche,-,Huesca,0:0 (0:0),
Jornada 5,,21:00,Valencia,-,Betis,0:2 (0:1),
Jornada 5,04.10.2020,12:00,Osasuna,-,Celta,2:0 (1:0),
Jornada 5,,14:00,Alavés,-,Athletic,1:0 (0:0),
Jornada 5,,16:00,Levante,-,Real Madrid,0:2 (0:1),
Jornada 5,,18:30,Cádiz CF,-,Granada,1:1 (0:1),
Jornada 5,,21:00,Barcelona,-,Sevilla,1:1 (1:1),
Jornada 6,17.10.2020,13:00,Granada,-,Sevilla,1:0 (0:0),
Jornada 6,,16:00,Celta,-,Atlético,0:2 (0:1),
Jornada 6,,18:30,Real Madrid,-,Cádiz CF,0:1 (0:1),
Jornada 6,,21:00,Getafe,-,Barcelona,1:0 (0:0),
Jornada 6,18.10.2020,12:00,Eibar,-,Osasuna,0:0 (0:0),
Jornada 6,,14:00,Athletic,-,Levante,2:0 (0:0),
Jornada 6,,16:00,Villarreal,-,Valencia,2:1 (1:1),
Jornada 6,,18:30,Alavés,-,Elche,0:2 (0:1),
Jornada 6,,18:30,Huesca,-,Valladolid,2:2 (0:1),
Jornada 6,,21:00,Betis,-,Real Sociedad,0:3 (0:1),
Jornada 7,23.10.2020,21:00,Elche,-,Valencia,2:1 (2:0),
Jornada 7,24.10.2020,16:00,Barcelona,-,Real Madrid,1:3 (1:1),
Jornada 7,,18:30,Osasuna,-,Athletic,1:0 (0:0),
Jornada 7,,18:30,Sevilla,-,Eibar,0:1 (0:1),
Jornada 7,,21:00,Atlético,-,Betis,2:0 (0:0),
Jornada 7,25.10.2020,14:00,Valladolid,-,Alavés,0:2 (0:0),
Jornada 7,,16:00,Cádiz CF,-,Villarreal,0:0 (0:0),
Jornada 7,,18:30,Getafe,-,Granada,0:1 (0:1),
Jornada 7,,21:00,Real Sociedad,-,Huesca,4:1 (1:0),
Jornada 7,26.10.2020,21:00,Levante,-,Celta,1:1 (0:0),
Jornada 8,30.10.2020,21:00,Eibar,-,Cádiz CF,0:2 (0:2),
Jornada 8,31.10.2020,14:00,Real Madrid,-,Huesca,4:1 (2:0),
Jornada 8,,16:15,Athletic,-,Sevilla,2:1 (0:1),
Jornada 8,,18:30,Osasuna,-,Atlético,1:3 (0:1),
Jornada 8,,21:00,Alavés,-,Barcelona,1:1 (1:0),
Jornada 8,01.11.2020,14:00,Betis,-,Elche,3:1 (2:0),
Jornada 8,,16:00,Celta,-,Real Sociedad,1:4 (0:2),
Jornada 8,,18:30,Granada,-,Levante,1:1 (1:1),
Jornada 8,,21:00,Valencia,-,Getafe,2:2 (1:0),
Jornada 8,02.11.2020,21:00,Villarreal,-,Valladolid,2:0 (2:0),
Jornada 9,06.11.2020,21:00,Elche,-,Celta,1:1 (1:1),
Jornada 9,07.11.2020,14:00,Huesca,-,Eibar,1:1 (0:1),
Jornada 9,,16:15,Barcelona,-,Betis,5:2 (1:1),
Jornada 9,,18:30,Sevilla,-,Osasuna,1:0 (0:0),
Jornada 9,,21:00,Atlético,-,Cádiz CF,4:0 (2:0),
Jornada 9,08.11.2020,14:00,Getafe,-,Villarreal,1:3 (1:2),
Jornada 9,,16:15,Real Sociedad,-,Granada,2:0 (2:0),
Jornada 9,,18:30,Levante,-,Alavés,1:1 (0:1),
