Jornada,Fecha,Hora,Local,Resultado,Visitante,Asistencia,Estadio
Jornada 1 (1968/1969),14.09.1968,,Barcelona,-,Real Sociedad,0:0 (0:0),
Jornada 1 (1968/1969),15.09.1968,,Zaragoza,-,Athletic,0:2 (0:1),
Jornada 1 (1968/1969),,,Real Madrid,-,Espanyol,3:1 (2:1),
Jornada 1 (1968/1969),,,Pontevedra CF,-,Valencia,2:0 (1:0),
Jornada 1 (1968/1969),,,Las Palmas,-,Atlético,2:1 (2:0),
Jornada 1 (1968/1969),,,Málaga,-,Deportivo,3:1 (1:0),
Jornada 1 (1968/1969),,,Granada,-,CE Sabadell,0:1 (0:0),
Jornada 1 (1968/1969),,,Elche,-,Córdoba,4:1 (1:1),
Jornada 2 (1968/1969),21.09.1968,,Atlético,-,Barcelona,0:1 (0:1),
Jornada 2 (1968/1969),,,Espanyol,-,Las Palmas,1:2 (1:0),
Jornada 2 (1968/1969),22.09.1968,,Córdoba,-,Málaga,2:2 (1:1),
Jornada 2 (1968/1969),,,Real Sociedad,-,Pontevedra CF,0:0 (0:0),
Jornada 2 (1968/1969),,,Athletic,-,Elche,1:1 (0:0),
Jornada 2 (1968/1969),,,Deportivo,-,Real Madrid,2:4 (1:0),
Jornada 2 (1968/1969),,,CE Sabadell,-,Zaragoza,1:0 (0:0),
Jornada 2 (1968/1969),,,Valencia,-,Granada,4:1 (2:0),
Jornada 3 (1968/1969),28.09.1968,,Granada,-,Real Sociedad,0:0 (0:0),
Jornada 3 (1968/1969),,,Málaga,-,Athletic,4:0 (3:0),
Jornada 3 (1968/1969),29.09.1968,,Las Palmas,-,Barcelona,0:0 (0:0),
Jornada 3 (1968/1969),,,Real Madrid,-,Córdoba,2:0 (1:0),
Jornada 3 (1968/1969),,,Elche,-,CE Sabadell,3:0 (2:0),
Jornada 3 (1968/1969),,,Espanyol,-,Deportivo,4:0 (1:0),
Jornada 3 (1968/1969),,,Zaragoza,-,Valencia,3:1 (2:1),
Jornada 3 (1968/1969),,,Pontevedra CF,-,Atlético,0:0 (0:0),
Jornada 4 (1968/1969),06.10.1968,,CE Sabadell,-,Málaga,2:1 (1:0),
Jornada 4 (1968/1969),,,Valencia,-,Elche,1:0 (0:0),
Jornada 4 (1968/1969),,,Atlético,-,Granada,1:0 (0:0),
Jornada 4 (1968/1969),,,Real Sociedad,-,Zaragoza,2:1 (1:0),
Jornada 4 (1968/1969),,,Athletic,-,Real Madrid,0:1 (0:1),
Jornada 4 (1968/1969),,,Córdoba,-,Espanyol,5:0 (2:0),
Jornada 4 (1968/1969),,,Las Palmas,-,Deportivo,2:1 (0:0),
Jornada 4 (1968/1969),,,Barcelona,-,Pontevedra CF,1:0 (0:0),
Jornada 5 (1968/1969),13.10.1968,,Málaga,-,Valencia,4:1 (1:1),
Jornada 5 (1968/1969),,,Deportivo,-,Córdoba,1:0 (0:0),
Jornada 5 (1968/1969),,,Real Madrid,-,CE Sabadell,5:3 (2:1),
Jornada 5 (1968/1969),,,Pontevedra CF,-,Las Palmas,3:0 (1:0),
Jornada 5 (1968/1969),,,Zaragoza,-,Atlético,2:0 (0:0),
Jornada 5 (1968/1969),,,Espanyol,-,Athletic,2:0 (2:0),
Jornada 5 (1968/1969),,,Granada,-,Barcelona,1:0 (0:0),
Jornada 5 (1968/1969),,,Elche,-,Real Sociedad,0:0 (0:0),
Jornada 6 (1968/1969),20.10.1968,,Barcelona,-,Zaragoza,4:0 (2:0),
Jornada 6 (1968/1969),,,Atlético,-,Elche,0:0 (0:0),
Jornada 6 (1968/1969),,,Real Sociedad,-,Málaga,1:0 (1:0),
Jornada 6 (1968/1969),,,Pontevedra CF,-,Granada,1:0 (0:0),
Jornada 6 (1968/1969),,,CE Sabadell,-,Espanyol,1:0 (1:0),
Jornada 6 (1968/1969),,,Valencia,-,Real Madrid,0:1 (0:0),
Jornada 6 (1968/1969),,,Athletic,-,Deportivo,2:3 (1:1),
Jornada 6 (1968/1969),,,Córdoba,-,Las Palmas,3:4 (1:1),
Jornada 7 (1968/1969),03.11.1968,,Málaga,-,Atlético,0:0 (0:0),
Jornada 7 (1968/1969),,,Zaragoza,-,Pontevedra CF,2:2 (0:1),
Jornada 7 (1968/1969),,,Deportivo,-,CE Sabadell,1:1 (1:1),
Jornada 7 (1968/1969),,,Real Madrid,-,Real Sociedad,2:1 (2:1),
Jornada 7 (1968/1969),,,Espanyol,-,Valencia,0:1 (0:1),
Jornada 7 (1968/1969),,,Córdoba,-,Athletic,1:1 (1:1),
