Jornada,Fecha,Hora,Local,Resultado,Visitante,Asistencia,Estadio
Jornada 1 (1946/1947),22.09.1946,,Athletic,-,Espanyol,4:1 (2:1),
Jornada 1 (1946/1947),,,Deportivo,-,Sevilla,0:0 (0:0),
Jornada 1 (1946/1947),,,Barcelona,-,Celta,1:1 (0:0),
Jornada 1 (1946/1947),,,Atlético,-,Sporting,2:2 (0:1),
Jornada 1 (1946/1947),,,Valencia,-,CE Sabadell,1:0 (0:0),
Jornada 1 (1946/1947),,,Real Murcia,-,CD Castellón,2:0 (1:0),
Jornada 1 (1946/1947),,,Real Oviedo,-,Real Madrid,0:0 (0:0),
Jornada 2 (1946/1947),29.09.1946,,Sporting,-,Real Oviedo,1:1 (0:1),
Jornada 2 (1946/1947),,,Espanyol,-,Deportivo,3:1 (2:0),
Jornada 2 (1946/1947),,,CE Sabadell,-,Atlético,1:1 (1:1),
Jornada 2 (1946/1947),,,Celta,-,Valencia,1:2 (0:0),
Jornada 2 (1946/1947),,,CD Castellón,-,Athletic,2:2 (2:1),
Jornada 2 (1946/1947),,,Sevilla,-,Barcelona,3:1 (3:1),
Jornada 2 (1946/1947),,,Real Madrid,-,Real Murcia,5:0 (3:0),
Jornada 3 (1946/1947),06.10.1946,,Athletic,-,Real Madrid,2:0 (1:0),
Jornada 3 (1946/1947),,,Deportivo,-,Barcelona,3:2 (1:1),
Jornada 3 (1946/1947),,,Valencia,-,Sevilla,4:1 (4:1),
Jornada 3 (1946/1947),,,Atlético,-,Celta,3:2 (1:2),
Jornada 3 (1946/1947),,,Real Murcia,-,Sporting,5:4 (3:3),
Jornada 3 (1946/1947),,,Real Oviedo,-,CE Sabadell,0:1 (0:0),
Jornada 3 (1946/1947),,,Espanyol,-,CD Castellón,5:0 (3:0),
Jornada 4 (1946/1947),13.10.1946,,Sporting,-,Athletic,1:0 (0:0),
Jornada 4 (1946/1947),,,Celta,-,Real Oviedo,3:3 (0:3),
Jornada 4 (1946/1947),,,CE Sabadell,-,Real Murcia,1:1 (0:0),
Jornada 4 (1946/1947),,,CD Castellón,-,Deportivo,1:1 (1:1),
Jornada 4 (1946/1947),,,Real Madrid,-,Espanyol,2:0 (2:0),
Jornada 4 (1946/1947),,,Sevilla,-,Atlético,1:2 (1:1),
Jornada 4 (1946/1947),,,Barcelona,-,Valencia,2:1 (1:1),
Jornada 5 (1946/1947),20.10.1946,,Athletic,-,CE Sabadell,2:1 (2:0),
Jornada 5 (1946/1947),,,CD Castellón,-,Real Madrid,2:3 (1:1),
Jornada 5 (1946/1947),,,Atlético,-,Barcelona,2:2 (1:0),
Jornada 5 (1946/1947),,,Deportivo,-,Valencia,0:0 (0:0),
Jornada 5 (1946/1947),,,Real Oviedo,-,Sevilla,4:2 (2:1),
Jornada 5 (1946/1947),,,Real Murcia,-,Celta,0:2 (0:1),
Jornada 5 (1946/1947),,,Espanyol,-,Sporting,2:1 (2:1),
Jornada 6 (1946/1947),27.10.1946,,Sporting,-,CD Castellón,4:0 (1:0),
Jornada 6 (1946/1947),,,Sevilla,-,Real Murcia,1:1 (1:0),
Jornada 6 (1946/1947),,,Real Madrid,-,Deportivo,5:0 (2:0),
Jornada 6 (1946/1947),,,Barcelona,-,Real Oviedo,2:0 (0:0),
Jornada 6 (1946/1947),,,Valencia,-,Atlético,0:2 (0:0),
Jornada 6 (1946/1947),,,Celta,-,Athletic,3:2 (3:2),
Jornada 6 (1946/1947),,,CE Sabadell,-,Espanyol,3:1 (3:0),
Jornada 7 (1946/1947),03.11.1946,,Real Madrid,-,Sporting,4:0 (2:0),
Jornada 7 (1946/1947),,,Deportivo,-,Atlético,1:0 (0:0),
Jornada 7 (1946/1947),,,CD Castellón,-,CE Sabadell,4:0 (2:0),
Jornada 7 (1946/1947),,,Real Murcia,-,Barcelona,0:1 (0:0),
Jornada 7 (1946/1947),,,Espanyol,-,Celta,2:0 (0:0),
Jornada 7 (1946/1947),,,Real Oviedo,-,Valencia,4:1 (1:1),
Jornada 7 (1946/1947),,,Athletic,-,Sevilla,5:0 (2:0),
Jornada 8 (1946/1947),10.11.1946,,Valencia,-,Real Murcia,1:2 (1:2),
Jornada 8 (1946/1947),,,Celta,-,CD Castellón,0:0 (0:0),
Jornada 8 (1946/1947),,,Sporting,-,Deportivo,2:0 (1:0),
Jornada 8 (1946/1947),,,Atlético,-,Real Oviedo,5:2 (4:0),
Jornada 8 (1946/1947),,,Sevilla,-,Espanyol,3:1 (0:1),
Jornada 8 (1946/1947),,,Barcelona,-,Athletic,2:1 (1:1),
Jornada 8 (1946/1947),,,CE Sabadell,-,Real Madrid,3:3 (2:2),
Jornada 9 (1946/1947),17.11.1946,,Athletic,-,Valencia,0:1 (0:1),
Jornada 9 (1946/1947),,,Real Murcia,-,Atlético,1:2 (1:2),
Jornada 9 (1946/1947),,,CD Castellón,-,Sevilla,1:4 (0:3),
Jornada 9 (1946/1947),,,Real Madrid,-,Celta,3:3 (2:0),
Jornada 9 (1946/1947),,,Deportivo,-,Real Oviedo,2:2 (0:1),
Jornada 9 (1946/1947),,,Sporting,-,CE Sabadell,3:1 (3:1),
Jornada 9 (1946/1947),,,Espanyol,-,Barcelona,0:1 (0:0),
Jornada 10 (1946/1947),24.11.1946,,CE Sabadell,-,Deportivo,3:0 (0:0),
Jornada 10 (1946/1947),,,Celta,-,Sporting,6:2 (6:0),
Jornada 10 (1946/1947),,,Real Oviedo,-,Real Murcia,3:0 (2:0),
Jornada 10 (1946/1947),,,Atlético,-,Athletic,4:0 (2:0),
Jornada 10 (1946/1947),,,Sevilla,-,Real Madrid,5:0 (2:0),
Jornada 10 (1946/1947),,,Valencia,-,Espanyol,3:2 (1:1),
Jornada 10 (1946/1947),,,Barcelona,-,CD Castellón,3:3 (1:1),
Jornada 11 (1946/1947),01.12.1946,,Real Madrid,-,Barcelona,2:1 (1:1),
Jornada 11 (1946/1947),,,CD Castellón,-,Valencia,2:4 (0:2),
Jornada 11 (1946/1947),,,Espanyol,-,Atlético,4:1 (1:1),
Jornada 11 (1946/1947),,,Sporting,-,Sevilla,1:4 (0:0),
Jornada 11 (1946/1947),,,CE Sabadell,-,Celta,2:0 (1:0),
Jornada 11 (1946/1947),,,Athletic,-,Real Oviedo,4:1 (4:0),
Jornada 11 (1946/1947),,,Deportivo,-,Real Murcia,3:1 (1:1),
Jornada 12 (1946/1947),08.12.1946,,Valencia,-,Real Madrid,4:1 (3:1),
Jornada 12 (1946/1947),,,Atlético,-,CD Castellón,3:2 (1:1),
Jornada 12 (1946/1947),,,Sevilla,-,CE Sabadell,4:0 (2:0),
Jornada 12 (1946/1947),,,Barcelona,-,Sporting,4:1 (2:0),
Jornada 12 (1946/1947),,,Deportivo,-,Celta,1:4 (0:2),
Jornada 12 (1946/1947),,,Real Murcia,-,Athletic,2:4 (0:2),
Jornada 12 (1946/1947),,,Real Oviedo,-,Espanyol,4:0 (2:0),
Jornada 13 (1946/1947),15.12.1946,,Espanyol,-,Real Murcia,2:3 (2:1),
Jornada 13 (1946/1947),,,CE Sabadell,-,Barcelona,1:4 (0:1),
Jornada 13 (1946/1947),,,Sporting,-,Valencia,4:1 (3:1),
Jornada 13 (1946/1947),,,Real Madrid,-,Atlético,1:2 (1:0),
Jornada 13 (1946/1947),,,Celta,-,Sevilla,3:0 (2:0),
Jornada 13 (1946/1947),,,CD Castellón,-,Real Oviedo,3:3 (1:2),
Jornada 13 (1946/1947),,,Athletic,-,Deportivo,6:0 (4:0),
Jornada 14 (1946/1947),29.12.1946,,Espanyol,-,Athletic,0:3 (0:1),
Jornada 14 (1946/1947),,,CE Sabadell,-,Valencia,3:0 (0:0),
Jornada 14 (1946/1947),,,Sporting,-,Atlético,1:2 (1:1),
