Jornada,Fecha,Hora,Local,Resultado,Visitante,Asistencia,Estadio
Jornada 1 (2015/2016),21.08.2015,20:30,Málaga,-,Sevilla,0:0 (0:0),
Jornada 1 (2015/2016),22.08.2015,18:30,Espanyol,-,Getafe,1:0 (1:0),
Jornada 1 (2015/2016),,18:30,Deportivo,-,Real Sociedad,0:0 (0:0),
Jornada 1 (2015/2016),,20:30,Atlético,-,Las Palmas,1:0 (1:0),
Jornada 1 (2015/2016),,22:30,Rayo,-,Valencia,0:0 (0:0),
Jornada 1 (2015/2016),23.08.2015,18:30,Athletic,-,Barcelona,0:1 (0:0),
Jornada 1 (2015/2016),,20:30,Sporting,-,Real Madrid,0:0 (0:0),
Jornada 1 (2015/2016),,22:00,Levante,-,Celta,1:2 (0:1),
Jornada 1 (2015/2016),,22:30,Betis,-,Villarreal,1:1 (0:1),
Jornada 1 (2015/2016),24.08.2015,20:30,Granada,-,Eibar,1:3 (0:2),
Jornada 2 (2015/2016),28.08.2015,20:30,Villarreal,-,Espanyol,3:1 (0:1),
Jornada 2 (2015/2016),29.08.2015,18:30,Real Sociedad,-,Sporting,0:0 (0:0),
Jornada 2 (2015/2016),,20:30,Barcelona,-,Málaga,1:0 (0:0),
Jornada 2 (2015/2016),,22:00,Celta,-,Rayo,3:0 (1:0),
Jornada 2 (2015/2016),,22:30,Real Madrid,-,Betis,5:0 (2:0),
Jornada 2 (2015/2016),30.08.2015,18:30,Eibar,-,Athletic,2:0 (1:0),
Jornada 2 (2015/2016),,20:30,Sevilla,-,Atlético,0:3 (0:1),
Jornada 2 (2015/2016),,20:30,Valencia,-,Deportivo,1:1 (1:1),
Jornada 2 (2015/2016),,22:30,Las Palmas,-,Levante,0:0 (0:0),
Jornada 2 (2015/2016),,22:30,Getafe,-,Granada,1:2 (0:2),
Jornada 3 (2015/2016),11.09.2015,20:30,Levante,-,Sevilla,1:1 (0:1),
Jornada 3 (2015/2016),12.09.2015,16:00,Espanyol,-,Real Madrid,0:6 (0:4),
Jornada 3 (2015/2016),,18:15,Sporting,-,Valencia,0:1 (0:0),
Jornada 3 (2015/2016),,20:30,Atlético,-,Barcelona,1:2 (0:0),
Jornada 3 (2015/2016),,22:00,Betis,-,Real Sociedad,1:0 (1:0),
Jornada 3 (2015/2016),13.09.2015,12:00,Granada,-,Villarreal,1:3 (0:0),
Jornada 3 (2015/2016),,16:00,Athletic,-,Getafe,3:1 (2:0),
Jornada 3 (2015/2016),,18:15,Celta,-,Las Palmas,3:3 (2:1),
