Jornada,Fecha,Hora,Local,Resultado,Visitante,Asistencia,Estadio
Jornada 1 (1958/1959),14.09.1958,,Celta,-,Athletic,0:3 (0:3),
Jornada 1 (1958/1959),,,Sporting,-,Espanyol,1:0 (0:0),
Jornada 1 (1958/1959),,,Barcelona,-,Valencia,6:0 (1:0),
Jornada 1 (1958/1959),,,Osasuna,-,Sevilla,2:2 (2:1),
Jornada 1 (1958/1959),,,Zaragoza,-,Real Sociedad,1:0 (0:0),
Jornada 1 (1958/1959),,,Atlético,-,Real Oviedo,2:0 (0:0),
Jornada 1 (1958/1959),,,Betis,-,Granada,2:1 (2:0),
Jornada 1 (1958/1959),,,Las Palmas,-,Real Madrid,1:2 (1:0),
Jornada 2 (1958/1959),21.09.1958,,Espanyol,-,Celta,2:1 (2:1),
Jornada 2 (1958/1959),,,Athletic,-,Osasuna,3:1 (3:1),
Jornada 2 (1958/1959),,,Real Oviedo,-,Las Palmas,2:1 (1:1),
Jornada 2 (1958/1959),,,Real Sociedad,-,Barcelona,1:1 (1:0),
Jornada 2 (1958/1959),,,Granada,-,Zaragoza,4:1 (2:0),
Jornada 2 (1958/1959),,,Valencia,-,Atlético,4:2 (2:1),
Jornada 2 (1958/1959),,,Sevilla,-,Betis,2:4 (2:1),
Jornada 2 (1958/1959),,,Real Madrid,-,Sporting,5:1 (1:0),
Jornada 3 (1958/1959),28.09.1958,,Osasuna,-,Espanyol,2:1 (1:0),
Jornada 3 (1958/1959),,,Barcelona,-,Granada,3:0 (2:0),
Jornada 3 (1958/1959),,,Las Palmas,-,Sporting,4:0 (2:0),
Jornada 3 (1958/1959),,,Atlético,-,Real Sociedad,2:0 (1:0),
Jornada 3 (1958/1959),,,Real Oviedo,-,Valencia,1:1 (0:1),
Jornada 3 (1958/1959),,,Betis,-,Athletic,4:0 (4:0),
Jornada 3 (1958/1959),,,Celta,-,Real Madrid,2:4 (1:1),
Jornada 3 (1958/1959),,,Zaragoza,-,Sevilla,4:2 (2:0),
Jornada 4 (1958/1959),05.10.1958,,Espanyol,-,Betis,2:0 (2:0),
Jornada 4 (1958/1959),,,Sporting,-,Celta,2:2 (0:1),
Jornada 4 (1958/1959),,,Real Sociedad,-,Real Oviedo,1:1 (0:1),
Jornada 4 (1958/1959),,,Granada,-,Atlético,1:0 (1:0),
Jornada 4 (1958/1959),,,Sevilla,-,Barcelona,0:2 (0:0),
Jornada 4 (1958/1959),,,Las Palmas,-,Valencia,2:4 (0:3),
Jornada 4 (1958/1959),,,Athletic,-,Zaragoza,3:2 (2:2),
Jornada 4 (1958/1959),,,Real Madrid,-,Osasuna,8:0 (4:0),
Jornada 5 (1958/1959),12.10.1958,,Zaragoza,-,Espanyol,1:0 (1:0),
Jornada 5 (1958/1959),,,Real Oviedo,-,Granada,1:0 (0:0),
Jornada 5 (1958/1959),,,Osasuna,-,Sporting,4:1 (2:1),
Jornada 5 (1958/1959),,,Celta,-,Las Palmas,0:0 (0:0),
Jornada 5 (1958/1959),,,Atlético,-,Sevilla,5:0 (3:0),
Jornada 5 (1958/1959),,,Barcelona,-,Athletic,3:0 (0:0),
Jornada 5 (1958/1959),,,Betis,-,Real Madrid,2:3 (1:1),
Jornada 5 (1958/1959),,,Valencia,-,Real Sociedad,2:0 (1:0),
Jornada 6 (1958/1959),19.10.1958,,Athletic,-,Atlético,1:2 (1:1),
Jornada 6 (1958/1959),,,Sevilla,-,Real Oviedo,4:0 (4:0),
Jornada 6 (1958/1959),,,Real Sociedad,-,Las Palmas,6:2 (3:0),
Jornada 6 (1958/1959),,,Celta,-,Osasuna,3:0 (2:0),
Jornada 6 (1958/1959),,,Granada,-,Valencia,1:0 (0:0),
Jornada 6 (1958/1959),,,Espanyol,-,Barcelona,0:3 (0:1),
Jornada 6 (1958/1959),,,Sporting,-,Betis,1:1 (0:0),
Jornada 6 (1958/1959),,,Real Madrid,-,Zaragoza,3:0 (1:0),
Jornada 7 (1958/1959),26.10.1958,,Valencia,-,Sevilla,1:0 (1:0),
Jornada 7 (1958/1959),,,Real Sociedad,-,Granada,3:1 (2:1),
Jornada 7 (1958/1959),,,Las Palmas,-,Osasuna,5:1 (2:1),
Jornada 7 (1958/1959),,,Betis,-,Celta,2:1 (0:1),
Jornada 7 (1958/1959),,,Atlético,-,Espanyol,3:2 (2:1),
Jornada 7 (1958/1959),,,Real Oviedo,-,Athletic,1:2 (1:2),
Jornada 7 (1958/1959),,,Barcelona,-,Real Madrid,4:0 (1:0),
