Jornada,Fecha,Hora,Local,Resultado,Visitante,Asistencia,Estadio
Jornada 1 (1967/1968),09.09.1967,,Atlético,-,CE Sabadell,2:0 (0:0),
Jornada 1 (1967/1968),,,Athletic,-,Córdoba,3:0 (2:0),
Jornada 1 (1967/1968),,,Valencia,-,Betis,2:1 (1:0),
Jornada 1 (1967/1968),10.09.1967,,Sevilla,-,Real Madrid,0:2 (0:0),
Jornada 1 (1967/1968),,,Zaragoza,-,Barcelona,3:2 (1:2),
Jornada 1 (1967/1968),,,Las Palmas,-,Málaga,1:1 (1:0),
Jornada 1 (1967/1968),,,Espanyol,-,Elche,1:1 (0:0),
Jornada 1 (1967/1968),,,Real Sociedad,-,Pontevedra CF,1:0 (1:0),
Jornada 2 (1967/1968),16.09.1967,,Elche,-,Athletic,1:0 (1:0),
Jornada 2 (1967/1968),,,Real Madrid,-,Real Sociedad,9:1 (2:0),
Jornada 2 (1967/1968),17.09.1967,,Córdoba,-,Atlético,0:1 (0:1),
Jornada 2 (1967/1968),,,Betis,-,Las Palmas,4:2 (4:1),
Jornada 2 (1967/1968),,,Málaga,-,Sevilla,0:0 (0:0),
Jornada 2 (1967/1968),,,Barcelona,-,Espanyol,1:0 (0:0),
Jornada 2 (1967/1968),,,CE Sabadell,-,Valencia,2:0 (1:0),
Jornada 2 (1967/1968),,,Pontevedra CF,-,Zaragoza,1:0 (1:0),
Jornada 3 (1967/1968),23.09.1967,,Valencia,-,Córdoba,5:0 (5:0),
Jornada 3 (1967/1968),24.09.1967,,Athletic,-,Barcelona,0:0 (0:0),
Jornada 3 (1967/1968),,,Espanyol,-,Pontevedra CF,4:1 (2:0),
Jornada 3 (1967/1968),,,Betis,-,CE Sabadell,2:3 (1:2),
Jornada 3 (1967/1968),,,Atlético,-,Elche,2:1 (2:0),
Jornada 3 (1967/1968),,,Las Palmas,-,Sevilla,4:1 (2:1),
Jornada 3 (1967/1968),,,Zaragoza,-,Real Madrid,0:0 (0:0),
Jornada 3 (1967/1968),,,Real Sociedad,-,Málaga,0:0 (0:0),
Jornada 4 (1967/1968),07.10.1967,,Real Madrid,-,Espanyol,2:2 (0:1),
