Jornada,Fecha,Hora,Local,Resultado,Visitante,Asistencia,Estadio
Jornada 1 (2023/2024),11.08.2023,19:30,Almería,-,Rayo,0:2 (0:2),
Jornada 1 (2023/2024),,22:00,Sevilla,-,Valencia,1:2 (0:0),
Jornada 1 (2023/2024),12.08.2023,17:00,Real Sociedad,-,Girona,1:1 (1:0),
Jornada 1 (2023/2024),,19:30,Las Palmas,-,Mallorca,1:1 (1:0),
Jornada 1 (2023/2024),,21:30,Athletic,-,Real Madrid,0:2 (0:2),
Jornada 1 (2023/2024),13.08.2023,17:00,Celta,-,Osasuna,0:2 (0:1),
Jornada 1 (2023/2024),,19:30,Villarreal,-,Betis,1:2 (0:1),
Jornada 1 (2023/2024),,21:30,Getafe,-,Barcelona,0:0 (0:0),
Jornada 1 (2023/2024),14.08.2023,19:30,Cádiz CF,-,Alavés,1:0 (1:0),
Jornada 1 (2023/2024),,21:30,Atlético,-,Granada,3:1 (1:0),
Jornada 2 (2023/2024),18.08.2023,19:30,Mallorca,-,Villarreal,0:1 (0:0),
Jornada 2 (2023/2024),,21:30,Valencia,-,Las Palmas,1:0 (0:0),
Jornada 2 (2023/2024),19.08.2023,17:00,Real Sociedad,-,Celta,1:1 (1:0),
Jornada 2 (2023/2024),,19:30,Almería,-,Real Madrid,1:3 (1:1),
Jornada 2 (2023/2024),,21:30,Osasuna,-,Athletic,0:2 (0:2),
Jornada 2 (2023/2024),20.08.2023,19:00,Girona,-,Getafe,3:0 (1:0),
Jornada 2 (2023/2024),,19:30,Barcelona,-,Cádiz CF,2:0 (0:0),
Jornada 2 (2023/2024),,21:30,Betis,-,Atlético,0:0 (0:0),
Jornada 2 (2023/2024),21.08.2023,19:00,Alavés,-,Sevilla,4:3 (2:2),
Jornada 2 (2023/2024),,21:30,Granada,-,Rayo,0:2 (0:0),
Jornada 3 (2023/2024),25.08.2023,19:30,Las Palmas,-,Real Sociedad,0:0 (0:0),
Jornada 3 (2023/2024),,21:30,Celta,-,Real Madrid,0:1 (0:0),
Jornada 3 (2023/2024),26.08.2023,19:00,Cádiz CF,-,Almería,1:1 (0:0),
Jornada 3 (2023/2024),,19:30,Granada,-,Mallorca,3:2 (1:1),
Jornada 3 (2023/2024),,21:30,Sevilla,-,Girona,1:2 (1:1),
