Jornada,Fecha,Hora,Local,Resultado,Visitante,Asistencia,Estadio
Jornada 1 (1999/2000),21.08.1999,,Mallorca,-,Real Madrid,1:2 (0:0),
Jornada 1 (1999/2000),,,Valencia,-,Real Racing,1:2 (0:1),
Jornada 1 (1999/2000),,,Athletic,-,Betis,1:0 (0:0),
Jornada 1 (1999/2000),22.08.1999,,Atlético,-,Rayo,0:2 (0:1),
Jornada 1 (1999/2000),,,Numancia,-,Valladolid,1:0 (1:0),
Jornada 1 (1999/2000),,,Sevilla,-,Real Sociedad,2:2 (2:1),
Jornada 1 (1999/2000),,,Real Oviedo,-,Celta,1:0 (0:0),
Jornada 1 (1999/2000),,,Málaga,-,Espanyol,1:0 (0:0),
Jornada 1 (1999/2000),,,Deportivo,-,Alavés,4:1 (3:1),
Jornada 1 (1999/2000),,,Barcelona,-,Zaragoza,2:0 (0:0),
Jornada 2 (1999/2000),28.08.1999,,Real Sociedad,-,Atlético,4:1 (0:1),
Jornada 2 (1999/2000),29.08.1999,,Rayo,-,Mallorca,2:1 (0:1),
Jornada 2 (1999/2000),,,Betis,-,Deportivo,0:0 (0:0),
Jornada 2 (1999/2000),,,Alavés,-,Málaga,2:1 (0:1),
Jornada 2 (1999/2000),,,Real Racing,-,Barcelona,1:2 (0:2),
Jornada 2 (1999/2000),,,Celta,-,Sevilla,2:1 (1:0),
Jornada 2 (1999/2000),,,Real Madrid,-,Numancia,4:1 (0:0),
Jornada 2 (1999/2000),,,Espanyol,-,Valencia,3:2 (2:1),
Jornada 2 (1999/2000),,,Valladolid,-,Athletic,1:0 (1:0),
Jornada 2 (1999/2000),,,Zaragoza,-,Real Oviedo,4:0 (1:0),
Jornada 3 (1999/2000),11.09.1999,,Valencia,-,Alavés,0:2 (0:0),
Jornada 3 (1999/2000),,,Barcelona,-,Espanyol,3:0 (0:0),
Jornada 3 (1999/2000),,,Deportivo,-,Valladolid,2:0 (2:0),
Jornada 3 (1999/2000),12.09.1999,,Real Oviedo,-,Real Racing,1:2 (0:2),
Jornada 3 (1999/2000),,,Athletic,-,Real Madrid,2:2 (2:1),
Jornada 3 (1999/2000),,,Mallorca,-,Numancia,3:0 (3:0),
Jornada 3 (1999/2000),,,Málaga,-,Betis,3:0 (1:0),
Jornada 3 (1999/2000),,,Atlético,-,Celta,1:2 (1:1),
