Jornada,Fecha,Hora,Local,Resultado,Visitante,Asistencia,Estadio
Jornada 1 (1942/1943),27.09.1942,,Valencia,-,Atlético,3:0 (2:0),
Jornada 1 (1942/1943),,,Sevilla,-,Zaragoza,6:0 (2:0),
Jornada 1 (1942/1943),,,Athletic,-,Betis,5:0 (2:0),
Jornada 1 (1942/1943),,,Espanyol,-,Celta,1:0 (0:0),
Jornada 1 (1942/1943),,,Real Oviedo,-,CD Castellón,4:1 (2:0),
Jornada 1 (1942/1943),,,Real Madrid,-,Barcelona,3:0 (1:0),
Jornada 1 (1942/1943),,,Granada,-,Deportivo,1:2 (1:2),
Jornada 2 (1942/1943),04.10.1942,,Betis,-,Sevilla,2:5 (2:3),
Jornada 2 (1942/1943),,,Celta,-,Real Oviedo,2:0 (0:0),
Jornada 2 (1942/1943),,,Barcelona,-,Valencia,1:2 (1:1),
Jornada 2 (1942/1943),,,Atlético,-,Espanyol,2:3 (2:0),
Jornada 2 (1942/1943),,,CD Castellón,-,Athletic,2:2 (1:2),
Jornada 2 (1942/1943),,,Deportivo,-,Real Madrid,1:2 (1:2),
Jornada 2 (1942/1943),,,Zaragoza,-,Granada,2:3 (2:2),
Jornada 3 (1942/1943),11.10.1942,,Valencia,-,Espanyol,3:0 (2:0),
Jornada 3 (1942/1943),,,Real Oviedo,-,Atlético,2:1 (2:0),
Jornada 3 (1942/1943),,,Real Madrid,-,Zaragoza,2:1 (1:1),
Jornada 3 (1942/1943),,,Granada,-,Betis,6:2 (3:1),
Jornada 3 (1942/1943),,,Athletic,-,Celta,4:0 (2:0),
Jornada 3 (1942/1943),,,Barcelona,-,Deportivo,1:1 (0:1),
Jornada 3 (1942/1943),,,Sevilla,-,CD Castellón,4:1 (0:1),
Jornada 4 (1942/1943),18.10.1942,,Betis,-,Real Madrid,3:1 (2:1),
Jornada 4 (1942/1943),,,Celta,-,Sevilla,1:0 (0:0),
Jornada 4 (1942/1943),,,CD Castellón,-,Granada,3:2 (3:0),
Jornada 4 (1942/1943),,,Espanyol,-,Real Oviedo,5:0 (3:0),
Jornada 4 (1942/1943),,,Zaragoza,-,Barcelona,1:1 (0:0),
Jornada 4 (1942/1943),,,Deportivo,-,Valencia,2:2 (0:0),
Jornada 4 (1942/1943),,,Atlético,-,Athletic,2:3 (2:1),
Jornada 5 (1942/1943),25.10.1942,,Real Madrid,-,CD Castellón,0:0 (0:0),
Jornada 5 (1942/1943),,,Athletic,-,Espanyol,2:1 (0:0),
Jornada 5 (1942/1943),,,Sevilla,-,Atlético,2:1 (1:1),
Jornada 5 (1942/1943),,,Deportivo,-,Zaragoza,3:1 (2:1),
Jornada 5 (1942/1943),,,Barcelona,-,Betis,4:1 (3:0),
Jornada 5 (1942/1943),,,Granada,-,Celta,3:1 (0:1),
Jornada 5 (1942/1943),,,Valencia,-,Real Oviedo,7:0 (2:0),
Jornada 6 (1942/1943),01.11.1942,,Atlético,-,Granada,7:1 (4:0),
Jornada 6 (1942/1943),,,Betis,-,Deportivo,1:1 (1:0),
Jornada 6 (1942/1943),,,Espanyol,-,Sevilla,1:2 (1:0),
Jornada 6 (1942/1943),,,Zaragoza,-,Valencia,0:0 (0:0),
Jornada 6 (1942/1943),,,Real Oviedo,-,Athletic,3:3 (1:2),
