Jornada,Fecha,Hora,Local,Resultado,Visitante,Asistencia,Estadio
Jornada 1 (1988/1989),03.09.1988,,CD Logroñés,-,Atlético,1:0 (1:0),
Jornada 1 (1988/1989),,,Athletic,-,Sevilla,3:0 (1:0),
Jornada 1 (1988/1989),,,Real Oviedo,-,Real Sociedad,1:0 (0:0),
Jornada 1 (1988/1989),,,Barcelona,-,Espanyol,2:0 (0:0),
Jornada 1 (1988/1989),04.09.1988,,Zaragoza,-,Valencia,0:0 (0:0),
Jornada 1 (1988/1989),,,Betis,-,Sporting,0:1 (0:0),
Jornada 1 (1988/1989),,,Real Murcia,-,Málaga,1:0 (1:0),
Jornada 1 (1988/1989),,,Valladolid,-,Elche,3:0 (1:0),
Jornada 1 (1988/1989),,,Real Madrid,-,Osasuna,2:2 (1:1),
Jornada 1 (1988/1989),,,Celta,-,Cádiz CF,3:2 (2:1),
Jornada 2 (1988/1989),10.09.1988,,Valencia,-,Valladolid,1:0 (0:0),
Jornada 2 (1988/1989),,,Espanyol,-,Real Murcia,3:0 (0:0),
Jornada 2 (1988/1989),,,Málaga,-,Celta,2:2 (2:0),
Jornada 2 (1988/1989),11.09.1988,,Cádiz CF,-,CD Logroñés,0:1 (0:0),
Jornada 2 (1988/1989),,,Sevilla,-,Real Oviedo,2:1 (0:1),
Jornada 2 (1988/1989),,,Real Sociedad,-,Betis,2:1 (1:1),
Jornada 2 (1988/1989),,,Osasuna,-,Zaragoza,3:0 (0:0),
Jornada 2 (1988/1989),,,Atlético,-,Athletic,0:1 (0:0),
Jornada 2 (1988/1989),,,Elche,-,Barcelona,0:3 (0:2),
Jornada 2 (1988/1989),,,Sporting,-,Real Madrid,2:2 (0:2),
Jornada 3 (1988/1989),17.09.1988,,Valladolid,-,Osasuna,1:0 (1:0),
Jornada 3 (1988/1989),,,Barcelona,-,Valencia,1:1 (0:0),
Jornada 3 (1988/1989),18.09.1988,,Zaragoza,-,Sporting,1:1 (0:0),
Jornada 3 (1988/1989),,,Athletic,-,Cádiz CF,1:0 (0:0),
Jornada 3 (1988/1989),,,Real Murcia,-,Elche,0:1 (0:0),
Jornada 3 (1988/1989),,,CD Logroñés,-,Málaga,1:0 (1:0),
Jornada 3 (1988/1989),,,Real Madrid,-,Real Sociedad,2:2 (1:0),
Jornada 3 (1988/1989),,,Celta,-,Espanyol,0:0 (0:0),
Jornada 3 (1988/1989),,,Real Oviedo,-,Betis,0:3 (0:1),
Jornada 3 (1988/1989),,,Sevilla,-,Atlético,4:1 (1:0),
Jornada 4 (1988/1989),24.09.1988,,Valencia,-,Real Murcia,3:0 (3:0),
Jornada 4 (1988/1989),,,Osasuna,-,Barcelona,1:1 (1:0),
Jornada 4 (1988/1989),25.09.1988,,Málaga,-,Athletic,1:1 (0:0),
Jornada 4 (1988/1989),,,Espanyol,-,CD Logroñés,2:0 (0:0),
Jornada 4 (1988/1989),,,Sporting,-,Valladolid,2:1 (1:0),
Jornada 4 (1988/1989),,,Atlético,-,Real Oviedo,2:2 (0:0),
Jornada 4 (1988/1989),,,Elche,-,Celta,0:1 (0:0),
Jornada 4 (1988/1989),,,Cádiz CF,-,Sevilla,0:0 (0:0),
Jornada 4 (1988/1989),,,Betis,-,Real Madrid,0:2 (0:0),
Jornada 4 (1988/1989),,,Real Sociedad,-,Zaragoza,2:1 (1:1),
