Jornada,Fecha,Hora,Local,Resultado,Visitante,Asistencia,Estadio
Jornada 1 (1972/1973),02.09.1972,,Granada,-,Zaragoza,0:0 (0:0),
Jornada 1 (1972/1973),,,Sporting,-,Betis,1:0 (1:0),
Jornada 1 (1972/1973),,,Las Palmas,-,Real Oviedo,2:1 (0:0),
Jornada 1 (1972/1973),,,Málaga,-,Athletic,0:0 (0:0),
Jornada 1 (1972/1973),03.09.1972,,CD Castellón,-,Real Madrid,2:3 (1:2),
Jornada 1 (1972/1973),,,Celta,-,Espanyol,1:1 (1:1),
Jornada 1 (1972/1973),,,Atlético,-,Valencia,1:3 (1:1),
Jornada 1 (1972/1973),,,Burgos CF,-,Real Sociedad,1:0 (1:0),
Jornada 1 (1972/1973),,,Barcelona,-,Deportivo,3:1 (2:0),
Jornada 2 (1972/1973),09.09.1972,,Athletic,-,Celta,1:1 (0:1),
Jornada 2 (1972/1973),,,Betis,-,Las Palmas,0:2 (0:1),
Jornada 2 (1972/1973),,,Valencia,-,Barcelona,0:1 (0:0),
Jornada 2 (1972/1973),,,Real Madrid,-,Sporting,1:0 (0:0),
Jornada 2 (1972/1973),10.09.1972,,Zaragoza,-,Burgos CF,2:0 (0:0),
Jornada 2 (1972/1973),,,Espanyol,-,CD Castellón,1:0 (0:0),
Jornada 2 (1972/1973),,,Deportivo,-,Granada,0:0 (0:0),
Jornada 2 (1972/1973),,,Real Sociedad,-,Málaga,1:1 (1:1),
Jornada 2 (1972/1973),,,Real Oviedo,-,Atlético,0:2 (0:1),
Jornada 3 (1972/1973),16.09.1972,,Barcelona,-,Real Oviedo,3:1 (1:0),
Jornada 3 (1972/1973),,,Sporting,-,Espanyol,0:0 (0:0),
Jornada 3 (1972/1973),17.09.1972,,Celta,-,Real Sociedad,0:1 (0:1),
Jornada 3 (1972/1973),,,Burgos CF,-,Málaga,2:2 (1:0),
Jornada 3 (1972/1973),,,Zaragoza,-,Deportivo,5:0 (2:0),
Jornada 3 (1972/1973),,,Atlético,-,Betis,2:1 (2:1),
Jornada 3 (1972/1973),,,Las Palmas,-,Real Madrid,1:1 (0:1),
Jornada 3 (1972/1973),,,CD Castellón,-,Athletic,1:4 (1:3),
Jornada 3 (1972/1973),,,Granada,-,Valencia,1:1 (1:0),
Jornada 4 (1972/1973),23.09.1972,,Athletic,-,Sporting,2:0 (1:0),
Jornada 4 (1972/1973),,,Espanyol,-,Las Palmas,4:0 (2:0),
Jornada 4 (1972/1973),,,Valencia,-,Zaragoza,0:0 (0:0),
Jornada 4 (1972/1973),,,Real Madrid,-,Atlético,0:1 (0:1),
Jornada 4 (1972/1973),24.09.1972,,Betis,-,Barcelona,0:2 (0:0),
Jornada 4 (1972/1973),,,Deportivo,-,Burgos CF,2:1 (1:0),
Jornada 4 (1972/1973),,,Real Sociedad,-,CD Castellón,0:0 (0:0),
Jornada 4 (1972/1973),,,Málaga,-,Celta,1:0 (0:0),
Jornada 4 (1972/1973),,,Real Oviedo,-,Granada,3:0 (1:0),
Jornada 5 (1972/1973),01.10.1972,,Las Palmas,-,Athletic,1:0 (1:0),
Jornada 5 (1972/1973),,,Granada,-,Betis,0:0 (0:0),
Jornada 5 (1972/1973),,,CD Castellón,-,Málaga,1:0 (1:0),
Jornada 5 (1972/1973),,,Zaragoza,-,Real Oviedo,3:0 (1:0),
Jornada 5 (1972/1973),,,Burgos CF,-,Celta,0:0 (0:0),
Jornada 5 (1972/1973),,,Barcelona,-,Real Madrid,1:0 (0:0),
Jornada 5 (1972/1973),,,Atlético,-,Espanyol,0:0 (0:0),
Jornada 5 (1972/1973),,,Deportivo,-,Valencia,1:1 (1:0),
Jornada 5 (1972/1973),,,Sporting,-,Real Sociedad,3:0 (2:0),
Jornada 6 (1972/1973),07.10.1972,,Málaga,-,Sporting,1:0 (1:0),
Jornada 6 (1972/1973),,,Valencia,-,Burgos CF,3:0 (1:0),
Jornada 6 (1972/1973),,,Real Madrid,-,Granada,2:1 (1:0),
Jornada 6 (1972/1973),,,Real Sociedad,-,Las Palmas,1:0 (1:0),
Jornada 6 (1972/1973),,,Athletic,-,Atlético,1:0 (1:0),
Jornada 6 (1972/1973),,,Espanyol,-,Barcelona,1:1 (1:1),
Jornada 6 (1972/1973),,,Celta,-,CD Castellón,2:0 (1:0),
Jornada 6 (1972/1973),08.10.1972,,Real Oviedo,-,Deportivo,0:0 (0:0),
Jornada 6 (1972/1973),,,Betis,-,Zaragoza,1:1 (1:0),
Jornada 7 (1972/1973),21.10.1972,,Las Palmas,-,Málaga,1:3 (1:0),
Jornada 7 (1972/1973),,,Atlético,-,Real Sociedad,2:1 (1:1),
Jornada 7 (1972/1973),22.10.1972,,Barcelona,-,Athletic,1:0 (0:0),
Jornada 7 (1972/1973),,,Valencia,-,Real Oviedo,2:2 (1:2),
Jornada 7 (1972/1973),,,Sporting,-,Celta,3:1 (2:1),
Jornada 7 (1972/1973),,,Burgos CF,-,CD Castellón,2:1 (1:1),
Jornada 7 (1972/1973),,,Zaragoza,-,Real Madrid,0:0 (0:0),
