Jornada,Fecha,Hora,Local,Resultado,Visitante,Asistencia,Estadio
Jornada 1 (1981/1982),19.09.1981,,Atlético,-,Athletic,2:0 (0:0),
Jornada 1 (1981/1982),20.09.1981,,Real Sociedad,-,Real Madrid,3:1 (1:1),
Jornada 1 (1981/1982),,,Hércules CF,-,Espanyol,2:0 (0:0),
Jornada 1 (1981/1982),,,Zaragoza,-,Valencia,2:0 (0:0),
Jornada 1 (1981/1982),,,Real Racing,-,Betis,2:1 (0:1),
Jornada 1 (1981/1982),,,CD Castellón,-,Las Palmas,1:1 (0:0),
Jornada 1 (1981/1982),,,Valladolid,-,Sporting,2:1 (1:0),
Jornada 1 (1981/1982),,,Sevilla,-,Osasuna,2:3 (1:1),
Jornada 1 (1981/1982),,,Barcelona,-,Cádiz CF,4:0 (1:0),
Jornada 2 (1981/1982),26.09.1981,,Real Madrid,-,Atlético,2:1 (1:0),
Jornada 2 (1981/1982),,,Athletic,-,Sevilla,2:0 (0:0),
Jornada 2 (1981/1982),,,Las Palmas,-,Barcelona,2:1 (1:1),
Jornada 2 (1981/1982),,,Valencia,-,Valladolid,3:0 (2:0),
Jornada 2 (1981/1982),27.09.1981,,Sporting,-,CD Castellón,1:0 (1:0),
Jornada 2 (1981/1982),,,Osasuna,-,Hércules CF,3:1 (0:1),
Jornada 2 (1981/1982),,,Cádiz CF,-,Real Racing,1:0 (0:0),
Jornada 2 (1981/1982),,,Espanyol,-,Zaragoza,0:1 (0:0),
Jornada 2 (1981/1982),,,Betis,-,Real Sociedad,0:1 (0:0),
Jornada 3 (1981/1982),03.10.1981,,Barcelona,-,Sporting,1:0 (0:0),
Jornada 3 (1981/1982),04.10.1981,,Real Racing,-,Las Palmas,3:1 (2:1),
Jornada 3 (1981/1982),,,Sevilla,-,Real Madrid,0:0 (0:0),
Jornada 3 (1981/1982),,,Real Sociedad,-,Cádiz CF,3:0 (3:0),
Jornada 3 (1981/1982),,,Valladolid,-,CD Castellón,2:0 (1:0),
Jornada 3 (1981/1982),,,Zaragoza,-,Osasuna,1:1 (0:0),
Jornada 3 (1981/1982),,,Hércules CF,-,Athletic,3:1 (2:1),
Jornada 3 (1981/1982),,,Valencia,-,Espanyol,1:1 (0:0),
Jornada 3 (1981/1982),,,Atlético,-,Betis,1:0 (0:0),
Jornada 4 (1981/1982),07.10.1981,,Betis,-,Sevilla,2:0 (2:0),
Jornada 4 (1981/1982),,,Real Madrid,-,Hércules CF,2:1 (2:1),
Jornada 4 (1981/1982),,,Espanyol,-,Valladolid,3:1 (3:0),
Jornada 4 (1981/1982),,,Las Palmas,-,Real Sociedad,0:0 (0:0),
Jornada 4 (1981/1982),,,Cádiz CF,-,Atlético,1:0 (1:0),
Jornada 4 (1981/1982),,,Osasuna,-,Valencia,2:1 (1:1),
Jornada 4 (1981/1982),,,Zaragoza,-,Athletic,1:0 (1:0),
Jornada 4 (1981/1982),,,CD Castellón,-,Barcelona,1:6 (1:0),
Jornada 4 (1981/1982),,,Sporting,-,Real Racing,2:0 (2:0),
