Jornada,Fecha,Hora,Local,Resultado,Visitante,Asistencia,Estadio
Jornada 1 (2011/2012),21.01.2012,18:00,Real Racing,-,Getafe,1:2 (1:1),
Jornada 1 (2011/2012),,18:00,Espanyol,-,Granada,3:0 (2:0),
Jornada 1 (2011/2012),,20:00,Real Sociedad,-,Atlético,0:4 (0:1),
Jornada 1 (2011/2012),,22:00,Betis,-,Sevilla,1:1 (1:1),
Jornada 1 (2011/2012),22.01.2012,12:00,Osasuna,-,Valencia,1:1 (0:0),
Jornada 1 (2011/2012),,16:00,Rayo,-,Mallorca,0:1 (0:0),
Jornada 1 (2011/2012),,18:00,Málaga,-,Barcelona,1:4 (0:1),
Jornada 1 (2011/2012),,19:45,Levante,-,Zaragoza,0:0 (0:0),
Jornada 1 (2011/2012),,21:30,Real Madrid,-,Athletic,4:1 (1:1),
Jornada 1 (2011/2012),23.01.2012,21:00,Villarreal,-,Sporting,3:0 (0:0),
Jornada 2 (2011/2012),27.08.2011,18:00,Sporting,-,Real Sociedad,1:2 (0:1),
Jornada 2 (2011/2012),,20:00,Valencia,-,Real Racing,4:3 (1:2),
Jornada 2 (2011/2012),,22:00,Granada,-,Betis,0:1 (0:0),
Jornada 2 (2011/2012),28.08.2011,12:00,Atlético,-,Osasuna,0:0 (0:0),
Jornada 2 (2011/2012),,16:00,Athletic,-,Rayo,1:1 (0:0),
Jornada 2 (2011/2012),,18:00,Mallorca,-,Espanyol,1:0 (0:0),
Jornada 2 (2011/2012),,18:00,Getafe,-,Levante,1:1 (0:0),
Jornada 2 (2011/2012),,20:00,Zaragoza,-,Real Madrid,0:6 (0:2),
Jornada 2 (2011/2012),,22:00,Sevilla,-,Málaga,2:1 (2:0),
Jornada 2 (2011/2012),29.08.2011,21:00,Barcelona,-,Villarreal,5:0 (2:0),
Jornada 3 (2011/2012),10.09.2011,18:00,Real Sociedad,-,Barcelona,2:2 (0:2),
Jornada 3 (2011/2012),,18:00,Villarreal,-,Sevilla,2:2 (1:1),
Jornada 3 (2011/2012),,20:00,Real Madrid,-,Getafe,4:2 (1:1),
Jornada 3 (2011/2012),,22:00,Valencia,-,Atlético,1:0 (0:0),
Jornada 3 (2011/2012),11.09.2011,12:00,Betis,-,Mallorca,1:0 (0:0),
Jornada 3 (2011/2012),,16:00,Real Racing,-,Levante,0:0 (0:0),
Jornada 3 (2011/2012),,18:00,Osasuna,-,Sporting,2:1 (2:0),
Jornada 3 (2011/2012),,18:00,Rayo,-,Zaragoza,0:0 (0:0),
Jornada 3 (2011/2012),,22:00,Espanyol,-,Athletic,2:1 (1:0),
Jornada 3 (2011/2012),12.09.2011,21:00,Málaga,-,Granada,4:0 (2:0),
Jornada 4 (2011/2012),17.09.2011,18:00,Sporting,-,Valencia,0:1 (0:1),
Jornada 4 (2011/2012),,18:00,Granada,-,Villarreal,1:0 (0:0),
Jornada 4 (2011/2012),,18:00,Mallorca,-,Málaga,0:1 (0:1),
Jornada 4 (2011/2012),,20:00,Barcelona,-,Osasuna,8:0 (5:0),
Jornada 4 (2011/2012),,22:00,Sevilla,-,Real Sociedad,1:0 (0:0),
Jornada 4 (2011/2012),18.09.2011,12:00,Getafe,-,Rayo,0:1 (0:1),
Jornada 4 (2011/2012),,16:00,Zaragoza,-,Espanyol,2:1 (1:0),
Jornada 4 (2011/2012),,18:00,Atlético,-,Real Racing,4:0 (2:0),
Jornada 4 (2011/2012),,20:00,Levante,-,Real Madrid,1:0 (0:0),
Jornada 4 (2011/2012),,22:00,Athletic,-,Betis,2:3 (1:3),
Jornada 5 (2011/2012),20.09.2011,20:00,Osasuna,-,Sevilla,0:0 (0:0),
Jornada 5 (2011/2012),,20:00,Real Sociedad,-,Granada,1:0 (0:0),
Jornada 5 (2011/2012),,22:00,Villarreal,-,Mallorca,2:0 (1:0),
Jornada 5 (2011/2012),21.09.2011,20:00,Atlético,-,Sporting,4:0 (1:0),
Jornada 5 (2011/2012),,20:00,Málaga,-,Athletic,1:0 (0:0),
Jornada 5 (2011/2012),,20:00,Rayo,-,Levante,1:2 (0:2),
Jornada 5 (2011/2012),,20:00,Real Racing,-,Real Madrid,0:0 (0:0),
Jornada 5 (2011/2012),,22:00,Valencia,-,Barcelona,2:2 (2:1),
Jornada 5 (2011/2012),22.09.2011,20:00,Espanyol,-,Getafe,1:0 (0:0),
Jornada 5 (2011/2012),,22:00,Betis,-,Zaragoza,4:3 (2:1),
Jornada 6 (2011/2012),24.09.2011,18:00,Sevilla,-,Valencia,1:0 (1:0),
Jornada 6 (2011/2012),,18:00,Athletic,-,Villarreal,1:1 (1:0),
Jornada 6 (2011/2012),,20:00,Real Madrid,-,Rayo,6:2 (2:1),
Jornada 6 (2011/2012),,22:00,Barcelona,-,Atlético,5:0 (3:0),
Jornada 6 (2011/2012),25.09.2011,12:00,Mallorca,-,Real Sociedad,2:1 (1:1),
Jornada 6 (2011/2012),,16:00,Levante,-,Espanyol,3:1 (1:0),
Jornada 6 (2011/2012),,18:00,Granada,-,Osasuna,1:1 (0:1),
Jornada 6 (2011/2012),,20:00,Sporting,-,Real Racing,0:0 (0:0),
Jornada 6 (2011/2012),,22:00,Zaragoza,-,Málaga,0:0 (0:0),
Jornada 6 (2011/2012),26.09.2011,21:00,Getafe,-,Betis,1:0 (1:0),
Jornada 7 (2011/2012),01.10.2011,18:00,Osasuna,-,Mallorca,2:2 (1:1),
Jornada 7 (2011/2012),,18:00,Villarreal,-,Zaragoza,2:2 (1:2),
Jornada 7 (2011/2012),,18:00,Real Racing,-,Rayo,1:1 (0:1),
Jornada 7 (2011/2012),,20:00,Valencia,-,Granada,1:0 (1:0),
Jornada 7 (2011/2012),,22:00,Málaga,-,Getafe,3:2 (0:0),
Jornada 7 (2011/2012),02.10.2011,12:00,Real Sociedad,-,Athletic,1:2 (0:1),
Jornada 7 (2011/2012),,16:00,Betis,-,Levante,0:1 (0:1),
Jornada 7 (2011/2012),,18:00,Atlético,-,Sevilla,0:0 (0:0),
Jornada 7 (2011/2012),,20:00,Sporting,-,Barcelona,0:1 (0:1),
Jornada 7 (2011/2012),,22:00,Espanyol,-,Real Madrid,0:4 (0:1),
Jornada 8 (2011/2012),15.10.2011,18:00,Mallorca,-,Valencia,1:1 (0:1),
Jornada 8 (2011/2012),,18:00,Getafe,-,Villarreal,0:0 (0:0),
Jornada 8 (2011/2012),,18:00,Real Madrid,-,Betis,4:1 (0:0),
Jornada 8 (2011/2012),,20:00,Barcelona,-,Real Racing,3:0 (2:0),
Jornada 8 (2011/2012),,22:00,Granada,-,Atlético,0:0 (0:0),
