Jornada,Fecha,Hora,Local,Resultado,Visitante,Asistencia,Estadio
Jornada 1 (1966/1967),10.09.1966,,Barcelona,-,Córdoba,4:1 (2:1),
Jornada 1 (1966/1967),11.09.1966,,Zaragoza,-,Espanyol,2:0 (2:0),
Jornada 1 (1966/1967),,,Deportivo,-,Valencia,0:1 (0:1),
Jornada 1 (1966/1967),,,Athletic,-,Atlético,1:0 (0:0),
Jornada 1 (1966/1967),,,Real Madrid,-,Elche,4:1 (1:1),
Jornada 1 (1966/1967),,,Las Palmas,-,Granada,1:1 (0:0),
Jornada 1 (1966/1967),,,Hércules CF,-,CE Sabadell,0:0 (0:0),
Jornada 1 (1966/1967),,,Sevilla,-,Pontevedra CF,0:0 (0:0),
Jornada 2 (1966/1967),17.09.1966,,Valencia,-,Las Palmas,2:1 (0:1),
Jornada 2 (1966/1967),18.09.1966,,Granada,-,Zaragoza,6:2 (2:1),
Jornada 2 (1966/1967),,,Córdoba,-,Deportivo,1:0 (1:0),
Jornada 2 (1966/1967),,,CE Sabadell,-,Athletic,1:0 (0:0),
Jornada 2 (1966/1967),,,Pontevedra CF,-,Real Madrid,0:1 (0:0),
Jornada 2 (1966/1967),,,Espanyol,-,Sevilla,3:1 (1:1),
Jornada 2 (1966/1967),,,Elche,-,Hércules CF,4:0 (2:0),
Jornada 2 (1966/1967),01.11.1966,,Atlético,-,Barcelona,0:1 (0:1),
Jornada 3 (1966/1967),25.09.1966,,Las Palmas,-,Zaragoza,2:3 (0:2),
Jornada 3 (1966/1967),,,Hércules CF,-,Pontevedra CF,1:0 (1:0),
Jornada 3 (1966/1967),,,Valencia,-,Córdoba,3:1 (2:1),
Jornada 3 (1966/1967),,,Barcelona,-,CE Sabadell,2:0 (1:0),
Jornada 3 (1966/1967),,,Athletic,-,Elche,2:1 (0:1),
Jornada 3 (1966/1967),,,Deportivo,-,Atlético,0:1 (0:1),
Jornada 3 (1966/1967),,,Real Madrid,-,Espanyol,1:1 (0:1),
Jornada 3 (1966/1967),,,Sevilla,-,Granada,3:1 (0:0),
Jornada 4 (1966/1967),02.10.1966,,Zaragoza,-,Sevilla,2:1 (1:0),
Jornada 4 (1966/1967),,,CE Sabadell,-,Deportivo,3:0 (1:0),
Jornada 4 (1966/1967),,,Espanyol,-,Hércules CF,4:1 (2:1),
Jornada 4 (1966/1967),,,Pontevedra CF,-,Athletic,1:1 (1:0),
Jornada 4 (1966/1967),,,Granada,-,Real Madrid,1:1 (0:0),
Jornada 4 (1966/1967),,,Elche,-,Barcelona,4:3 (2:3),
Jornada 4 (1966/1967),,,Atlético,-,Valencia,1:1 (1:0),
Jornada 4 (1966/1967),,,Las Palmas,-,Córdoba,2:1 (1:0),
Jornada 5 (1966/1967),08.10.1966,,Real Madrid,-,Zaragoza,3:1 (2:0),
Jornada 5 (1966/1967),09.10.1966,,Córdoba,-,Atlético,1:0 (0:0),
Jornada 5 (1966/1967),,,Barcelona,-,Pontevedra CF,0:1 (0:1),
Jornada 5 (1966/1967),,,Valencia,-,CE Sabadell,6:1 (4:1),
Jornada 5 (1966/1967),,,Hércules CF,-,Granada,2:1 (2:0),
Jornada 5 (1966/1967),,,Sevilla,-,Las Palmas,2:0 (0:0),
Jornada 5 (1966/1967),,,Athletic,-,Espanyol,1:3 (0:3),
Jornada 5 (1966/1967),,,Deportivo,-,Elche,1:1 (1:1),
Jornada 6 (1966/1967),16.10.1966,,Granada,-,Athletic,1:1 (0:0),
Jornada 6 (1966/1967),,,Zaragoza,-,Hércules CF,2:0 (2:0),
Jornada 6 (1966/1967),,,Pontevedra CF,-,Deportivo,1:0 (1:0),
Jornada 6 (1966/1967),,,CE Sabadell,-,Córdoba,3:0 (1:0),
Jornada 6 (1966/1967),,,Espanyol,-,Barcelona,2:0 (2:0),
