Jornada,Fecha,Hora,Local,Resultado,Visitante,Asistencia,Estadio
Jornada 1 (1979/1980),08.09.1979,,Real Sociedad,-,Las Palmas,1:0 (1:0),
Jornada 1 (1979/1980),,,Betis,-,Rayo,1:2 (1:1),
Jornada 1 (1979/1980),,,Espanyol,-,AD Almería,5:2 (1:1),
Jornada 1 (1979/1980),,,Sporting,-,Sevilla,2:1 (1:1),
Jornada 1 (1979/1980),09.09.1979,,Zaragoza,-,Barcelona,2:2 (1:1),
Jornada 1 (1979/1980),,,UD Salamanca,-,Athletic,2:1 (1:1),
Jornada 1 (1979/1980),,,Real Madrid,-,Valencia,3:1 (1:1),
Jornada 1 (1979/1980),,,Hércules CF,-,Atlético,2:3 (1:0),
Jornada 1 (1979/1980),,,Burgos CF,-,Málaga,1:0 (1:0),
Jornada 2 (1979/1980),15.09.1979,,Athletic,-,Real Sociedad,0:1 (0:1),
Jornada 2 (1979/1980),,,Valencia,-,UD Salamanca,2:2 (1:2),
Jornada 2 (1979/1980),,,Las Palmas,-,Hércules CF,2:1 (1:0),
Jornada 2 (1979/1980),,,Barcelona,-,Betis,5:0 (3:0),
Jornada 2 (1979/1980),,,Málaga,-,Espanyol,1:2 (0:1),
Jornada 2 (1979/1980),,,Atlético,-,Sporting,1:3 (1:1),
Jornada 2 (1979/1980),16.09.1979,,Sevilla,-,Burgos CF,6:1 (3:1),
Jornada 2 (1979/1980),,,AD Almería,-,Zaragoza,1:0 (0:0),
Jornada 2 (1979/1980),,,Rayo,-,Real Madrid,1:2 (1:0),
Jornada 3 (1979/1980),22.09.1979,,Espanyol,-,Zaragoza,2:0 (1:0),
Jornada 3 (1979/1980),23.09.1979,,Málaga,-,Sevilla,2:1 (1:1),
Jornada 3 (1979/1980),,,Real Madrid,-,Barcelona,3:2 (3:2),
Jornada 3 (1979/1980),,,Betis,-,AD Almería,0:0 (0:0),
Jornada 3 (1979/1980),,,UD Salamanca,-,Rayo,3:0 (1:0),
Jornada 3 (1979/1980),,,Sporting,-,Las Palmas,4:1 (2:1),
Jornada 3 (1979/1980),,,Hércules CF,-,Athletic,2:1 (1:0),
Jornada 3 (1979/1980),,,Real Sociedad,-,Valencia,0:0 (0:0),
Jornada 3 (1979/1980),,,Burgos CF,-,Atlético,1:1 (1:0),
Jornada 4 (1979/1980),29.09.1979,,Las Palmas,-,Burgos CF,2:1 (0:0),
Jornada 4 (1979/1980),,,Valencia,-,Hércules CF,0:0 (0:0),
Jornada 4 (1979/1980),,,Atlético,-,Málaga,0:0 (0:0),
Jornada 4 (1979/1980),30.09.1979,,Sevilla,-,Espanyol,2:1 (0:1),
Jornada 4 (1979/1980),,,Barcelona,-,UD Salamanca,0:0 (0:0),
Jornada 4 (1979/1980),,,Athletic,-,Sporting,2:3 (1:1),
Jornada 4 (1979/1980),,,Rayo,-,Real Sociedad,1:1 (0:0),
Jornada 4 (1979/1980),,,AD Almería,-,Real Madrid,1:1 (1:1),
Jornada 4 (1979/1980),,,Zaragoza,-,Betis,5:1 (3:1),
Jornada 5 (1979/1980),14.10.1979,,Burgos CF,-,Athletic,1:1 (1:0),
Jornada 5 (1979/1980),,,Espanyol,-,Betis,0:0 (0:0),
Jornada 5 (1979/1980),,,UD Salamanca,-,AD Almería,2:1 (2:0),
Jornada 5 (1979/1980),,,Hércules CF,-,Rayo,2:2 (1:1),
Jornada 5 (1979/1980),,,Málaga,-,Las Palmas,1:0 (0:0),
Jornada 5 (1979/1980),,,Real Sociedad,-,Barcelona,4:3 (2:2),
Jornada 5 (1979/1980),,,Sporting,-,Valencia,4:2 (2:1),
Jornada 5 (1979/1980),,,Sevilla,-,Atlético,2:2 (1:0),
Jornada 5 (1979/1980),,,Real Madrid,-,Zaragoza,3:2 (1:1),
Jornada 6 (1979/1980),20.10.1979,,Valencia,-,Burgos CF,3:1 (2:0),
Jornada 6 (1979/1980),,,Barcelona,-,Hércules CF,2:0 (1:0),
Jornada 6 (1979/1980),,,Las Palmas,-,Sevilla,2:0 (1:0),
Jornada 6 (1979/1980),21.10.1979,,Betis,-,Real Madrid,2:3 (0:2),
Jornada 6 (1979/1980),,,Zaragoza,-,UD Salamanca,1:2 (1:0),
Jornada 6 (1979/1980),,,Athletic,-,Málaga,3:1 (1:0),
Jornada 6 (1979/1980),,,Rayo,-,Sporting,1:2 (0:1),
Jornada 6 (1979/1980),,,Atlético,-,Espanyol,1:1 (1:0),
Jornada 6 (1979/1980),,,AD Almería,-,Real Sociedad,0:0 (0:0),
Jornada 7 (1979/1980),28.10.1979,,Málaga,-,Valencia,2:1 (1:1),
Jornada 7 (1979/1980),,,Burgos CF,-,Rayo,1:1 (0:1),
Jornada 7 (1979/1980),,,Atlético,-,Las Palmas,0:0 (0:0),
Jornada 7 (1979/1980),,,Hércules CF,-,AD Almería,4:0 (3:0),
Jornada 7 (1979/1980),,,Sevilla,-,Athletic,3:1 (0:1),
