Jornada,Fecha,Hora,Local,Resultado,Visitante,Asistencia,Estadio
Jornada 1 (1969/1970),13.09.1969,,Pontevedra CF,-,Granada,0:1 (0:1),
Jornada 1 (1969/1970),,,Las Palmas,-,Elche,5:1 (2:0),
Jornada 1 (1969/1970),14.09.1969,,Real Madrid,-,Barcelona,3:3 (2:2),
Jornada 1 (1969/1970),,,CE Sabadell,-,Valencia,2:0 (1:0),
Jornada 1 (1969/1970),,,Sevilla,-,Atlético,0:1 (0:0),
Jornada 1 (1969/1970),,,Deportivo,-,Zaragoza,0:1 (0:1),
Jornada 1 (1969/1970),,,Real Sociedad,-,Celta,2:1 (1:0),
Jornada 1 (1969/1970),,,Athletic,-,Mallorca,2:0 (1:0),
Jornada 2 (1969/1970),20.09.1969,,Valencia,-,Sevilla,0:1 (0:1),
Jornada 2 (1969/1970),21.09.1969,,Atlético,-,Las Palmas,1:2 (0:1),
Jornada 2 (1969/1970),,,Zaragoza,-,Pontevedra CF,2:1 (2:0),
Jornada 2 (1969/1970),,,Barcelona,-,Deportivo,1:0 (0:0),
Jornada 2 (1969/1970),,,Granada,-,Athletic,0:0 (0:0),
Jornada 2 (1969/1970),,,Elche,-,Real Madrid,0:2 (0:2),
Jornada 2 (1969/1970),,,Mallorca,-,Real Sociedad,3:2 (0:1),
Jornada 2 (1969/1970),,,Celta,-,CE Sabadell,1:1 (1:0),
Jornada 3 (1969/1970),27.09.1969,,Athletic,-,Zaragoza,2:0 (2:0),
Jornada 3 (1969/1970),,,Las Palmas,-,Real Madrid,2:4 (2:1),
Jornada 3 (1969/1970),28.09.1969,,Pontevedra CF,-,Barcelona,0:0 (0:0),
Jornada 3 (1969/1970),,,CE Sabadell,-,Mallorca,1:0 (0:0),
Jornada 3 (1969/1970),,,Real Sociedad,-,Granada,2:1 (1:1),
Jornada 3 (1969/1970),,,Deportivo,-,Elche,1:0 (1:0),
Jornada 3 (1969/1970),,,Atlético,-,Valencia,2:0 (0:0),
Jornada 3 (1969/1970),,,Sevilla,-,Celta,3:0 (1:0),
Jornada 4 (1969/1970),05.10.1969,,Zaragoza,-,Real Sociedad,2:1 (2:0),
Jornada 4 (1969/1970),,,Real Madrid,-,Deportivo,2:2 (0:2),
Jornada 4 (1969/1970),,,Granada,-,CE Sabadell,2:1 (1:1),
Jornada 4 (1969/1970),,,Celta,-,Atlético,1:1 (0:1),
Jornada 4 (1969/1970),,,Barcelona,-,Athletic,3:2 (1:0),
Jornada 4 (1969/1970),,,Las Palmas,-,Valencia,0:2 (0:0),
Jornada 4 (1969/1970),,,Mallorca,-,Sevilla,1:2 (0:0),
Jornada 4 (1969/1970),,,Elche,-,Pontevedra CF,1:0 (0:0),
Jornada 5 (1969/1970),12.10.1969,,CE Sabadell,-,Zaragoza,1:1 (0:0),
Jornada 5 (1969/1970),,,Atlético,-,Mallorca,3:1 (2:0),
Jornada 5 (1969/1970),,,Sevilla,-,Granada,0:0 (0:0),
Jornada 5 (1969/1970),,,Athletic,-,Elche,2:0 (2:0),
Jornada 5 (1969/1970),,,Valencia,-,Celta,0:0 (0:0),
Jornada 5 (1969/1970),,,Real Sociedad,-,Barcelona,1:0 (1:0),
Jornada 5 (1969/1970),,,Pontevedra CF,-,Real Madrid,1:3 (0:3),
Jornada 5 (1969/1970),,,Deportivo,-,Las Palmas,0:0 (0:0),
Jornada 6 (1969/1970),18.10.1969,,Barcelona,-,CE Sabadell,3:1 (1:0),
Jornada 6 (1969/1970),19.10.1969,,Mallorca,-,Valencia,0:3 (0:2),
Jornada 6 (1969/1970),,,Celta,-,Las Palmas,1:0 (0:0),
Jornada 6 (1969/1970),,,Elche,-,Real Sociedad,4:2 (1:0),
Jornada 6 (1969/1970),,,Deportivo,-,Pontevedra CF,2:1 (1:1),
Jornada 6 (1969/1970),,,Real Madrid,-,Athletic,2:2 (2:0),
Jornada 6 (1969/1970),,,Zaragoza,-,Sevilla,1:0 (1:0),
Jornada 6 (1969/1970),,,Granada,-,Atlético,0:0 (0:0),
Jornada 7 (1969/1970),26.10.1969,,Athletic,-,Deportivo,1:0 (0:0),
Jornada 7 (1969/1970),,,Las Palmas,-,Pontevedra CF,1:1 (0:1),
Jornada 7 (1969/1970),,,Celta,-,Mallorca,3:1 (1:0),
Jornada 7 (1969/1970),,,CE Sabadell,-,Elche,1:2 (1:1),
Jornada 7 (1969/1970),,,Atlético,-,Zaragoza,2:0 (0:0),
