Jornada,Fecha,Hora,Local,Resultado,Visitante,Asistencia,Estadio
Jornada 1 (1955/1956),11.09.1955,,Real Sociedad,-,Barcelona,1:2 (0:1),
Jornada 1 (1955/1956),,,Las Palmas,-,Valencia,2:0 (1:0),
Jornada 1 (1955/1956),,,Athletic,-,Sevilla,6:1 (4:0),
Jornada 1 (1955/1956),,,Espanyol,-,Valladolid,4:3 (2:2),
Jornada 1 (1955/1956),,,Real Murcia,-,Deportivo,5:4 (4:2),
Jornada 1 (1955/1956),,,Atlético,-,Hércules CF,9:0 (3:0),
Jornada 1 (1955/1956),,,CyD Leonesa,-,Alavés,4:1 (1:0),
Jornada 1 (1955/1956),,,Celta,-,Real Madrid,3:1 (1:0),
Jornada 2 (1955/1956),18.09.1955,,Valencia,-,Celta,6:0 (2:0),
Jornada 2 (1955/1956),,,Valladolid,-,CyD Leonesa,3:0 (1:0),
Jornada 2 (1955/1956),,,Deportivo,-,Las Palmas,1:2 (1:1),
Jornada 2 (1955/1956),,,Real Madrid,-,Athletic,2:1 (2:0),
Jornada 2 (1955/1956),,,Barcelona,-,Atlético,2:2 (1:0),
Jornada 2 (1955/1956),,,Sevilla,-,Espanyol,4:0 (1:0),
Jornada 2 (1955/1956),,,Alavés,-,Real Sociedad,1:1 (1:0),
Jornada 2 (1955/1956),,,Hércules CF,-,Real Murcia,2:1 (2:1),
Jornada 3 (1955/1956),25.09.1955,,Athletic,-,Valencia,4:2 (4:0),
Jornada 3 (1955/1956),,,Atlético,-,Alavés,8:1 (3:0),
Jornada 3 (1955/1956),,,Deportivo,-,Hércules CF,3:0 (2:0),
Jornada 3 (1955/1956),,,Real Sociedad,-,Valladolid,4:1 (2:0),
Jornada 3 (1955/1956),,,CyD Leonesa,-,Sevilla,0:4 (0:2),
Jornada 3 (1955/1956),,,Real Murcia,-,Barcelona,0:1 (0:0),
Jornada 3 (1955/1956),,,Espanyol,-,Real Madrid,2:1 (1:1),
Jornada 3 (1955/1956),,,Las Palmas,-,Celta,2:1 (1:0),
Jornada 4 (1955/1956),02.10.1955,,Barcelona,-,Deportivo,4:1 (3:1),
Jornada 4 (1955/1956),,,Las Palmas,-,Hércules CF,6:1 (2:1),
Jornada 4 (1955/1956),,,Alavés,-,Real Murcia,5:2 (0:2),
Jornada 4 (1955/1956),,,Valladolid,-,Atlético,3:1 (1:1),
Jornada 4 (1955/1956),,,Celta,-,Athletic,2:0 (1:0),
Jornada 4 (1955/1956),,,Valencia,-,Espanyol,2:1 (1:1),
