Jornada,Fecha,Hora,Local,Resultado,Visitante,Asistencia,Estadio
Jornada 1 (1957/1958),15.09.1957,,Las Palmas,-,Valencia,5:3 (2:3),
Jornada 1 (1957/1958),,,Sporting,-,Atlético,2:4 (0:2),
Jornada 1 (1957/1958),,,Real Sociedad,-,Zaragoza,1:1 (1:1),
Jornada 1 (1957/1958),,,Athletic,-,Celta,6:0 (3:0),
Jornada 1 (1957/1958),,,Real Madrid,-,Osasuna,3:0 (1:0),
Jornada 1 (1957/1958),,,Real Jaén,-,Granada,2:0 (0:0),
Jornada 1 (1957/1958),,,Valladolid,-,Espanyol,2:2 (1:2),
Jornada 1 (1957/1958),10.10.1957,,Barcelona,-,Sevilla,3:1 (2:1),
Jornada 2 (1957/1958),22.09.1957,,Espanyol,-,Las Palmas,3:0 (0:0),
Jornada 2 (1957/1958),,,Sevilla,-,Real Jaén,0:0 (0:0),
Jornada 2 (1957/1958),,,Zaragoza,-,Sporting,0:0 (0:0),
Jornada 2 (1957/1958),,,Granada,-,Real Madrid,0:2 (0:0),
Jornada 2 (1957/1958),,,Atlético,-,Athletic,3:2 (1:0),
Jornada 2 (1957/1958),,,Valencia,-,Barcelona,1:1 (1:0),
Jornada 2 (1957/1958),,,Osasuna,-,Real Sociedad,3:0 (2:0),
Jornada 2 (1957/1958),,,Celta,-,Valladolid,3:1 (0:1),
Jornada 3 (1957/1958),29.09.1957,,Valladolid,-,Atlético,2:2 (1:2),
Jornada 3 (1957/1958),,,Real Sociedad,-,Granada,4:1 (2:0),
Jornada 3 (1957/1958),,,Sporting,-,Osasuna,2:3 (1:1),
Jornada 3 (1957/1958),,,Espanyol,-,Celta,1:1 (0:0),
Jornada 3 (1957/1958),,,Real Madrid,-,Sevilla,6:0 (4:0),
Jornada 3 (1957/1958),,,Real Jaén,-,Valencia,1:0 (0:0),
Jornada 3 (1957/1958),,,Las Palmas,-,Barcelona,0:7 (0:4),
Jornada 3 (1957/1958),,,Athletic,-,Zaragoza,4:1 (3:1),
Jornada 4 (1957/1958),06.10.1957,,Las Palmas,-,Celta,1:6 (0:3),
Jornada 4 (1957/1958),,,Granada,-,Sporting,1:0 (0:0),
Jornada 4 (1957/1958),,,Zaragoza,-,Valladolid,3:0 (2:0),
Jornada 4 (1957/1958),,,Atlético,-,Espanyol,2:3 (2:3),
Jornada 4 (1957/1958),,,Valencia,-,Real Madrid,2:2 (1:0),
Jornada 4 (1957/1958),,,Osasuna,-,Athletic,2:2 (2:1),
Jornada 4 (1957/1958),,,Sevilla,-,Real Sociedad,3:0 (2:0),
Jornada 4 (1957/1958),,,Barcelona,-,Real Jaén,6:1 (3:0),
Jornada 5 (1957/1958),13.10.1957,,Celta,-,Atlético,2:2 (1:2),
Jornada 5 (1957/1958),,,Valladolid,-,Osasuna,0:4 (0:1),
Jornada 5 (1957/1958),,,Real Jaén,-,Las Palmas,1:1 (1:0),
Jornada 5 (1957/1958),,,Sporting,-,Sevilla,1:1 (1:1),
Jornada 5 (1957/1958),,,Real Sociedad,-,Valencia,0:0 (0:0),
Jornada 5 (1957/1958),,,Real Madrid,-,Barcelona,3:0 (2:0),
Jornada 5 (1957/1958),,,Espanyol,-,Zaragoza,1:0 (0:0),
