Jornada,Fecha,Hora,Local,Resultado,Visitante,Asistencia,Estadio
Jornada 1 (1991/1992),31.08.1991,,Athletic,-,Sevilla,0:2 (0:1),
Jornada 1 (1991/1992),,,Valencia,-,Deportivo,2:1 (1:1),
Jornada 1 (1991/1992),,,Cádiz CF,-,Real Madrid,0:1 (0:1),
Jornada 1 (1991/1992),01.09.1991,,Zaragoza,-,Espanyol,1:1 (1:0),
Jornada 1 (1991/1992),,,Barcelona,-,Real Sociedad,2:0 (1:0),
Jornada 1 (1991/1992),,,Valladolid,-,Sporting,0:1 (0:0),
Jornada 1 (1991/1992),,,Real Oviedo,-,Mallorca,0:0 (0:0),
Jornada 1 (1991/1992),,,Atlético,-,Real Burgos,2:0 (0:0),
Jornada 1 (1991/1992),,,Tenerife,-,CD Logroñés,3:0 (2:0),
Jornada 1 (1991/1992),,,Osasuna,-,Albacete,2:0 (1:0),
Jornada 2 (1991/1992),07.09.1991,,Sevilla,-,Barcelona,4:2 (3:0),
Jornada 2 (1991/1992),08.09.1991,,Sporting,-,Athletic,3:2 (1:0),
Jornada 2 (1991/1992),,,Deportivo,-,Tenerife,1:1 (1:0),
Jornada 2 (1991/1992),,,CD Logroñés,-,Cádiz CF,2:1 (1:0),
Jornada 2 (1991/1992),,,Real Burgos,-,Osasuna,4:0 (2:0),
Jornada 2 (1991/1992),,,Real Madrid,-,Valladolid,1:0 (0:0),
Jornada 2 (1991/1992),,,Espanyol,-,Real Oviedo,0:1 (0:0),
Jornada 2 (1991/1992),,,Real Sociedad,-,Zaragoza,0:0 (0:0),
Jornada 2 (1991/1992),,,Albacete,-,Valencia,1:0 (0:0),
Jornada 2 (1991/1992),,,Mallorca,-,Atlético,0:2 (0:0),
Jornada 3 (1991/1992),14.09.1991,,Real Oviedo,-,Real Sociedad,2:0 (1:0),
Jornada 3 (1991/1992),,,Valencia,-,Real Burgos,1:1 (0:1),
Jornada 3 (1991/1992),,,Athletic,-,Real Madrid,1:4 (0:3),
Jornada 3 (1991/1992),,,Barcelona,-,Zaragoza,3:1 (1:1),
Jornada 3 (1991/1992),,,Osasuna,-,Mallorca,1:0 (1:0),
Jornada 3 (1991/1992),15.09.1991,,Sevilla,-,Sporting,2:1 (1:0),
Jornada 3 (1991/1992),,,Tenerife,-,Albacete,2:3 (1:0),
Jornada 3 (1991/1992),,,Valladolid,-,CD Logroñés,1:2 (1:2),
Jornada 3 (1991/1992),,,Cádiz CF,-,Deportivo,1:0 (1:0),
Jornada 3 (1991/1992),,,Atlético,-,Espanyol,3:0 (2:0),
Jornada 4 (1991/1992),28.09.1991,,Zaragoza,-,Real Oviedo,3:2 (2:1),
Jornada 4 (1991/1992),,,Real Madrid,-,Sevilla,3:1 (2:0),
Jornada 4 (1991/1992),,,Real Sociedad,-,Atlético,0:2 (0:1),
Jornada 4 (1991/1992),,,Sporting,-,Barcelona,2:1 (1:0),
Jornada 4 (1991/1992),29.09.1991,,Real Burgos,-,Tenerife,3:1 (1:1),
Jornada 4 (1991/1992),,,Albacete,-,Cádiz CF,0:1 (0:0),
Jornada 4 (1991/1992),,,Espanyol,-,Osasuna,3:2 (2:0),
Jornada 4 (1991/1992),,,Deportivo,-,Valladolid,1:0 (1:0),
Jornada 4 (1991/1992),,,CD Logroñés,-,Athletic,0:1 (0:0),
Jornada 4 (1991/1992),,,Mallorca,-,Valencia,0:1 (0:1),
Jornada 5 (1991/1992),05.10.1991,,Valencia,-,Espanyol,1:0 (0:0),
Jornada 5 (1991/1992),06.10.1991,,Tenerife,-,Mallorca,0:1 (0:0),
Jornada 5 (1991/1992),,,Athletic,-,Deportivo,0:0 (0:0),
Jornada 5 (1991/1992),,,Valladolid,-,Albacete,1:0 (0:0),
Jornada 5 (1991/1992),,,Cádiz CF,-,Real Burgos,0:2 (0:0),
Jornada 5 (1991/1992),,,Atlético,-,Zaragoza,2:1 (1:0),
Jornada 5 (1991/1992),,,Osasuna,-,Real Sociedad,1:0 (0:0),
Jornada 5 (1991/1992),,,Sevilla,-,CD Logroñés,0:1 (0:0),
Jornada 5 (1991/1992),,,Sporting,-,Real Madrid,1:4 (0:2),
Jornada 5 (1991/1992),,,Barcelona,-,Real Oviedo,1:2 (1:2),
Jornada 6 (1991/1992),19.10.1991,,Real Oviedo,-,Atlético,0:1 (0:0),
Jornada 6 (1991/1992),,,Real Madrid,-,Barcelona,1:1 (1:0),
Jornada 6 (1991/1992),20.10.1991,,Real Sociedad,-,Valencia,3:1 (1:0),
Jornada 6 (1991/1992),,,Espanyol,-,Tenerife,2:2 (1:1),
Jornada 6 (1991/1992),,,Mallorca,-,Cádiz CF,1:0 (1:0),
Jornada 6 (1991/1992),,,Zaragoza,-,Osasuna,2:0 (2:0),
