Jornada,Equipo,ELO
1,Betis,1219.52
1,Athletic,1512.25
1,Real Madrid,1571.59
1,Zaragoza,1280.77
1,Hércules CF,1271.46
1,Barcelona,1581.48
1,Real Racing,1253.16
1,Celta,1295.56
1,Sevilla,1661.92
1,Valencia,1724.04
1,Atlético,1645.22
1,Espanyol,1538.11
1,Real Murcia,1298.63
1,Real Oviedo,1651.75
1,Granada,1529.15
1,Deportivo,1426.88
1,Real Sociedad,1333.76
1,CD Castellón,1612.88
1,CE Sabadell,1565.04
1,Sporting,1501.83
2,Betis,1219.52
2,Athletic,1528.84
2,Real Madrid,1597.65
2,Zaragoza,1280.77
2,Hércules CF,1271.46
2,Barcelona,1569.94
2,Real Racing,1253.16
2,Celta,1295.56
2,Sevilla,1659.68
2,Valencia,1697.5
2,Atlético,1626.16
2,Espanyol,1512.05
2,Real Murcia,1325.17
2,Real Oviedo,1663.29
2,Granada,1548.21
2,Deportivo,1430.28
2,Real Sociedad,1333.76
2,CD Castellón,1615.12
2,CE Sabadell,1548.45
2,Sporting,1498.43
3,Betis,1219.52
3,Athletic,1544.67
3,Real Madrid,1590.49
3,Zaragoza,1280.77
3,Hércules CF,1271.46
3,Barcelona,1591.36
3,Real Racing,1253.16
3,Celta,1295.56
3,Sevilla,1682.79
3,Valencia,1711.41
3,Atlético,1658.57
3,Espanyol,1503.54
3,Real Murcia,1309.34
3,Real Oviedo,1671.8
3,Granada,1526.79
3,Deportivo,1437.44
3,Real Sociedad,1333.76
3,CD Castellón,1582.71
3,CE Sabadell,1525.34
3,Sporting,1484.52
4,Betis,1219.52
4,Athletic,1563.6
4,Real Madrid,1595.84
4,Zaragoza,1280.77
4,Hércules CF,1271.46
4,Barcelona,1605.42
4,Real Racing,1253.16
4,Celta,1295.56
4,Sevilla,1641.86
4,Valencia,1706.06
4,Atlético,1667.71
4,Espanyol,1536.41
4,Real Murcia,1350.27
4,Real Oviedo,1625.11
4,Granada,1573.48
4,Deportivo,1404.57
4,Real Sociedad,1333.76
4,CD Castellón,1568.65
4,CE Sabadell,1516.2
4,Sporting,1465.59
5,Betis,1219.52
5,Athletic,1579.35
5,Real Madrid,1580.09
5,Zaragoza,1280.77
5,Hércules CF,1271.46
5,Barcelona,1616.21
5,Real Racing,1253.16
5,Celta,1295.56
5,Sevilla,1663.4
5,Valencia,1718.56
5,Atlético,1671.71
5,Espanyol,1523.91
5,Real Murcia,1346.27
5,Real Oviedo,1616.13
5,Granada,1550.31
5,Deportivo,1413.55
5,Real Sociedad,1333.76
5,CD Castellón,1591.82
5,CE Sabadell,1505.41
5,Sporting,1444.05
6,Betis,1219.52
6,Athletic,1591.49
6,Real Madrid,1626.13
6,Zaragoza,1280.77
6,Hércules CF,1271.46
6,Barcelona,1605.79
6,Real Racing,1253.16
6,Celta,1295.56
6,Sevilla,1617.36
6,Valencia,1722.81
6,Atlético,1635.71
6,Espanyol,1511.77
6,Real Murcia,1356.69
6,Real Oviedo,1591.68
6,Granada,1534.04
6,Deportivo,1409.3
6,Real Sociedad,1333.76
6,CD Castellón,1616.27
6,CE Sabadell,1521.68
6,Sporting,1480.05
7,Betis,1219.52
7,Athletic,1606.45
7,Real Madrid,1640.94
7,Zaragoza,1280.77
7,Hércules CF,1271.46
7,Barcelona,1620.71
7,Real Racing,1253.16
7,Celta,1295.56
7,Sevilla,1612.64
7,Valencia,1691.72
7,Atlético,1620.9
7,Espanyol,1516.49
7,Real Murcia,1364.21
7,Real Oviedo,1622.77
7,Granada,1526.52
7,Deportivo,1394.34
7,Real Sociedad,1333.76
7,CD Castellón,1649.83
7,CE Sabadell,1488.12
7,Sporting,1465.13
8,Betis,1219.52
8,Athletic,1584.55
8,Real Madrid,1654.52
8,Zaragoza,1280.77
8,Hércules CF,1271.46
8,Barcelona,1607.13
8,Real Racing,1253.16
8,Celta,1295.56
8,Sevilla,1590.19
8,Valencia,1713.62
8,Atlético,1641.32
8,Espanyol,1496.07
8,Real Murcia,1402.51
8,Real Oviedo,1616.86
8,Granada,1499.67
8,Deportivo,1416.79
8,Real Sociedad,1333.76
8,CD Castellón,1611.53
8,CE Sabadell,1494.03
8,Sporting,1491.98
9,Betis,1219.52
9,Athletic,1563.82
9,Real Madrid,1662.91
9,Zaragoza,1280.77
9,Hércules CF,1271.46
9,Barcelona,1617.09
9,Real Racing,1253.16
9,Celta,1295.56
9,Sevilla,1609.52
9,Valencia,1694.29
9,Atlético,1632.21
9,Espanyol,1486.11
9,Real Murcia,1377.65
9,Real Oviedo,1637.59
9,Granada,1491.28
9,Deportivo,1425.9
9,Real Sociedad,1333.76
9,CD Castellón,1630.82
9,CE Sabadell,1518.89
9,Sporting,1472.69
10,Betis,1219.52
10,Athletic,1601.67
10,Real Madrid,1676.0
10,Zaragoza,1280.77
10,Hércules CF,1271.46
10,Barcelona,1624.29
10,Real Racing,1253.16
10,Celta,1295.56
10,Sevilla,1571.67
10,Valencia,1724.97
10,Atlético,1601.53
10,Espanyol,1523.93
10,Real Murcia,1432.35
10,Real Oviedo,1582.89
10,Granada,1453.46
10,Deportivo,1418.7
10,Real Sociedad,1333.76
10,CD Castellón,1617.73
10,CE Sabadell,1502.57
10,Sporting,1489.01
11,Betis,1219.52
11,Athletic,1587.25
11,Real Madrid,1654.93
11,Zaragoza,1280.77
11,Hércules CF,1271.46
11,Barcelona,1642.77
11,Real Racing,1253.16
11,Celta,1295.56
11,Sevilla,1549.56
11,Valencia,1706.49
11,Atlético,1615.95
11,Espanyol,1507.1
11,Real Murcia,1434.94
11,Real Oviedo,1605.0
11,Granada,1479.42
11,Deportivo,1392.74
11,Real Sociedad,1333.76
11,CD Castellón,1634.56
11,CE Sabadell,1523.64
11,Sporting,1486.42
12,Betis,1219.52
12,Athletic,1620.65
12,Real Madrid,1661.27
12,Zaragoza,1280.77
12,Hércules CF,1271.46
12,Barcelona,1609.37
12,Real Racing,1253.16
12,Celta,1295.56
12,Sevilla,1583.84
12,Valencia,1720.75
12,Atlético,1581.67
12,Espanyol,1485.34
12,Real Murcia,1428.6
12,Real Oviedo,1614.68
12,Granada,1465.16
12,Deportivo,1402.37
12,Real Sociedad,1333.76
12,CD Castellón,1624.93
12,CE Sabadell,1545.4
12,Sporting,1476.74
13,Betis,1219.52
13,Athletic,1629.01
13,Real Madrid,1668.68
13,Zaragoza,1280.77
13,Hércules CF,1271.46
13,Barcelona,1630.55
13,Real Racing,1253.16
13,Celta,1295.56
13,Sevilla,1562.66
13,Valencia,1716.45
13,Atlético,1597.45
13,Espanyol,1497.42
13,Real Murcia,1416.52
13,Real Oviedo,1598.9
13,Granada,1456.8
13,Deportivo,1393.57
13,Real Sociedad,1333.76
13,CD Castellón,1629.23
13,CE Sabadell,1554.2
13,Sporting,1469.33
14,Betis,1219.52
14,Athletic,1614.6
14,Real Madrid,1691.8
14,Zaragoza,1280.77
14,Hércules CF,1271.46
14,Barcelona,1629.03
14,Real Racing,1253.16
14,Celta,1295.56
14,Sevilla,1533.05
14,Valencia,1709.48
14,Atlético,1598.97
14,Espanyol,1510.67
14,Real Murcia,1429.99
14,Real Oviedo,1575.78
14,Granada,1486.41
14,Deportivo,1380.1
14,Real Sociedad,1333.76
14,CD Castellón,1643.64
14,CE Sabadell,1561.17
14,Sporting,1456.08
15,Betis,1219.52
15,Athletic,1639.04
15,Real Madrid,1658.01
15,Zaragoza,1280.77
15,Hércules CF,1271.46
15,Barcelona,1582.4
15,Real Racing,1253.16
15,Celta,1295.56
15,Sevilla,1589.62
15,Valencia,1722.98
15,Atlético,1593.96
15,Espanyol,1544.46
15,Real Murcia,1416.49
15,Real Oviedo,1622.41
15,Granada,1491.42
15,Deportivo,1383.54
15,Real Sociedad,1333.76
15,CD Castellón,1587.07
15,CE Sabadell,1536.73
15,Sporting,1452.64
16,Betis,1219.52
16,Athletic,1630.0
16,Real Madrid,1671.84
16,Zaragoza,1280.77
16,Hércules CF,1271.46
16,Barcelona,1593.13
16,Real Racing,1253.16
16,Celta,1295.56
16,Sevilla,1601.86
16,Valencia,1685.24
16,Atlético,1608.09
16,Espanyol,1579.66
16,Real Murcia,1425.53
16,Real Oviedo,1587.21
16,Granada,1480.69
16,Deportivo,1369.71
16,Real Sociedad,1333.76
16,CD Castellón,1572.94
16,CE Sabadell,1524.49
16,Sporting,1490.38
17,Betis,1219.52
17,Athletic,1610.08
17,Real Madrid,1644.12
17,Zaragoza,1280.77
17,Hércules CF,1271.46
17,Barcelona,1614.65
17,Real Racing,1253.16
17,Celta,1295.56
17,Sevilla,1619.67
17,Valencia,1712.96
17,Atlético,1619.1
17,Espanyol,1557.46
17,Real Murcia,1407.72
17,Real Oviedo,1582.45
17,Granada,1485.45
17,Deportivo,1391.91
17,Real Sociedad,1333.76
17,CD Castellón,1551.42
17,CE Sabadell,1513.48
17,Sporting,1510.3
18,Betis,1219.52
18,Athletic,1584.06
18,Real Madrid,1670.14
18,Zaragoza,1280.77
18,Hércules CF,1271.46
18,Barcelona,1624.98
18,Real Racing,1253.16
18,Celta,1295.56
18,Sevilla,1589.85
18,Valencia,1726.22
18,Atlético,1610.41
18,Espanyol,1544.2
18,Real Murcia,1416.41
18,Real Oviedo,1539.22
18,Granada,1466.89
18,Deportivo,1435.14
18,Real Sociedad,1333.76
18,CD Castellón,1569.98
18,CE Sabadell,1503.15
18,Sporting,1540.12
19,Betis,1219.52
19,Athletic,1609.6
19,Real Madrid,1681.28
19,Zaragoza,1280.77
19,Hércules CF,1271.46
19,Barcelona,1631.65
19,Real Racing,1253.16
19,Celta,1295.56
19,Sevilla,1578.71
19,Valencia,1733.43
19,Atlético,1628.7
19,Espanyol,1518.66
19,Real Murcia,1409.74
19,Real Oviedo,1564.09
19,Granada,1508.03
19,Deportivo,1427.93
19,Real Sociedad,1333.76
19,CD Castellón,1545.11
19,CE Sabadell,1462.01
19,Sporting,1521.83
20,Betis,1219.52
20,Athletic,1617.1
20,Real Madrid,1700.7
20,Zaragoza,1280.77
20,Hércules CF,1271.46
20,Barcelona,1651.66
20,Real Racing,1253.16
20,Celta,1295.56
20,Sevilla,1561.83
20,Valencia,1726.2
20,Atlético,1609.28
20,Espanyol,1535.54
20,Real Murcia,1438.89
20,Real Oviedo,1571.32
20,Granada,1478.88
20,Deportivo,1420.43
20,Real Sociedad,1333.76
20,CD Castellón,1541.35
20,CE Sabadell,1465.77
20,Sporting,1501.82
21,Betis,1219.52
21,Athletic,1621.97
21,Real Madrid,1658.21
21,Zaragoza,1280.77
21,Hércules CF,1271.46
21,Barcelona,1694.15
21,Real Racing,1253.16
21,Celta,1295.56
21,Sevilla,1579.54
21,Valencia,1721.33
21,Atlético,1627.35
21,Espanyol,1517.47
21,Real Murcia,1428.61
21,Real Oviedo,1594.93
21,Granada,1479.93
21,Deportivo,1402.72
21,Real Sociedad,1333.76
21,CD Castellón,1551.63
21,CE Sabadell,1442.16
21,Sporting,1500.77
22,Betis,1219.52
22,Athletic,1606.43
22,Real Madrid,1675.87
22,Zaragoza,1280.77
22,Hércules CF,1271.46
22,Barcelona,1686.65
22,Real Racing,1253.16
22,Celta,1295.56
22,Sevilla,1559.01
22,Valencia,1741.86
22,Atlético,1582.1
22,Espanyol,1524.97
22,Real Murcia,1452.35
22,Real Oviedo,1610.47
22,Granada,1462.27
22,Deportivo,1447.97
22,Real Sociedad,1333.76
22,CD Castellón,1513.29
22,CE Sabadell,1418.42
22,Sporting,1539.11
23,Betis,1219.52
23,Athletic,1618.89
23,Real Madrid,1692.12
23,Zaragoza,1280.77
23,Hércules CF,1271.46
23,Barcelona,1698.3
23,Real Racing,1253.16
23,Celta,1295.56
23,Sevilla,1546.55
23,Valencia,1700.63
23,Atlético,1623.33
23,Espanyol,1498.04
23,Real Murcia,1444.08
23,Real Oviedo,1618.74
23,Granada,1489.2
23,Deportivo,1436.32
23,Real Sociedad,1333.76
23,CD Castellón,1497.04
23,CE Sabadell,1423.76
23,Sporting,1533.77
24,Betis,1219.52
24,Athletic,1604.66
24,Real Madrid,1708.19
24,Zaragoza,1280.77
24,Hércules CF,1271.46
24,Barcelona,1712.81
24,Real Racing,1253.16
24,Celta,1295.56
24,Sevilla,1549.83
24,Valencia,1686.12
24,Atlético,1637.56
24,Espanyol,1531.42
24,Real Murcia,1422.53
24,Real Oviedo,1615.46
24,Granada,1486.78
24,Deportivo,1438.74
24,Real Sociedad,1333.76
24,CD Castellón,1463.66
24,CE Sabadell,1407.69
24,Sporting,1555.32
25,Betis,1219.52
