Jornada,Equipo,ELO
1,Sporting,1240.06
1,Athletic,1643.13
1,Valencia,1657.44
1,Espanyol,1651.81
1,Cádiz CF,1179.62
1,Las Palmas,1099.95
1,Zaragoza,1618.06
1,Sevilla,1413.41
1,Osasuna,1290.64
1,Atlético,1512.22
1,Betis,1507.05
1,CE Sabadell,1153.42
1,Real Sociedad,1586.27
1,Real Madrid,1666.53
1,Real Murcia,1079.67
1,Valladolid,1507.02
1,Barcelona,1786.38
1,Celta,1617.62
1,CD Logroñés,1220.9
1,Mallorca,1630.39
1,Real Oviedo,1475.98
1,Málaga,1193.95
1,Elche,999.5
1,CD Castellón,1180.32
1,Rayo,1419.53
1,Tenerife,1422.76
1,Real Burgos,1204.99
1,Deportivo,1639.77
1,Albacete,1332.55
1,Real Racing,1474.91
1,UE Lleida,1322.63
1,SD Compostela,1493.16
1,CP Mérida,1394.72
1,UD Salamanca,1332.16
1,Hércules CF,1317.42
1,CF Extremadura,1444.92
1,Alavés,1453.67
1,Villarreal,1420.13
1,Numancia,1515.34
2,Sporting,1240.06
2,Athletic,1623.34
2,Valencia,1642.79
2,Espanyol,1666.46
2,Cádiz CF,1179.62
2,Las Palmas,1099.95
2,Zaragoza,1638.56
2,Sevilla,1406.61
2,Osasuna,1290.64
2,Atlético,1489.44
2,Betis,1512.88
2,CE Sabadell,1153.42
2,Real Sociedad,1609.05
2,Real Madrid,1683.55
2,Real Murcia,1079.67
2,Valladolid,1526.81
2,Barcelona,1790.5
2,Celta,1624.42
2,CD Logroñés,1220.9
2,Mallorca,1608.16
2,Real Oviedo,1455.48
2,Málaga,1188.67
2,Elche,999.5
2,CD Castellón,1180.32
2,Rayo,1441.76
2,Tenerife,1422.76
2,Real Burgos,1204.99
2,Deportivo,1633.94
2,Albacete,1332.55
2,Real Racing,1470.79
2,UE Lleida,1322.63
2,SD Compostela,1493.16
2,CP Mérida,1394.72
2,UD Salamanca,1332.16
2,Hércules CF,1317.42
2,CF Extremadura,1444.92
2,Alavés,1458.95
2,Villarreal,1420.13
2,Numancia,1498.32
3,Sporting,1240.06
3,Athletic,1626.09
3,Valencia,1608.86
3,Espanyol,1647.5
3,Cádiz CF,1179.62
3,Las Palmas,1099.95
3,Zaragoza,1629.23
3,Sevilla,1415.94
3,Osasuna,1290.64
3,Atlético,1480.36
3,Betis,1462.94
3,CE Sabadell,1153.42
3,Real Sociedad,1588.18
3,Real Madrid,1680.8
3,Real Murcia,1079.67
3,Valladolid,1510.79
3,Barcelona,1809.46
3,Celta,1633.5
3,CD Logroñés,1220.9
3,Mallorca,1628.17
3,Real Oviedo,1441.7
3,Málaga,1238.61
3,Elche,999.5
3,CD Castellón,1180.32
3,Rayo,1462.63
3,Tenerife,1422.76
3,Real Burgos,1204.99
3,Deportivo,1649.96
3,Albacete,1332.55
3,Real Racing,1484.57
3,UE Lleida,1322.63
3,SD Compostela,1493.16
3,CP Mérida,1394.72
3,UD Salamanca,1332.16
3,Hércules CF,1317.42
3,CF Extremadura,1444.92
3,Alavés,1492.88
3,Villarreal,1420.13
3,Numancia,1478.31
4,Sporting,1240.06
4,Athletic,1619.67
4,Valencia,1588.72
4,Espanyol,1654.25
4,Cádiz CF,1179.62
4,Las Palmas,1099.95
4,Zaragoza,1622.77
4,Sevilla,1419.06
4,Osasuna,1290.64
4,Atlético,1486.82
4,Betis,1483.08
4,CE Sabadell,1153.42
4,Real Sociedad,1604.25
4,Real Madrid,1679.38
4,Real Murcia,1079.67
4,Valladolid,1518.68
4,Barcelona,1784.64
4,Celta,1612.51
4,CD Logroñés,1220.9
4,Mallorca,1612.1
4,Real Oviedo,1434.95
4,Málaga,1230.72
4,Elche,999.5
4,CD Castellón,1180.32
4,Rayo,1483.62
4,Tenerife,1422.76
4,Real Burgos,1204.99
4,Deportivo,1651.38
4,Albacete,1332.55
4,Real Racing,1481.45
4,UE Lleida,1322.63
4,SD Compostela,1493.16
4,CP Mérida,1394.72
4,UD Salamanca,1332.16
4,Hércules CF,1317.42
4,CF Extremadura,1444.92
4,Alavés,1517.7
4,Villarreal,1420.13
4,Numancia,1484.73
5,Sporting,1240.06
5,Athletic,1604.94
5,Valencia,1585.54
5,Espanyol,1660.17
5,Cádiz CF,1179.62
5,Las Palmas,1099.95
5,Zaragoza,1631.7
5,Sevilla,1413.14
5,Osasuna,1290.64
5,Atlético,1509.32
5,Betis,1474.44
5,CE Sabadell,1153.42
5,Real Sociedad,1581.94
5,Real Madrid,1665.63
5,Real Murcia,1079.67
5,Valladolid,1521.86
5,Barcelona,1793.28
5,Celta,1634.82
5,CD Logroñés,1220.9
5,Mallorca,1626.83
5,Real Oviedo,1452.74
5,Málaga,1244.47
5,Elche,999.5
5,CD Castellón,1180.32
5,Rayo,1474.69
5,Tenerife,1422.76
5,Real Burgos,1204.99
5,Deportivo,1618.34
5,Albacete,1332.55
5,Real Racing,1458.95
5,UE Lleida,1322.63
5,SD Compostela,1493.16
5,CP Mérida,1394.72
5,UD Salamanca,1332.16
5,Hércules CF,1317.42
5,CF Extremadura,1444.92
5,Alavés,1499.91
5,Villarreal,1420.13
5,Numancia,1517.77
6,Sporting,1240.06
6,Athletic,1591.08
6,Valencia,1603.22
6,Espanyol,1673.68
6,Cádiz CF,1179.62
6,Las Palmas,1099.95
6,Zaragoza,1651.3
6,Sevilla,1417.05
6,Osasuna,1290.64
6,Atlético,1495.81
6,Betis,1487.96
6,CE Sabadell,1153.42
6,Real Sociedad,1562.34
6,Real Madrid,1647.95
6,Real Murcia,1079.67
6,Valladolid,1513.94
6,Barcelona,1801.2
6,Celta,1648.91
6,CD Logroñés,1220.9
6,Mallorca,1612.74
6,Real Oviedo,1439.22
6,Málaga,1254.97
6,Elche,999.5
6,CD Castellón,1180.32
6,Rayo,1473.97
6,Tenerife,1422.76
6,Real Burgos,1204.99
6,Deportivo,1632.2
6,Albacete,1332.55
6,Real Racing,1459.67
6,UE Lleida,1322.63
6,SD Compostela,1493.16
6,CP Mérida,1394.72
6,UD Salamanca,1332.16
6,Hércules CF,1317.42
6,CF Extremadura,1444.92
6,Alavés,1496.0
6,Villarreal,1420.13
6,Numancia,1507.27
7,Sporting,1240.06
7,Athletic,1594.72
7,Valencia,1627.68
7,Espanyol,1651.78
7,Cádiz CF,1179.62
7,Las Palmas,1099.95
7,Zaragoza,1636.78
7,Sevilla,1451.69
7,Osasuna,1290.64
7,Atlético,1510.24
7,Betis,1453.32
7,CE Sabadell,1153.42
7,Real Sociedad,1525.22
7,Real Madrid,1654.58
7,Real Murcia,1079.67
7,Valladolid,1510.55
7,Barcelona,1794.57
7,Celta,1663.43
7,CD Logroñés,1220.9
7,Mallorca,1613.64
7,Real Oviedo,1442.61
7,Málaga,1251.33
7,Elche,999.5
7,CD Castellón,1180.32
7,Rayo,1495.87
7,Tenerife,1422.76
7,Real Burgos,1204.99
7,Deportivo,1631.3
7,Albacete,1332.55
7,Real Racing,1496.79
7,UE Lleida,1322.63
7,SD Compostela,1493.16
7,CP Mérida,1394.72
7,UD Salamanca,1332.16
7,Hércules CF,1317.42
7,CF Extremadura,1444.92
7,Alavés,1481.57
7,Villarreal,1420.13
7,Numancia,1482.81
8,Sporting,1240.06
8,Athletic,1610.5
8,Valencia,1611.9
8,Espanyol,1646.2
8,Cádiz CF,1179.62
8,Las Palmas,1099.95
8,Zaragoza,1663.7
8,Sevilla,1439.69
8,Osasuna,1290.64
8,Atlético,1493.48
8,Betis,1470.08
8,CE Sabadell,1153.42
8,Real Sociedad,1530.8
8,Real Madrid,1645.87
8,Real Murcia,1079.67
8,Valladolid,1522.55
8,Barcelona,1783.13
8,Celta,1621.74
8,CD Logroñés,1220.9
8,Mallorca,1586.72
8,Real Oviedo,1451.32
8,Málaga,1245.51
8,Elche,999.5
8,CD Castellón,1180.32
8,Rayo,1509.69
8,Tenerife,1422.76
8,Real Burgos,1204.99
8,Deportivo,1637.12
8,Albacete,1332.55
8,Real Racing,1538.48
8,UE Lleida,1322.63
8,SD Compostela,1493.16
8,CP Mérida,1394.72
8,UD Salamanca,1332.16
8,Hércules CF,1317.42
8,CF Extremadura,1444.92
8,Alavés,1467.75
8,Villarreal,1420.13
8,Numancia,1494.25
9,Sporting,1240.06
9,Athletic,1592.41
9,Valencia,1636.41
9,Espanyol,1630.77
9,Cádiz CF,1179.62
9,Las Palmas,1099.95
9,Zaragoza,1682.57
9,Sevilla,1448.21
9,Osasuna,1290.64
9,Atlético,1518.24
9,Betis,1495.53
9,CE Sabadell,1153.42
9,Real Sociedad,1527.93
9,Real Madrid,1637.35
9,Real Murcia,1079.67
9,Valladolid,1497.79
9,Barcelona,1801.22
9,Celta,1637.17
9,CD Logroñés,1220.9
9,Mallorca,1590.27
9,Real Oviedo,1467.51
9,Málaga,1241.96
9,Elche,999.5
9,CD Castellón,1180.32
9,Rayo,1484.24
9,Tenerife,1422.76
9,Real Burgos,1204.99
9,Deportivo,1612.61
9,Albacete,1332.55
9,Real Racing,1519.61
9,UE Lleida,1322.63
9,SD Compostela,1493.16
9,CP Mérida,1394.72
9,UD Salamanca,1332.16
9,Hércules CF,1317.42
9,CF Extremadura,1444.92
9,Alavés,1470.62
9,Villarreal,1420.13
9,Numancia,1478.06
10,Sporting,1240.06
10,Athletic,1586.89
10,Valencia,1623.4
10,Espanyol,1633.14
10,Cádiz CF,1179.62
10,Las Palmas,1099.95
10,Zaragoza,1680.2
10,Sevilla,1427.32
10,Osasuna,1290.64
10,Atlético,1548.63
10,Betis,1511.29
10,CE Sabadell,1153.42
10,Real Sociedad,1512.17
10,Real Madrid,1606.96
10,Real Murcia,1079.67
10,Valladolid,1482.81
10,Barcelona,1779.66
10,Celta,1616.33
10,CD Logroñés,1220.9
10,Mallorca,1587.06
10,Real Oviedo,1473.03
10,Málaga,1254.97
10,Elche,999.5
10,CD Castellón,1180.32
10,Rayo,1499.22
10,Tenerife,1422.76
10,Real Burgos,1204.99
10,Deportivo,1634.17
10,Albacete,1332.55
10,Real Racing,1522.82
10,UE Lleida,1322.63
10,SD Compostela,1493.16
10,CP Mérida,1394.72
10,UD Salamanca,1332.16
10,Hércules CF,1317.42
10,CF Extremadura,1444.92
10,Alavés,1491.46
10,Villarreal,1420.13
10,Numancia,1498.95
11,Sporting,1240.06
11,Athletic,1580.02
11,Valencia,1607.48
11,Espanyol,1628.22
11,Cádiz CF,1179.62
11,Las Palmas,1099.95
11,Zaragoza,1687.47
11,Sevilla,1434.19
11,Osasuna,1290.64
11,Atlético,1546.36
11,Betis,1487.64
11,CE Sabadell,1153.42
11,Real Sociedad,1538.57
11,Real Madrid,1617.04
11,Real Murcia,1079.67
11,Valladolid,1456.41
11,Barcelona,1752.17
11,Celta,1639.98
11,CD Logroñés,1220.9
11,Mallorca,1602.98
11,Real Oviedo,1464.86
11,Málaga,1282.46
11,Elche,999.5
11,CD Castellón,1180.32
11,Rayo,1489.14
11,Tenerife,1422.76
11,Real Burgos,1204.99
11,Deportivo,1642.34
11,Albacete,1332.55
11,Real Racing,1527.74
11,UE Lleida,1322.63
11,SD Compostela,1493.16
11,CP Mérida,1394.72
11,UD Salamanca,1332.16
11,Hércules CF,1317.42
11,CF Extremadura,1444.92
11,Alavés,1484.19
11,Villarreal,1420.13
11,Numancia,1501.22
12,Sporting,1240.06
12,Athletic,1600.66
12,Valencia,1639.33
12,Espanyol,1612.76
12,Cádiz CF,1179.62
12,Las Palmas,1099.95
12,Zaragoza,1652.76
12,Sevilla,1420.82
12,Osasuna,1290.64
12,Atlético,1525.72
12,Betis,1522.35
12,CE Sabadell,1153.42
12,Real Sociedad,1542.12
12,Real Madrid,1613.49
12,Real Murcia,1079.67
12,Valladolid,1444.62
12,Barcelona,1720.32
12,Celta,1651.77
12,CD Logroñés,1220.9
12,Mallorca,1618.44
12,Real Oviedo,1415.26
12,Málaga,1332.06
12,Elche,999.5
12,CD Castellón,1180.32
12,Rayo,1467.08
12,Tenerife,1422.76
12,Real Burgos,1204.99
12,Deportivo,1655.71
12,Albacete,1332.55
12,Real Racing,1511.52
12,UE Lleida,1322.63
12,SD Compostela,1493.16
12,CP Mérida,1394.72
12,UD Salamanca,1332.16
12,Hércules CF,1317.42
12,CF Extremadura,1444.92
12,Alavés,1500.41
12,Villarreal,1420.13
12,Numancia,1523.28
13,Sporting,1240.06
13,Athletic,1609.79
13,Valencia,1630.24
13,Espanyol,1593.84
13,Cádiz CF,1179.62
13,Las Palmas,1099.95
13,Zaragoza,1644.18
13,Sevilla,1416.82
13,Osasuna,1290.64
13,Atlético,1511.04
13,Betis,1521.85
13,CE Sabadell,1153.42
13,Real Sociedad,1555.76
13,Real Madrid,1600.65
13,Real Murcia,1079.67
13,Valladolid,1453.2
13,Barcelona,1701.79
13,Celta,1664.61
13,CD Logroñés,1220.9
13,Mallorca,1636.97
13,Real Oviedo,1424.35
13,Málaga,1336.06
13,Elche,999.5
13,CD Castellón,1180.32
13,Rayo,1457.95
13,Tenerife,1422.76
13,Real Burgos,1204.99
13,Deportivo,1670.39
13,Albacete,1332.55
13,Real Racing,1512.02
13,UE Lleida,1322.63
13,SD Compostela,1493.16
13,CP Mérida,1394.72
13,UD Salamanca,1332.16
13,Hércules CF,1317.42
13,CF Extremadura,1444.92
13,Alavés,1519.33
13,Villarreal,1420.13
13,Numancia,1509.64
14,Sporting,1240.06
14,Athletic,1607.32
14,Valencia,1640.59
14,Espanyol,1616.78
14,Cádiz CF,1179.62
14,Las Palmas,1099.95
14,Zaragoza,1673.48
14,Sevilla,1406.47
14,Osasuna,1290.64
14,Atlético,1518.75
14,Betis,1498.91
14,CE Sabadell,1153.42
14,Real Sociedad,1558.23
14,Real Madrid,1571.35
14,Real Murcia,1079.67
14,Valladolid,1470.04
14,Barcelona,1706.65
14,Celta,1632.19
14,CD Logroñés,1220.9
14,Mallorca,1631.75
14,Real Oviedo,1419.49
14,Málaga,1328.35
14,Elche,999.5
14,CD Castellón,1180.32
14,Rayo,1451.39
14,Tenerife,1422.76
14,Real Burgos,1204.99
14,Deportivo,1676.95
14,Albacete,1332.55
14,Real Racing,1495.18
14,UE Lleida,1322.63
14,SD Compostela,1493.16
14,CP Mérida,1394.72
14,UD Salamanca,1332.16
14,Hércules CF,1317.42
14,CF Extremadura,1444.92
14,Alavés,1524.55
14,Villarreal,1420.13
14,Numancia,1542.06
15,Sporting,1240.06
15,Athletic,1608.46
15,Valencia,1650.15
15,Espanyol,1610.4
15,Cádiz CF,1179.62
15,Las Palmas,1099.95
15,Zaragoza,1667.7
15,Sevilla,1430.96
15,Osasuna,1290.64
