Jornada,Equipo,ELO
1,Sporting,1156.84
1,Athletic,1441.91
1,Valencia,1391.89
1,Espanyol,1309.4
1,Cádiz CF,1337.32
1,Las Palmas,1056.49
1,Zaragoza,1059.28
1,Sevilla,1531.64
1,Osasuna,1358.04
1,Atlético,1600.31
1,Betis,1533.97
1,CE Sabadell,578.42
1,Real Sociedad,1476.76
1,Real Madrid,1681.48
1,Real Murcia,888.98
1,Valladolid,1229.18
1,Barcelona,1622.31
1,Celta,1394.58
1,CD Logroñés,645.9
1,Mallorca,1277.62
1,Real Oviedo,907.85
1,Málaga,1112.46
1,Elche,1310.42
1,CD Castellón,605.32
1,Rayo,1275.94
1,Tenerife,1003.4200000000001
1,Real Burgos,629.99
1,Deportivo,1150.84
1,Albacete,901.36
1,Real Racing,966.52
1,UE Lleida,747.63
1,SD Compostela,918.16
1,CP Mérida,819.72
1,UD Salamanca,757.16
1,Hércules CF,955.2
1,CF Extremadura,869.92
1,Alavés,1207.76
1,Villarreal,1531.46
1,Numancia,954.12
1,RC Recreativo,970.07
1,Getafe,1345.43
1,Levante,1329.59
1,Gimnàstic de Tarragona,950.87
1,Almería,1109.16
1,Xerez CD,1089.14
1,Granada,1276.17
1,Eibar,1226.37
1,Córdoba,998.36
1,Leganés,1310.6
1,Girona,1247.63
1,Huesca,1274.04
2,Sporting,1156.84
2,Athletic,1454.27
2,Valencia,1379.53
2,Espanyol,1284.35
2,Cádiz CF,1315.83
2,Las Palmas,1056.49
2,Zaragoza,1059.28
2,Sevilla,1520.41
2,Osasuna,1379.53
2,Atlético,1572.99
2,Betis,1539.34
2,CE Sabadell,578.42
2,Real Sociedad,1459.34
2,Real Madrid,1690.76
2,Real Murcia,888.98
2,Valladolid,1240.41
2,Barcelona,1639.73
2,Celta,1385.3
2,CD Logroñés,645.9
2,Mallorca,1272.25
2,Real Oviedo,907.85
2,Málaga,1112.46
2,Elche,1302.07
2,CD Castellón,605.32
2,Rayo,1300.99
2,Tenerife,1003.4200000000001
2,Real Burgos,629.99
2,Deportivo,1150.84
2,Albacete,901.36
2,Real Racing,966.52
2,UE Lleida,747.63
2,SD Compostela,918.16
2,CP Mérida,819.72
2,UD Salamanca,757.16
2,Hércules CF,955.2
2,CF Extremadura,869.92
2,Alavés,1207.76
2,Villarreal,1558.78
2,Numancia,954.12
2,RC Recreativo,970.07
2,Getafe,1316.31
2,Levante,1329.59
2,Gimnàstic de Tarragona,950.87
2,Almería,1117.51
2,Xerez CD,1089.14
2,Granada,1276.17
2,Eibar,1226.37
2,Córdoba,998.36
2,Leganés,1310.6
2,Girona,1276.75
2,Huesca,1274.04
3,Sporting,1156.84
3,Athletic,1475.07
3,Valencia,1372.4
3,Espanyol,1280.33
3,Cádiz CF,1295.03
3,Las Palmas,1056.49
3,Zaragoza,1059.28
3,Sevilla,1494.16
3,Osasuna,1371.31
3,Atlético,1580.12
3,Betis,1547.56
3,CE Sabadell,578.42
3,Real Sociedad,1467.64
3,Real Madrid,1694.78
3,Real Murcia,888.98
3,Valladolid,1234.3
3,Barcelona,1645.84
3,Celta,1395.35
3,CD Logroñés,645.9
3,Mallorca,1296.99
3,Real Oviedo,907.85
3,Málaga,1112.46
3,Elche,1293.77
3,CD Castellón,605.32
3,Rayo,1276.25
3,Tenerife,1003.4200000000001
3,Real Burgos,629.99
3,Deportivo,1150.84
3,Albacete,901.36
3,Real Racing,966.52
3,UE Lleida,747.63
3,SD Compostela,918.16
3,CP Mérida,819.72
3,UD Salamanca,757.16
3,Hércules CF,955.2
3,CF Extremadura,869.92
3,Alavés,1207.76
3,Villarreal,1549.13
3,Numancia,954.12
3,RC Recreativo,970.07
3,Getafe,1325.96
3,Levante,1329.59
3,Gimnàstic de Tarragona,950.87
3,Almería,1143.76
3,Xerez CD,1089.14
3,Granada,1276.17
3,Eibar,1226.37
3,Córdoba,998.36
3,Leganés,1310.6
3,Girona,1266.7
3,Huesca,1274.04
4,Sporting,1156.84
4,Athletic,1453.32
4,Valencia,1401.43
4,Espanyol,1302.08
4,Cádiz CF,1274.3
4,Las Palmas,1056.49
4,Zaragoza,1059.28
4,Sevilla,1477.17
4,Osasuna,1381.88
4,Atlético,1575.11
4,Betis,1538.91
4,CE Sabadell,578.42
4,Real Sociedad,1472.65
4,Real Madrid,1703.43
4,Real Murcia,888.98
4,Valladolid,1245.04
4,Barcelona,1662.83
4,Celta,1416.08
4,CD Logroñés,645.9
4,Mallorca,1295.6
4,Real Oviedo,907.85
4,Málaga,1112.46
4,Elche,1281.25
4,CD Castellón,605.32
4,Rayo,1265.68
4,Tenerife,1003.4200000000001
4,Real Burgos,629.99
4,Deportivo,1150.84
4,Albacete,901.36
4,Real Racing,966.52
4,UE Lleida,747.63
4,SD Compostela,918.16
4,CP Mérida,819.72
4,UD Salamanca,757.16
4,Hércules CF,955.2
4,CF Extremadura,869.92
4,Alavés,1207.76
4,Villarreal,1561.65
4,Numancia,954.12
4,RC Recreativo,970.07
4,Getafe,1296.93
4,Levante,1329.59
4,Gimnàstic de Tarragona,950.87
4,Almería,1133.02
4,Xerez CD,1089.14
4,Granada,1276.17
4,Eibar,1226.37
4,Córdoba,998.36
4,Leganés,1310.6
4,Girona,1268.09
4,Huesca,1274.04
5,Sporting,1156.84
5,Athletic,1468.94
5,Valencia,1381.65
5,Espanyol,1294.37
5,Cádiz CF,1267.84
5,Las Palmas,1056.49
5,Zaragoza,1059.28
5,Sevilla,1484.88
5,Osasuna,1387.44
5,Atlético,1591.6
5,Betis,1554.27
5,CE Sabadell,578.42
5,Real Sociedad,1451.5
5,Real Madrid,1708.46
5,Real Murcia,888.98
5,Valladolid,1231.58
5,Barcelona,1669.29
5,Celta,1399.59
5,CD Logroñés,645.9
5,Mallorca,1290.57
5,Real Oviedo,907.85
5,Málaga,1112.46
5,Elche,1265.63
5,CD Castellón,605.32
5,Rayo,1285.46
5,Tenerife,1003.4200000000001
5,Real Burgos,629.99
5,Deportivo,1150.84
5,Albacete,901.36
5,Real Racing,966.52
5,UE Lleida,747.63
5,SD Compostela,918.16
5,CP Mérida,819.72
5,UD Salamanca,757.16
5,Hércules CF,955.2
5,CF Extremadura,869.92
5,Alavés,1207.76
5,Villarreal,1546.29
5,Numancia,954.12
5,RC Recreativo,970.07
5,Getafe,1318.08
5,Levante,1329.59
5,Gimnàstic de Tarragona,950.87
5,Almería,1127.46
5,Xerez CD,1089.14
5,Granada,1276.17
5,Eibar,1226.37
5,Córdoba,998.36
5,Leganés,1310.6
5,Girona,1281.55
5,Huesca,1274.04
6,Sporting,1156.84
6,Athletic,1476.38
6,Valencia,1411.97
6,Espanyol,1286.06
6,Cádiz CF,1280.76
6,Las Palmas,1056.49
6,Zaragoza,1059.28
6,Sevilla,1487.68
6,Osasuna,1360.09
6,Atlético,1581.86
6,Betis,1559.24
6,CE Sabadell,578.42
6,Real Sociedad,1459.81
6,Real Madrid,1718.2
6,Real Murcia,888.98
6,Valladolid,1218.66
6,Barcelona,1674.43
6,Celta,1369.27
6,CD Logroñés,645.9
6,Mallorca,1298.68
6,Real Oviedo,907.85
6,Málaga,1112.46
6,Elche,1260.49
6,CD Castellón,605.32
6,Rayo,1278.02
6,Tenerife,1003.4200000000001
6,Real Burgos,629.99
6,Deportivo,1150.84
6,Albacete,901.36
6,Real Racing,966.52
6,UE Lleida,747.63
6,SD Compostela,918.16
6,CP Mérida,819.72
6,UD Salamanca,757.16
6,Hércules CF,955.2
6,CF Extremadura,869.92
6,Alavés,1207.76
6,Villarreal,1543.49
6,Numancia,954.12
6,RC Recreativo,970.07
6,Getafe,1345.43
6,Levante,1329.59
6,Gimnàstic de Tarragona,950.87
