Jornada,Equipo,ELO
1,Sporting,1040.06
1,Athletic,1450.51
1,Valencia,1554.93
1,Espanyol,1433.27
1,Cádiz CF,1280.71
1,Las Palmas,1260.83
1,Zaragoza,1513.62
1,Sevilla,1659.28
1,Osasuna,1503.3
1,Atlético,1513.72
1,Betis,1422.64
1,CE Sabadell,953.42
1,Real Sociedad,1412.2
1,Real Madrid,1698.43
1,Real Murcia,1154.47
1,Valladolid,1373.41
1,Barcelona,1684.89
1,Celta,1383.6
1,CD Logroñés,1020.9000000000001
1,Mallorca,1525.53
1,Real Oviedo,1282.85
1,Málaga,1217.61
1,Elche,799.5
1,CD Castellón,980.32
1,Rayo,1253.65
1,Tenerife,1236.04
1,Real Burgos,1004.99
1,Deportivo,1427.38
1,Albacete,1276.36
1,Real Racing,1459.53
1,UE Lleida,1122.63
1,SD Compostela,1293.16
1,CP Mérida,1194.72
1,UD Salamanca,1132.16
1,Hércules CF,1117.42
1,CF Extremadura,1244.92
1,Alavés,1346.05
1,Villarreal,1635.94
1,Numancia,1280.35
1,RC Recreativo,1499.77
1,Getafe,1479.5
1,Levante,1399.66
1,Gimnàstic de Tarragona,1325.87
1,Almería,1524.9
2,Sporting,1040.06
2,Athletic,1441.1
2,Valencia,1568.1
2,Espanyol,1432.78
2,Cádiz CF,1280.71
2,Las Palmas,1260.83
2,Zaragoza,1511.15
2,Sevilla,1652.54
2,Osasuna,1510.04
2,Atlético,1514.26
2,Betis,1423.13
2,CE Sabadell,953.42
2,Real Sociedad,1412.2
2,Real Madrid,1729.07
2,Real Murcia,1164.2
2,Valladolid,1375.88
2,Barcelona,1694.3
2,Celta,1383.6
2,CD Logroñés,1020.9000000000001
2,Mallorca,1524.99
2,Real Oviedo,1282.85
2,Málaga,1217.61
2,Elche,799.5
2,CD Castellón,980.32
2,Rayo,1253.65
2,Tenerife,1236.04
2,Real Burgos,1004.99
2,Deportivo,1424.91
2,Albacete,1276.36
2,Real Racing,1462.0
2,UE Lleida,1122.63
2,SD Compostela,1293.16
2,CP Mérida,1194.72
2,UD Salamanca,1132.16
2,Hércules CF,1117.42
2,CF Extremadura,1244.92
2,Alavés,1346.05
2,Villarreal,1605.3
2,Numancia,1280.35
2,RC Recreativo,1498.84
2,Getafe,1480.43
2,Levante,1389.93
2,Gimnàstic de Tarragona,1325.87
2,Almería,1511.73
3,Sporting,1040.06
3,Athletic,1444.28
3,Valencia,1575.27
3,Espanyol,1449.16
3,Cádiz CF,1280.71
3,Las Palmas,1260.83
3,Zaragoza,1507.97
3,Sevilla,1669.39
3,Osasuna,1517.81
3,Atlético,1502.02
3,Betis,1408.79
3,CE Sabadell,953.42
3,Real Sociedad,1412.2
3,Real Madrid,1739.24
3,Real Murcia,1176.44
3,Valladolid,1368.71
3,Barcelona,1686.53
3,Celta,1383.6
3,CD Logroñés,1020.9000000000001
3,Mallorca,1513.85
3,Real Oviedo,1282.85
3,Málaga,1217.61
3,Elche,799.5
3,CD Castellón,980.32
3,Rayo,1253.65
3,Tenerife,1236.04
3,Real Burgos,1004.99
3,Deportivo,1439.25
3,Albacete,1276.36
3,Real Racing,1473.47
3,UE Lleida,1122.63
3,SD Compostela,1293.16
3,CP Mérida,1194.72
3,UD Salamanca,1132.16
3,Hércules CF,1117.42
3,CF Extremadura,1244.92
3,Alavés,1346.05
3,Villarreal,1616.44
3,Numancia,1280.35
3,RC Recreativo,1481.99
3,Getafe,1464.05
3,Levante,1378.46
3,Gimnàstic de Tarragona,1325.87
3,Almería,1501.56
4,Sporting,1040.06
4,Athletic,1456.0
4,Valencia,1583.26
4,Espanyol,1436.1
4,Cádiz CF,1280.71
4,Las Palmas,1260.83
4,Zaragoza,1522.8
4,Sevilla,1655.68
4,Osasuna,1502.98
4,Atlético,1532.75
4,Betis,1400.8
4,CE Sabadell,953.42
4,Real Sociedad,1412.2
4,Real Madrid,1726.63
4,Real Murcia,1173.08
4,Valladolid,1381.32
4,Barcelona,1700.24
4,Celta,1383.6
4,CD Logroñés,1020.9000000000001
4,Mallorca,1513.28
4,Real Oviedo,1282.85
4,Málaga,1217.61
4,Elche,799.5
4,CD Castellón,980.32
4,Rayo,1253.65
4,Tenerife,1236.04
4,Real Burgos,1004.99
4,Deportivo,1440.39
4,Albacete,1276.36
4,Real Racing,1442.74
4,UE Lleida,1122.63
4,SD Compostela,1293.16
4,CP Mérida,1194.72
4,UD Salamanca,1132.16
4,Hércules CF,1117.42
4,CF Extremadura,1244.92
4,Alavés,1346.05
4,Villarreal,1619.8
4,Numancia,1280.35
4,RC Recreativo,1495.05
4,Getafe,1462.91
4,Levante,1366.74
4,Gimnàstic de Tarragona,1325.87
4,Almería,1502.13
5,Sporting,1040.06
5,Athletic,1438.12
5,Valencia,1592.87
5,Espanyol,1458.58
5,Cádiz CF,1280.71
5,Las Palmas,1260.83
5,Zaragoza,1507.53
5,Sevilla,1633.2
5,Osasuna,1521.05
5,Atlético,1550.63
5,Betis,1394.73
5,CE Sabadell,953.42
5,Real Sociedad,1412.2
5,Real Madrid,1732.7
5,Real Murcia,1169.31
5,Valladolid,1366.75
5,Barcelona,1715.51
5,Celta,1383.6
5,CD Logroñés,1020.9000000000001
5,Mallorca,1527.85
5,Real Oviedo,1282.85
5,Málaga,1217.61
5,Elche,799.5
5,CD Castellón,980.32
5,Rayo,1253.65
5,Tenerife,1236.04
5,Real Burgos,1004.99
5,Deportivo,1421.1
5,Albacete,1276.36
5,Real Racing,1430.62
5,UE Lleida,1122.63
5,SD Compostela,1293.16
5,CP Mérida,1194.72
5,UD Salamanca,1132.16
5,Hércules CF,1117.42
5,CF Extremadura,1244.92
5,Alavés,1346.05
5,Villarreal,1631.92
5,Numancia,1280.35
5,RC Recreativo,1514.34
5,Getafe,1453.3
5,Levante,1348.67
5,Gimnàstic de Tarragona,1325.87
5,Almería,1505.9
6,Sporting,1040.06
6,Athletic,1431.0
6,Valencia,1604.08
6,Espanyol,1471.45
6,Cádiz CF,1280.71
6,Las Palmas,1260.83
6,Zaragoza,1538.3
6,Sevilla,1602.43
6,Osasuna,1500.14
6,Atlético,1571.54
6,Betis,1434.1
6,CE Sabadell,953.42
6,Real Sociedad,1412.2
6,Real Madrid,1737.51
6,Real Murcia,1212.97
6,Valladolid,1323.09
6,Barcelona,1721.74
6,Celta,1383.6
6,CD Logroñés,1020.9000000000001
6,Mallorca,1488.48
6,Real Oviedo,1282.85
6,Málaga,1217.61
6,Elche,799.5
6,CD Castellón,980.32
6,Rayo,1253.65
6,Tenerife,1236.04
6,Real Burgos,1004.99
6,Deportivo,1408.23
6,Albacete,1276.36
6,Real Racing,1448.11
6,UE Lleida,1122.63
6,SD Compostela,1293.16
6,CP Mérida,1194.72
6,UD Salamanca,1132.16
6,Hércules CF,1117.42
6,CF Extremadura,1244.92
6,Alavés,1346.05
6,Villarreal,1639.04
6,Numancia,1280.35
6,RC Recreativo,1503.13
6,Getafe,1448.49
6,Levante,1342.44
6,Gimnàstic de Tarragona,1325.87
6,Almería,1488.41
7,Sporting,1040.06
7,Athletic,1433.62
7,Valencia,1584.41
7,Espanyol,1491.12
7,Cádiz CF,1280.71
7,Las Palmas,1260.83
7,Zaragoza,1552.41
7,Sevilla,1580.7
7,Osasuna,1520.03
7,Atlético,1554.45
7,Betis,1425.1
7,CE Sabadell,953.42
7,Real Sociedad,1412.2
7,Real Madrid,1746.92
7,Real Murcia,1221.97
7,Valladolid,1308.12
7,Barcelona,1738.83
7,Celta,1383.6
7,CD Logroñés,1020.9000000000001
7,Mallorca,1508.71
7,Real Oviedo,1282.85
7,Málaga,1217.61
7,Elche,799.5
7,CD Castellón,980.32
7,Rayo,1253.65
7,Tenerife,1236.04
7,Real Burgos,1004.99
7,Deportivo,1429.96
7,Albacete,1276.36
7,Real Racing,1463.08
7,UE Lleida,1122.63
7,SD Compostela,1293.16
7,CP Mérida,1194.72
7,UD Salamanca,1132.16
7,Hércules CF,1117.42
7,CF Extremadura,1244.92
7,Alavés,1346.05
7,Villarreal,1619.15
7,Numancia,1280.35
7,RC Recreativo,1493.72
7,Getafe,1428.26
7,Levante,1328.33
7,Gimnàstic de Tarragona,1325.87
7,Almería,1485.79
8,Sporting,1040.06
8,Athletic,1443.04
8,Valencia,1597.72
8,Espanyol,1514.58
8,Cádiz CF,1280.71
8,Las Palmas,1260.83
8,Zaragoza,1519.13
8,Sevilla,1589.36
8,Osasuna,1494.93
8,Atlético,1587.73
8,Betis,1426.84
8,CE Sabadell,953.42
8,Real Sociedad,1412.2
8,Real Madrid,1723.46
8,Real Murcia,1211.29
8,Valladolid,1298.7
8,Barcelona,1708.4
8,Celta,1383.6
8,CD Logroñés,1020.9000000000001
8,Mallorca,1530.58
8,Real Oviedo,1282.85
8,Málaga,1217.61
8,Elche,799.5
8,CD Castellón,980.32
8,Rayo,1253.65
8,Tenerife,1236.04
8,Real Burgos,1004.99
8,Deportivo,1416.65
8,Albacete,1276.36
8,Real Racing,1461.34
8,UE Lleida,1122.63
8,SD Compostela,1293.16
8,CP Mérida,1194.72
8,UD Salamanca,1132.16
8,Hércules CF,1117.42
8,CF Extremadura,1244.92
8,Alavés,1346.05
8,Villarreal,1649.58
8,Numancia,1280.35
8,RC Recreativo,1471.85
8,Getafe,1438.94
8,Levante,1319.67
8,Gimnàstic de Tarragona,1325.87
8,Almería,1510.89
9,Sporting,1040.06
9,Athletic,1442.29
9,Valencia,1568.19
9,Espanyol,1515.32
9,Cádiz CF,1280.71
9,Las Palmas,1260.83
9,Zaragoza,1558.31
9,Sevilla,1618.89
9,Osasuna,1486.75
9,Atlético,1592.81
9,Betis,1427.59
9,CE Sabadell,953.42
9,Real Sociedad,1412.2
9,Real Madrid,1730.13
9,Real Murcia,1234.86
9,Valladolid,1306.88
9,Barcelona,1719.5
9,Celta,1383.6
9,CD Logroñés,1020.9000000000001
9,Mallorca,1529.84
9,Real Oviedo,1282.85
9,Málaga,1217.61
9,Elche,799.5
9,CD Castellón,980.32
9,Rayo,1253.65
9,Tenerife,1236.04
9,Real Burgos,1004.99
9,Deportivo,1409.98
9,Albacete,1276.36
9,Real Racing,1482.72
9,UE Lleida,1122.63
9,SD Compostela,1293.16
9,CP Mérida,1194.72
9,UD Salamanca,1132.16
9,Hércules CF,1117.42
9,CF Extremadura,1244.92
9,Alavés,1346.05
9,Villarreal,1610.4
9,Numancia,1280.35
9,RC Recreativo,1448.28
9,Getafe,1417.56
9,Levante,1314.59
9,Gimnàstic de Tarragona,1325.87
9,Almería,1499.79
10,Sporting,1040.06
10,Athletic,1417.82
10,Valencia,1549.28
10,Espanyol,1504.63
10,Cádiz CF,1280.71
10,Las Palmas,1260.83
