Jornada,Equipo,ELO
1,Betis,1044.52
1,Athletic,1632.94
1,Real Madrid,1565.11
1,Zaragoza,1156.53
1,Hércules CF,1165.27
1,Barcelona,1572.55
1,Real Racing,1383.19
1,Celta,1548.8
1,Sevilla,1660.25
1,Valencia,1674.26
1,Atlético,1719.72
1,Espanyol,1575.34
1,Real Murcia,1308.76
1,Real Oviedo,1375.85
1,Granada,1311.03
1,Deportivo,1608.86
1,Real Sociedad,1577.94
1,CD Castellón,1221.86
1,CE Sabadell,1281.0
1,Sporting,1325.15
1,CD Alcoyano,1274.12
1,Gimnàstic de Tarragona,1302.8
1,Valladolid,1477.29
1,Málaga,1482.56
1,UE Lleida,1255.63
1,Atlético Tetuán,1474.24
1,Las Palmas,1474.43
2,Betis,1044.52
2,Athletic,1616.04
2,Real Madrid,1582.12
2,Zaragoza,1154.16
2,Hércules CF,1165.27
2,Barcelona,1589.45
2,Real Racing,1421.18
2,Celta,1571.56
2,Sevilla,1622.26
2,Valencia,1684.78
2,Atlético,1723.99
2,Espanyol,1577.71
2,Real Murcia,1308.76
2,Real Oviedo,1375.85
2,Granada,1311.03
2,Deportivo,1558.12
2,Real Sociedad,1567.42
2,CD Castellón,1221.86
2,CE Sabadell,1281.0
2,Sporting,1320.88
2,CD Alcoyano,1274.12
2,Gimnàstic de Tarragona,1302.8
2,Valladolid,1528.03
2,Málaga,1482.56
2,UE Lleida,1255.63
2,Atlético Tetuán,1457.23
2,Las Palmas,1451.67
3,Betis,1044.52
3,Athletic,1622.31
3,Real Madrid,1567.52
3,Zaragoza,1147.89
3,Hércules CF,1165.27
3,Barcelona,1595.35
3,Real Racing,1422.58
3,Celta,1552.56
3,Sevilla,1619.34
3,Valencia,1691.1
3,Atlético,1718.09
3,Espanyol,1592.31
3,Real Murcia,1308.76
3,Real Oviedo,1375.85
3,Granada,1311.03
3,Deportivo,1561.04
3,Real Sociedad,1535.33
3,CD Castellón,1221.86
3,CE Sabadell,1281.0
3,Sporting,1314.56
3,CD Alcoyano,1274.12
3,Gimnàstic de Tarragona,1302.8
3,Valladolid,1560.12
3,Málaga,1482.56
3,UE Lleida,1255.63
3,Atlético Tetuán,1476.23
3,Las Palmas,1450.27
4,Betis,1044.52
4,Athletic,1619.81
4,Real Madrid,1570.02
4,Zaragoza,1145.19
4,Hércules CF,1165.27
4,Barcelona,1578.64
4,Real Racing,1461.18
4,Celta,1554.38
4,Sevilla,1639.78
4,Valencia,1707.81
4,Atlético,1720.79
4,Espanyol,1590.49
4,Real Murcia,1308.76
4,Real Oviedo,1375.85
4,Granada,1311.03
4,Deportivo,1517.58
4,Real Sociedad,1578.79
4,CD Castellón,1221.86
4,CE Sabadell,1281.0
4,Sporting,1324.3
4,CD Alcoyano,1274.12
4,Gimnàstic de Tarragona,1302.8
4,Valladolid,1550.38
4,Málaga,1482.56
4,UE Lleida,1255.63
4,Atlético Tetuán,1437.63
4,Las Palmas,1429.83
5,Betis,1044.52
5,Athletic,1638.41
5,Real Madrid,1561.49
5,Zaragoza,1159.98
5,Hércules CF,1165.27
5,Barcelona,1577.34
5,Real Racing,1442.61
5,Celta,1535.78
5,Sevilla,1646.64
5,Valencia,1693.02
5,Atlético,1729.32
5,Espanyol,1609.06
5,Real Murcia,1308.76
5,Real Oviedo,1375.85
5,Granada,1311.03
5,Deportivo,1534.78
5,Real Sociedad,1555.37
5,CD Castellón,1221.86
5,CE Sabadell,1281.0
5,Sporting,1347.72
5,CD Alcoyano,1274.12
5,Gimnàstic de Tarragona,1302.8
5,Valladolid,1551.68
5,Málaga,1482.56
5,UE Lleida,1255.63
5,Atlético Tetuán,1430.77
5,Las Palmas,1412.63
6,Betis,1044.52
6,Athletic,1603.89
6,Real Madrid,1592.6
6,Zaragoza,1186.08
6,Hércules CF,1165.27
6,Barcelona,1598.75
6,Real Racing,1477.13
6,Celta,1521.53
6,Sevilla,1659.5
6,Valencia,1661.91
6,Atlético,1743.57
6,Espanyol,1596.2
6,Real Murcia,1308.76
6,Real Oviedo,1375.85
6,Granada,1311.03
6,Deportivo,1546.39
6,Real Sociedad,1533.96
6,CD Castellón,1221.86
6,CE Sabadell,1281.0
6,Sporting,1336.11
6,CD Alcoyano,1274.12
6,Gimnàstic de Tarragona,1302.8
6,Valladolid,1525.58
6,Málaga,1482.56
6,UE Lleida,1255.63
6,Atlético Tetuán,1400.43
6,Las Palmas,1442.97
7,Betis,1044.52
7,Athletic,1630.37
7,Real Madrid,1575.44
7,Zaragoza,1180.64
7,Hércules CF,1165.27
7,Barcelona,1575.12
7,Real Racing,1463.9
7,Celta,1498.55
7,Sevilla,1633.02
7,Valencia,1684.89
7,Atlético,1756.8
7,Espanyol,1609.58
7,Real Murcia,1308.76
7,Real Oviedo,1375.85
7,Granada,1311.03
