Jornada,Equipo,ELO
1,Betis,1194.52
1,Athletic,1612.81
1,Real Madrid,1729.72
1,Zaragoza,1255.77
1,Hércules CF,1266.42
1,Barcelona,1738.65
1,Real Racing,1228.16
1,Celta,1345.23
1,Sevilla,1545.99
1,Valencia,1712.68
1,Atlético,1604.16
1,Espanyol,1553.24
1,Real Murcia,1395.71
1,Real Oviedo,1599.61
1,Granada,1461.03
1,Deportivo,1367.14
1,Real Sociedad,1308.76
1,CD Castellón,1429.28
1,CE Sabadell,1371.57
1,Sporting,1568.93
1,CD Alcoyano,1510.62
2,Betis,1194.52
2,Athletic,1617.29
2,Real Madrid,1738.41
2,Zaragoza,1255.77
2,Hércules CF,1259.6
2,Barcelona,1750.35
2,Real Racing,1228.16
2,Celta,1353.57
2,Sevilla,1537.65
2,Valencia,1708.2
2,Atlético,1595.57
2,Espanyol,1541.54
2,Real Murcia,1404.3
2,Real Oviedo,1595.6
2,Granada,1461.03
2,Deportivo,1367.14
2,Real Sociedad,1308.76
2,CD Castellón,1420.59
2,CE Sabadell,1371.57
2,Sporting,1575.75
2,CD Alcoyano,1514.63
3,Betis,1194.52
3,Athletic,1608.55
3,Real Madrid,1737.02
3,Zaragoza,1255.77
3,Hércules CF,1270.33
3,Barcelona,1759.71
3,Real Racing,1228.16
3,Celta,1347.29
3,Sevilla,1532.45
3,Valencia,1709.59
3,Atlético,1595.57
3,Espanyol,1530.81
3,Real Murcia,1413.04
3,Real Oviedo,1595.6
3,Granada,1461.03
3,Deportivo,1367.14
3,Real Sociedad,1308.76
3,CD Castellón,1425.79
3,CE Sabadell,1371.57
3,Sporting,1582.03
3,CD Alcoyano,1505.27
4,Betis,1194.52
4,Athletic,1584.85
4,Real Madrid,1714.98
4,Zaragoza,1255.77
4,Hércules CF,1260.94
4,Barcelona,1726.8
4,Real Racing,1228.16
4,Celta,1332.41
4,Sevilla,1554.49
4,Valencia,1716.61
4,Atlético,1628.48
4,Espanyol,1545.69
4,Real Murcia,1406.02
4,Real Oviedo,1619.3
4,Granada,1461.03
4,Deportivo,1367.14
4,Real Sociedad,1308.76
4,CD Castellón,1412.57
4,CE Sabadell,1371.57
4,Sporting,1595.25
4,CD Alcoyano,1514.66
5,Betis,1194.52
5,Athletic,1641.0
5,Real Madrid,1721.58
5,Zaragoza,1255.77
5,Hércules CF,1286.67
5,Barcelona,1670.65
5,Real Racing,1228.16
5,Celta,1387.61
5,Sevilla,1570.59
5,Valencia,1679.9
5,Atlético,1602.75
5,Espanyol,1506.32
5,Real Murcia,1399.42
5,Real Oviedo,1656.01
5,Granada,1461.03
5,Deportivo,1367.14
5,Real Sociedad,1308.76
5,CD Castellón,1451.94
5,CE Sabadell,1371.57
5,Sporting,1579.15
5,CD Alcoyano,1459.46
6,Betis,1194.52
6,Athletic,1650.32
6,Real Madrid,1715.37
6,Zaragoza,1255.77
6,Hércules CF,1277.35
6,Barcelona,1685.45
6,Real Racing,1228.16
6,Celta,1381.13
6,Sevilla,1567.66
6,Valencia,1665.1
6,Atlético,1609.23
6,Espanyol,1509.25
6,Real Murcia,1388.7
6,Real Oviedo,1666.73
6,Granada,1461.03
6,Deportivo,1367.14
6,Real Sociedad,1308.76
6,CD Castellón,1452.29
6,CE Sabadell,1371.57
6,Sporting,1585.36
6,CD Alcoyano,1459.11
7,Betis,1194.52
7,Athletic,1655.37
7,Real Madrid,1735.04
7,Zaragoza,1255.77
7,Hércules CF,1303.39
7,Barcelona,1674.36
7,Real Racing,1228.16
7,Celta,1376.08
7,Sevilla,1583.6
7,Valencia,1639.06
7,Atlético,1588.71
7,Espanyol,1486.63
7,Real Murcia,1399.79
7,Real Oviedo,1647.06
7,Granada,1461.03
7,Deportivo,1367.14
7,Real Sociedad,1308.76
7,CD Castellón,1472.81
7,CE Sabadell,1371.57
7,Sporting,1607.98
7,CD Alcoyano,1443.17
8,Betis,1194.52
8,Athletic,1676.34
8,Real Madrid,1725.22
8,Zaragoza,1255.77
8,Hércules CF,1307.72
8,Barcelona,1673.11
8,Real Racing,1228.16
8,Celta,1364.0
8,Sevilla,1583.84
8,Valencia,1651.14
8,Atlético,1588.47
8,Espanyol,1496.45
8,Real Murcia,1395.46
8,Real Oviedo,1648.31
8,Granada,1461.03
8,Deportivo,1367.14
8,Real Sociedad,1308.76
8,CD Castellón,1451.84
8,CE Sabadell,1371.57
