Jornada,Equipo,ELO
1,Betis,1342.33
1,Athletic,1390.95
1,Real Madrid,1318.47
1,Zaragoza,1277.29
1,Hércules CF,1322.74
1,Barcelona,1485.79
1,Real Racing,1265.57
1,Celta,1205.61
1,Sevilla,1319.67
1,Valencia,1313.53
1,Atlético,1492.35
1,Espanyol,1326.15
1,Real Murcia,1118.73
1,Real Oviedo,1260.89
1,Granada,1128.22
1,Deportivo,1124.45
1,Real Sociedad,1314.8
1,CD Castellón,1150.97
1,CE Sabadell,1087.63
1,Sporting,1245.82
1,CD Alcoyano,624.12
1,Gimnàstic de Tarragona,652.8
1,Valladolid,992.06
1,Málaga,1111.51
1,UE Lleida,605.63
1,Atlético Tetuán,738.93
1,Las Palmas,1361.19
1,Real Jaén,851.71
1,Osasuna,1087.64
1,Alavés,850.92
1,CyD Leonesa,781.04
1,CD Condal,920.91
1,Elche,1305.1
1,Mallorca,1095.78
1,Tenerife,993.71
1,Córdoba,1133.06
1,Pontevedra CF,1045.96
1,Levante,1062.17
1,Burgos CF,1326.65
1,UD Salamanca,1317.15
1,Cádiz CF,1514.42
1,Rayo,1485.58
2,Betis,1348.59
2,Athletic,1373.87
2,Real Madrid,1347.4
2,Zaragoza,1277.29
2,Hércules CF,1298.73
2,Barcelona,1479.53
2,Real Racing,1259.23
2,Celta,1205.61
2,Sevilla,1290.74
2,Valencia,1357.4
2,Atlético,1449.94
2,Espanyol,1343.23
2,Real Murcia,1118.73
2,Real Oviedo,1260.89
2,Granada,1128.22
2,Deportivo,1124.45
2,Real Sociedad,1357.21
2,CD Castellón,1150.97
2,CE Sabadell,1087.63
2,Sporting,1250.95
2,CD Alcoyano,624.12
2,Gimnàstic de Tarragona,652.8
2,Valladolid,992.06
2,Málaga,1111.51
2,UE Lleida,605.63
2,Atlético Tetuán,738.93
2,Las Palmas,1356.06
2,Real Jaén,851.71
2,Osasuna,1087.64
2,Alavés,850.92
2,CyD Leonesa,781.04
2,CD Condal,920.91
2,Elche,1329.11
2,Mallorca,1095.78
2,Tenerife,993.71
2,Córdoba,1133.06
2,Pontevedra CF,1045.96
2,Levante,1062.17
2,Burgos CF,1303.17
2,UD Salamanca,1340.63
2,Cádiz CF,1470.55
2,Rayo,1491.92
3,Betis,1353.13
3,Athletic,1378.59
3,Real Madrid,1375.89
3,Zaragoza,1277.29
3,Hércules CF,1306.81
3,Barcelona,1474.81
3,Real Racing,1263.63
3,Celta,1205.61
3,Sevilla,1305.67
3,Valencia,1353.0
3,Atlético,1445.4
3,Espanyol,1314.74
3,Real Murcia,1118.73
3,Real Oviedo,1260.89
3,Granada,1128.22
3,Deportivo,1124.45
3,Real Sociedad,1341.56
3,CD Castellón,1150.97
3,CE Sabadell,1087.63
3,Sporting,1269.01
3,CD Alcoyano,624.12
3,Gimnàstic de Tarragona,652.8
3,Valladolid,992.06
3,Málaga,1111.51
3,UE Lleida,605.63
3,Atlético Tetuán,738.93
3,Las Palmas,1382.66
3,Real Jaén,851.71
3,Osasuna,1087.64
3,Alavés,850.92
3,CyD Leonesa,781.04
3,CD Condal,920.91
3,Elche,1302.51
3,Mallorca,1095.78
3,Tenerife,993.71
3,Córdoba,1133.06
3,Pontevedra CF,1045.96
3,Levante,1062.17
3,Burgos CF,1288.24
3,UD Salamanca,1322.57
3,Cádiz CF,1486.2
3,Rayo,1483.84
4,Betis,1392.5
4,Athletic,1364.06
4,Real Madrid,1390.42
4,Zaragoza,1277.29
4,Hércules CF,1274.47
4,Barcelona,1488.01
4,Real Racing,1245.82
4,Celta,1205.61
4,Sevilla,1289.74
4,Valencia,1385.34
4,Atlético,1432.2
4,Espanyol,1299.23
4,Real Murcia,1118.73
4,Real Oviedo,1260.89
4,Granada,1128.22
4,Deportivo,1124.45
4,Real Sociedad,1359.37
4,CD Castellón,1150.97
4,CE Sabadell,1087.63
4,Sporting,1284.94
4,CD Alcoyano,624.12
4,Gimnàstic de Tarragona,652.8
4,Valladolid,992.06
4,Málaga,1111.51
4,UE Lleida,605.63
4,Atlético Tetuán,738.93
4,Las Palmas,1387.19
4,Real Jaén,851.71
4,Osasuna,1087.64
4,Alavés,850.92
4,CyD Leonesa,781.04
4,CD Condal,920.91
4,Elche,1317.76
4,Mallorca,1095.78
4,Tenerife,993.71
4,Córdoba,1133.06
4,Pontevedra CF,1045.96
4,Levante,1062.17
4,Burgos CF,1303.75
4,UD Salamanca,1307.32
4,Cádiz CF,1446.83
4,Rayo,1479.31
5,Betis,1386.12
5,Athletic,1381.27
5,Real Madrid,1412.21
5,Zaragoza,1277.29
5,Hércules CF,1292.34
5,Barcelona,1508.17
5,Real Racing,1252.2
5,Celta,1205.61
5,Sevilla,1291.03
5,Valencia,1371.0
5,Atlético,1414.99
5,Espanyol,1313.05
5,Real Murcia,1118.73
5,Real Oviedo,1260.89
5,Granada,1128.22
5,Deportivo,1124.45
5,Real Sociedad,1341.5
5,CD Castellón,1150.97
5,CE Sabadell,1087.63
5,Sporting,1271.12
5,CD Alcoyano,624.12
5,Gimnàstic de Tarragona,652.8
5,Valladolid,992.06
5,Málaga,1111.51
5,UE Lleida,605.63
5,Atlético Tetuán,738.93
5,Las Palmas,1401.53
5,Real Jaén,851.71
5,Osasuna,1087.64
5,Alavés,850.92
5,CyD Leonesa,781.04
5,CD Condal,920.91
5,Elche,1316.47
5,Mallorca,1095.78
5,Tenerife,993.71
5,Córdoba,1133.06
5,Pontevedra CF,1045.96
5,Levante,1062.17
5,Burgos CF,1281.96
5,UD Salamanca,1328.34
5,Cádiz CF,1426.67
5,Rayo,1458.29
6,Betis,1381.9
6,Athletic,1376.82
6,Real Madrid,1426.26
6,Zaragoza,1277.29
6,Hércules CF,1296.56
6,Barcelona,1518.92
6,Real Racing,1241.45
6,Celta,1205.61
6,Sevilla,1275.1
6,Valencia,1391.06
6,Atlético,1449.59
