Jornada,Equipo,ELO
1,Arenas de Getxo,1538.02
1,Espanyol,1531.14
1,Real Madrid,1719.19
1,Real Sociedad,1435.08
1,Real Racing,1464.34
1,Barcelona,1538.79
1,Athletic,1706.92
1,Atlético,1298.66
1,Real Unión,1332.25
1,CE Europa,1324.21
1,Alavés,1345.21
1,Donostia FC,1457.9
1,Valencia,1440.57
1,Betis,1501.68
1,Real Oviedo,1541.04
2,Arenas de Getxo,1502.65
2,Espanyol,1494.69
2,Real Madrid,1724.02
2,Real Sociedad,1435.08
2,Real Racing,1481.89
2,Barcelona,1575.24
2,Athletic,1724.42
2,Atlético,1298.66
2,Real Unión,1332.25
2,CE Europa,1324.21
2,Alavés,1345.21
2,Donostia FC,1493.27
2,Valencia,1435.74
2,Betis,1484.18
2,Real Oviedo,1523.49
3,Arenas de Getxo,1530.21
3,Espanyol,1530.59
3,Real Madrid,1733.59
3,Real Sociedad,1435.08
3,Real Racing,1445.99
3,Barcelona,1547.68
3,Athletic,1716.08
3,Atlético,1298.66
3,Real Unión,1332.25
3,CE Europa,1324.21
3,Alavés,1345.21
3,Donostia FC,1483.7
3,Valencia,1452.15
3,Betis,1467.77
3,Real Oviedo,1531.83
4,Arenas de Getxo,1494.52
4,Espanyol,1511.52
4,Real Madrid,1740.95
4,Real Sociedad,1435.08
4,Real Racing,1481.68
4,Barcelona,1540.32
4,Athletic,1735.15
4,Atlético,1298.66
4,Real Unión,1332.25
4,CE Europa,1324.21
4,Alavés,1345.21
4,Donostia FC,1504.48
4,Valencia,1431.37
4,Betis,1494.79
4,Real Oviedo,1504.81
5,Arenas de Getxo,1531.07
5,Espanyol,1533.27
5,Real Madrid,1746.24
5,Real Sociedad,1435.08
5,Real Racing,1476.39
5,Barcelona,1515.12
5,Athletic,1698.6
5,Atlético,1298.66
5,Real Unión,1332.25
5,CE Europa,1324.21
5,Alavés,1345.21
5,Donostia FC,1529.68
5,Valencia,1448.79
5,Betis,1473.04
5,Real Oviedo,1487.39
6,Arenas de Getxo,1504.44
6,Espanyol,1507.42
6,Real Madrid,1708.2
6,Real Sociedad,1435.08
6,Real Racing,1478.83
6,Barcelona,1538.52
6,Athletic,1736.64
6,Atlético,1298.66
6,Real Unión,1332.25
6,CE Europa,1324.21
6,Alavés,1345.21
6,Donostia FC,1527.24
6,Valencia,1425.39
6,Betis,1499.67
6,Real Oviedo,1513.24
7,Arenas de Getxo,1504.85
7,Espanyol,1489.66
7,Real Madrid,1686.04
7,Real Sociedad,1435.08
7,Real Racing,1454.9
7,Barcelona,1562.45
7,Athletic,1692.26
7,Atlético,1298.66
7,Real Unión,1332.25
7,CE Europa,1324.21
7,Alavés,1345.21
7,Donostia FC,1571.62
7,Valencia,1443.15
7,Betis,1521.83
7,Real Oviedo,1512.83
8,Arenas de Getxo,1469.91
8,Espanyol,1524.6
8,Real Madrid,1664.98
8,Real Sociedad,1435.08
8,Real Racing,1468.83
8,Barcelona,1538.49
8,Athletic,1716.22
8,Atlético,1298.66
8,Real Unión,1332.25
8,CE Europa,1324.21
8,Alavés,1345.21
8,Donostia FC,1569.34
8,Valencia,1429.22
8,Betis,1524.11
8,Real Oviedo,1533.89
9,Arenas de Getxo,1453.81
9,Espanyol,1515.71
9,Real Madrid,1673.87
9,Real Sociedad,1435.08
9,Real Racing,1492.07
9,Barcelona,1570.58
9,Athletic,1692.98
9,Atlético,1298.66
9,Real Unión,1332.25
9,CE Europa,1324.21
9,Alavés,1345.21
9,Donostia FC,1589.87
9,Valencia,1445.32
9,Betis,1492.02
9,Real Oviedo,1513.36
10,Arenas de Getxo,1447.47
10,Espanyol,1519.07
10,Real Madrid,1680.21
10,Real Sociedad,1435.08
10,Real Racing,1520.9
10,Barcelona,1589.7
10,Athletic,1705.95
10,Atlético,1298.66
10,Real Unión,1332.25
10,CE Europa,1324.21
10,Alavés,1345.21
10,Donostia FC,1586.51
10,Valencia,1432.35
10,Betis,1463.19
10,Real Oviedo,1494.24
11,Arenas de Getxo,1453.55
11,Espanyol,1536.38
11,Real Madrid,1656.96
11,Real Sociedad,1435.08
11,Real Racing,1496.3
11,Barcelona,1572.39
11,Athletic,1715.01
11,Atlético,1298.66
11,Real Unión,1332.25
11,CE Europa,1324.21
11,Alavés,1345.21
11,Donostia FC,1580.43
11,Valencia,1455.6
11,Betis,1454.13
11,Real Oviedo,1518.84
12,Arenas de Getxo,1431.1
12,Espanyol,1510.9
12,Real Madrid,1679.54
12,Real Sociedad,1435.08
12,Real Racing,1521.78
12,Barcelona,1594.84
12,Athletic,1731.37
12,Atlético,1298.66
12,Real Unión,1332.25
12,CE Europa,1324.21
12,Alavés,1345.21
12,Donostia FC,1557.85
12,Valencia,1441.12
12,Betis,1468.61
12,Real Oviedo,1502.48
13,Arenas de Getxo,1449.2
13,Espanyol,1498.25
13,Real Madrid,1705.01
13,Real Sociedad,1435.08
13,Real Racing,1503.68
13,Barcelona,1569.37
13,Athletic,1744.02
13,Atlético,1298.66
13,Real Unión,1332.25
13,CE Europa,1324.21
13,Alavés,1345.21
13,Donostia FC,1519.68
13,Valencia,1479.29
13,Betis,1455.59
13,Real Oviedo,1515.5
14,Arenas de Getxo,1434.37
14,Espanyol,1472.61
14,Real Madrid,1683.06
14,Real Sociedad,1435.08
14,Real Racing,1525.63
14,Barcelona,1598.09
14,Athletic,1758.85
14,Atlético,1298.66
14,Real Unión,1332.25
14,CE Europa,1324.21
14,Alavés,1345.21
14,Donostia FC,1490.96
14,Valencia,1440.53
14,Betis,1481.23
14,Real Oviedo,1554.26
15,Arenas de Getxo,1421.89
15,Espanyol,1508.1
15,Real Madrid,1718.09
15,Real Sociedad,1435.08
15,Real Racing,1509.78
15,Barcelona,1565.53
15,Athletic,1723.82
15,Atlético,1298.66
15,Real Unión,1332.25
15,CE Europa,1324.21
15,Alavés,1345.21
15,Donostia FC,1506.81
15,Valencia,1473.09
15,Betis,1493.71
15,Real Oviedo,1518.77
16,Arenas de Getxo,1390.4
16,Espanyol,1506.49
16,Real Madrid,1695.47
16,Real Sociedad,1435.08
16,Real Racing,1536.27
16,Barcelona,1539.04
16,Athletic,1730.25
16,Atlético,1298.66
16,Real Unión,1332.25
16,CE Europa,1324.21
16,Alavés,1345.21
16,Donostia FC,1500.38
16,Valencia,1474.7
16,Betis,1516.33
16,Real Oviedo,1550.26
17,Arenas de Getxo,1380.63
17,Espanyol,1516.26
17,Real Madrid,1715.72
17,Real Sociedad,1435.08
17,Real Racing,1548.16
17,Barcelona,1560.68
17,Athletic,1708.61
17,Atlético,1298.66
17,Real Unión,1332.25
17,CE Europa,1324.21
17,Alavés,1345.21
17,Donostia FC,1515.46
17,Valencia,1462.81
17,Betis,1501.25
17,Real Oviedo,1530.01
18,Arenas de Getxo,1384.35
18,Espanyol,1524.55
18,Real Madrid,1707.43
18,Real Sociedad,1435.08
18,Real Racing,1535.17
18,Barcelona,1543.82
18,Athletic,1721.6
18,Atlético,1298.66
18,Real Unión,1332.25
18,CE Europa,1324.21
18,Alavés,1345.21
18,Donostia FC,1501.65
18,Valencia,1459.09
18,Betis,1518.11
18,Real Oviedo,1543.82
