Jornada,Equipo,ELO
1,Sporting,1131.84
1,Athletic,1362.78
1,Valencia,1370.67
1,Espanyol,1264.56
1,Cádiz CF,1342.31
1,Las Palmas,1067.62
1,Zaragoza,1034.28
1,Sevilla,1405.99
1,Osasuna,1396.3
1,Atlético,1623.09
1,Betis,1464.2
1,CE Sabadell,553.42
1,Real Sociedad,1527.12
1,Real Madrid,1590.54
1,Real Murcia,863.98
1,Valladolid,1249.43
1,Barcelona,1615.97
1,Celta,1319.7
1,CD Logroñés,620.9
1,Mallorca,1343.8
1,Real Oviedo,882.85
1,Málaga,1087.46
1,Elche,1249.77
1,CD Castellón,580.32
1,Rayo,1305.8
1,Tenerife,978.42
1,Real Burgos,604.99
1,Deportivo,1125.84
1,Albacete,876.36
1,Real Racing,941.52
1,UE Lleida,722.63
1,SD Compostela,893.16
1,CP Mérida,794.72
1,UD Salamanca,732.16
1,Hércules CF,930.2
1,CF Extremadura,844.92
1,Alavés,1198.32
1,Villarreal,1500.15
1,Numancia,929.12
1,RC Recreativo,945.07
1,Getafe,1355.1
1,Levante,1304.59
1,Gimnàstic de Tarragona,925.87
1,Almería,1255.85
1,Xerez CD,1064.14
1,Granada,1270.55
1,Eibar,1201.37
1,Córdoba,973.36
1,Leganés,1285.6
1,Girona,1392.25
1,Huesca,1249.04
2,Sporting,1131.84
2,Athletic,1387.83
2,Valencia,1374.96
2,Espanyol,1264.56
2,Cádiz CF,1334.47
2,Las Palmas,1063.33
2,Zaragoza,1034.28
2,Sevilla,1383.85
2,Osasuna,1371.25
2,Atlético,1616.24
2,Betis,1471.05
2,CE Sabadell,553.42
2,Real Sociedad,1518.56
2,Real Madrid,1596.35
2,Real Murcia,863.98
2,Valladolid,1249.43
2,Barcelona,1623.81
2,Celta,1328.26
2,CD Logroñés,620.9
2,Mallorca,1335.47
2,Real Oviedo,882.85
2,Málaga,1087.46
2,Elche,1249.77
2,CD Castellón,580.32
2,Rayo,1326.34
2,Tenerife,978.42
2,Real Burgos,604.99
2,Deportivo,1125.84
2,Albacete,876.36
2,Real Racing,941.52
2,UE Lleida,722.63
2,SD Compostela,893.16
2,CP Mérida,794.72
2,UD Salamanca,732.16
2,Hércules CF,930.2
2,CF Extremadura,844.92
2,Alavés,1220.46
2,Villarreal,1508.48
2,Numancia,929.12
2,RC Recreativo,945.07
2,Getafe,1329.34
2,Levante,1304.59
2,Gimnàstic de Tarragona,925.87
2,Almería,1250.04
2,Xerez CD,1064.14
2,Granada,1250.01
2,Eibar,1201.37
2,Córdoba,973.36
2,Leganés,1285.6
2,Girona,1418.01
2,Huesca,1249.04
3,Sporting,1131.84
3,Athletic,1416.05
3,Valencia,1360.39
3,Espanyol,1264.56
3,Cádiz CF,1330.66
3,Las Palmas,1077.16
3,Zaragoza,1034.28
3,Sevilla,1370.85
3,Osasuna,1385.82
3,Atlético,1629.96
3,Betis,1442.83
3,CE Sabadell,553.42
3,Real Sociedad,1504.73
3,Real Madrid,1601.43
3,Real Murcia,863.98
3,Valladolid,1249.43
3,Barcelona,1633.61
3,Celta,1323.18
3,CD Logroñés,620.9
3,Mallorca,1317.58
3,Real Oviedo,882.85
3,Málaga,1087.46
3,Elche,1249.77
3,CD Castellón,580.32
3,Rayo,1312.62
3,Tenerife,978.42
3,Real Burgos,604.99
3,Deportivo,1125.84
3,Albacete,876.36
3,Real Racing,941.52
3,UE Lleida,722.63
3,SD Compostela,893.16
3,CP Mérida,794.72
3,UD Salamanca,732.16
3,Hércules CF,930.2
3,CF Extremadura,844.92
3,Alavés,1210.42
3,Villarreal,1498.68
3,Numancia,929.12
3,RC Recreativo,945.07
3,Getafe,1339.38
3,Levante,1304.59
3,Gimnàstic de Tarragona,925.87
3,Almería,1253.85
3,Xerez CD,1064.14
3,Granada,1267.9
3,Eibar,1201.37
3,Córdoba,973.36
3,Leganés,1285.6
3,Girona,1431.01
3,Huesca,1249.04
4,Sporting,1131.84
4,Athletic,1411.63
4,Valencia,1340.11
4,Espanyol,1264.56
4,Cádiz CF,1363.77
4,Las Palmas,1073.83
4,Zaragoza,1034.28
4,Sevilla,1365.55
4,Osasuna,1380.24
4,Atlético,1635.26
4,Betis,1452.08
4,CE Sabadell,553.42
4,Real Sociedad,1514.04
4,Real Madrid,1606.65
4,Real Murcia,863.98
4,Valladolid,1249.43
4,Barcelona,1639.19
4,Celta,1334.76
4,CD Logroñés,620.9
4,Mallorca,1322.0
4,Real Oviedo,882.85
4,Málaga,1087.46
4,Elche,1249.77
4,CD Castellón,580.32
4,Rayo,1303.37
4,Tenerife,978.42
4,Real Burgos,604.99
4,Deportivo,1125.84
4,Albacete,876.36
4,Real Racing,941.52
4,UE Lleida,722.63
4,SD Compostela,893.16
4,CP Mérida,794.72
4,UD Salamanca,732.16
4,Hércules CF,930.2
4,CF Extremadura,844.92
4,Alavés,1230.7
4,Villarreal,1465.57
4,Numancia,929.12
4,RC Recreativo,945.07
4,Getafe,1334.16
4,Levante,1304.59
4,Gimnàstic de Tarragona,925.87
4,Almería,1242.27
4,Xerez CD,1064.14
4,Granada,1258.59
