Jornada,Equipo,ELO
1,Betis,1019.52
1,Athletic,1644.32
1,Real Madrid,1607.51
1,Zaragoza,1363.02
1,Hércules CF,1140.27
1,Barcelona,1722.05
1,Real Racing,1483.88
1,Celta,1514.85
1,Sevilla,1586.29
1,Valencia,1595.45
1,Atlético,1608.08
1,Espanyol,1570.8
1,Real Murcia,1283.76
1,Real Oviedo,1360.95
1,Granada,1286.03
1,Deportivo,1435.27
1,Real Sociedad,1545.79
1,CD Castellón,1196.86
1,CE Sabadell,1256.0
1,Sporting,1463.68
1,CD Alcoyano,1249.12
1,Gimnàstic de Tarragona,1277.8
1,Valladolid,1560.63
1,Málaga,1443.56
1,UE Lleida,1230.63
1,Atlético Tetuán,1363.93
1,Las Palmas,1364.95
2,Betis,1019.52
2,Athletic,1653.85
2,Real Madrid,1601.24
2,Zaragoza,1353.49
2,Hércules CF,1140.27
2,Barcelona,1696.42
2,Real Racing,1496.29
2,Celta,1503.72
2,Sevilla,1551.32
2,Valencia,1606.58
2,Atlético,1620.85
2,Espanyol,1605.77
2,Real Murcia,1283.76
2,Real Oviedo,1386.58
2,Granada,1286.03
2,Deportivo,1422.86
2,Real Sociedad,1560.82
2,CD Castellón,1196.86
2,CE Sabadell,1256.0
2,Sporting,1469.95
2,CD Alcoyano,1249.12
2,Gimnàstic de Tarragona,1277.8
2,Valladolid,1545.6
2,Málaga,1430.79
2,UE Lleida,1230.63
2,Atlético Tetuán,1363.93
2,Las Palmas,1364.95
3,Betis,1019.52
3,Athletic,1625.02
3,Real Madrid,1587.01
3,Zaragoza,1341.91
3,Hércules CF,1140.27
3,Barcelona,1708.35
3,Real Racing,1466.45
3,Celta,1529.31
3,Sevilla,1577.78
3,Valencia,1580.12
3,Atlético,1588.65
3,Espanyol,1620.0
3,Real Murcia,1283.76
3,Real Oviedo,1416.42
3,Granada,1286.03
3,Deportivo,1434.44
3,Real Sociedad,1589.65
3,CD Castellón,1196.86
3,CE Sabadell,1256.0
3,Sporting,1502.15
3,CD Alcoyano,1249.12
3,Gimnàstic de Tarragona,1277.8
3,Valladolid,1520.01
3,Málaga,1418.86
3,UE Lleida,1230.63
3,Atlético Tetuán,1363.93
3,Las Palmas,1364.95
4,Betis,1019.52
4,Athletic,1652.27
4,Real Madrid,1572.31
4,Zaragoza,1330.54
4,Hércules CF,1140.27
4,Barcelona,1689.15
4,Real Racing,1440.49
4,Celta,1502.06
4,Sevilla,1605.74
4,Valencia,1594.82
4,Atlético,1607.85
4,Espanyol,1642.54
4,Real Murcia,1283.76
4,Real Oviedo,1427.79
4,Granada,1286.03
4,Deportivo,1454.9
4,Real Sociedad,1569.19
4,CD Castellón,1196.86
4,CE Sabadell,1256.0
4,Sporting,1479.61
4,CD Alcoyano,1249.12
4,Gimnàstic de Tarragona,1277.8
4,Valladolid,1492.05
4,Málaga,1444.82
4,UE Lleida,1230.63
4,Atlético Tetuán,1363.93
4,Las Palmas,1364.95
5,Betis,1019.52
5,Athletic,1635.93
5,Real Madrid,1589.97
5,Zaragoza,1314.95
5,Hércules CF,1140.27
5,Barcelona,1680.52
5,Real Racing,1447.65
5,Celta,1521.83
5,Sevilla,1622.08
5,Valencia,1582.37
5,Atlético,1600.69
5,Espanyol,1654.99
5,Real Murcia,1283.76
5,Real Oviedo,1418.94
5,Granada,1286.03
5,Deportivo,1435.13
5,Real Sociedad,1578.04
5,CD Castellón,1196.86
5,CE Sabadell,1256.0
5,Sporting,1488.24
5,CD Alcoyano,1249.12
5,Gimnàstic de Tarragona,1277.8
5,Valladolid,1474.39
5,Málaga,1460.41
5,UE Lleida,1230.63
5,Atlético Tetuán,1363.93
5,Las Palmas,1364.95
6,Betis,1019.52
6,Athletic,1633.83
6,Real Madrid,1592.07
6,Zaragoza,1305.62
6,Hércules CF,1140.27
6,Barcelona,1690.0
6,Real Racing,1438.17
6,Celta,1478.72
6,Sevilla,1588.0
6,Valencia,1606.99
6,Atlético,1610.02
6,Espanyol,1662.52
6,Real Murcia,1283.76
6,Real Oviedo,1462.05
6,Granada,1286.03
6,Deportivo,1469.21
6,Real Sociedad,1593.44
6,CD Castellón,1196.86
6,CE Sabadell,1256.0
6,Sporting,1463.62
6,CD Alcoyano,1249.12
6,Gimnàstic de Tarragona,1277.8
6,Valladolid,1466.86
6,Málaga,1445.01
6,UE Lleida,1230.63
6,Atlético Tetuán,1363.93
6,Las Palmas,1364.95
7,Betis,1019.52
7,Athletic,1603.11
7,Real Madrid,1611.11
7,Zaragoza,1299.02
7,Hércules CF,1140.27
7,Barcelona,1696.6
7,Real Racing,1416.99
7,Celta,1499.36
7,Sevilla,1597.41
7,Valencia,1621.09
7,Atlético,1631.78
7,Espanyol,1693.24
7,Real Murcia,1283.76
7,Real Oviedo,1452.64
7,Granada,1286.03
7,Deportivo,1450.17
7,Real Sociedad,1571.68
7,CD Castellón,1196.86
7,CE Sabadell,1256.0
7,Sporting,1484.8
7,CD Alcoyano,1249.12
7,Gimnàstic de Tarragona,1277.8
7,Valladolid,1452.76
7,Málaga,1424.37
7,UE Lleida,1230.63
7,Atlético Tetuán,1363.93
7,Las Palmas,1364.95
8,Betis,1019.52
8,Athletic,1603.94
8,Real Madrid,1578.5
8,Zaragoza,1283.64
8,Hércules CF,1140.27
8,Barcelona,1715.49
8,Real Racing,1432.37
8,Celta,1481.01
8,Sevilla,1612.96
8,Valencia,1620.26
8,Atlético,1650.13
8,Espanyol,1683.57
8,Real Murcia,1283.76
8,Real Oviedo,1485.25
8,Granada,1286.03
8,Deportivo,1459.84
8,Real Sociedad,1552.79
8,CD Castellón,1196.86
8,CE Sabadell,1256.0
8,Sporting,1483.33
8,CD Alcoyano,1249.12
8,Gimnàstic de Tarragona,1277.8
8,Valladolid,1454.23
8,Málaga,1408.82
8,UE Lleida,1230.63
8,Atlético Tetuán,1363.93
8,Las Palmas,1364.95
9,Betis,1019.52
9,Athletic,1583.67
9,Real Madrid,1591.0
9,Zaragoza,1305.54
9,Hércules CF,1140.27
9,Barcelona,1706.08
9,Real Racing,1417.14
9,Celta,1490.42
9,Sevilla,1638.25
9,Valencia,1613.36
9,Atlético,1624.84
9,Espanyol,1697.53
9,Real Murcia,1283.76
9,Real Oviedo,1471.29
9,Granada,1286.03
9,Deportivo,1466.74
9,Real Sociedad,1568.02
9,CD Castellón,1196.86
9,CE Sabadell,1256.0
9,Sporting,1461.43
9,CD Alcoyano,1249.12
9,Gimnàstic de Tarragona,1277.8
9,Valladolid,1474.5
9,Málaga,1396.32
9,UE Lleida,1230.63
9,Atlético Tetuán,1363.93
9,Las Palmas,1364.95
10,Betis,1019.52
10,Athletic,1608.34
10,Real Madrid,1606.82
10,Zaragoza,1315.75
10,Hércules CF,1140.27
10,Barcelona,1717.72
10,Real Racing,1444.74
10,Celta,1462.82
10,Sevilla,1626.61
10,Valencia,1622.19
10,Atlético,1609.02
10,Espanyol,1686.33
10,Real Murcia,1283.76
10,Real Oviedo,1462.46
10,Granada,1286.03
10,Deportivo,1438.55
10,Real Sociedad,1557.81
10,CD Castellón,1196.86
10,CE Sabadell,1256.0
10,Sporting,1436.76
10,CD Alcoyano,1249.12
10,Gimnàstic de Tarragona,1277.8
10,Valladolid,1502.69
10,Málaga,1407.52
10,UE Lleida,1230.63
10,Atlético Tetuán,1363.93
10,Las Palmas,1364.95
11,Betis,1019.52
11,Athletic,1630.47
11,Real Madrid,1625.69
11,Zaragoza,1293.38
11,Hércules CF,1140.27
11,Barcelona,1698.85
11,Real Racing,1466.08
11,Celta,1485.19
11,Sevilla,1605.27
11,Valencia,1632.48
11,Atlético,1591.17
11,Espanyol,1704.18
11,Real Murcia,1283.76
11,Real Oviedo,1449.7
11,Granada,1286.03
11,Deportivo,1416.42
11,Real Sociedad,1538.56
11,CD Castellón,1196.86
11,CE Sabadell,1256.0
11,Sporting,1456.01
11,CD Alcoyano,1249.12
11,Gimnàstic de Tarragona,1277.8
11,Valladolid,1515.45
11,Málaga,1397.23
11,UE Lleida,1230.63
11,Atlético Tetuán,1363.93
11,Las Palmas,1364.95
12,Betis,1019.52
12,Athletic,1609.16
12,Real Madrid,1633.91
12,Zaragoza,1289.27
12,Hércules CF,1140.27
12,Barcelona,1713.49
12,Real Racing,1457.86
12,Celta,1456.82
12,Sevilla,1609.38
12,Valencia,1630.59
12,Atlético,1593.06
12,Espanyol,1689.54
12,Real Murcia,1283.76
12,Real Oviedo,1471.01
12,Granada,1286.03
12,Deportivo,1457.92
12,Real Sociedad,1566.93
12,CD Castellón,1196.86
12,CE Sabadell,1256.0
12,Sporting,1414.51
12,CD Alcoyano,1249.12
12,Gimnàstic de Tarragona,1277.8
12,Valladolid,1477.17
12,Málaga,1435.51
12,UE Lleida,1230.63
12,Atlético Tetuán,1363.93
12,Las Palmas,1364.95
13,Betis,1019.52
13,Athletic,1629.21
13,Real Madrid,1637.4
13,Zaragoza,1285.78
13,Hércules CF,1140.27
13,Barcelona,1695.7
13,Real Racing,1448.33
13,Celta,1454.88
13,Sevilla,1634.71
13,Valencia,1648.38
13,Atlético,1587.91
13,Espanyol,1699.07
13,Real Murcia,1283.76
13,Real Oviedo,1470.41
13,Granada,1286.03
13,Deportivo,1458.52
13,Real Sociedad,1541.6
