Jornada,Equipo,ELO
1,Sporting,1106.84
1,Athletic,1472.15
1,Valencia,1336.16
1,Espanyol,1249.52
1,Cádiz CF,1212.27
1,Las Palmas,1224.62
1,Zaragoza,1009.28
1,Sevilla,1341.66
1,Osasuna,1335.42
1,Atlético,1526.1
1,Betis,1430.52
1,CE Sabadell,528.42
1,Real Sociedad,1432.97
1,Real Madrid,1695.05
1,Real Murcia,838.98
1,Valladolid,1264.47
1,Barcelona,1635.62
1,Celta,1358.25
1,CD Logroñés,595.9
1,Mallorca,1337.86
1,Real Oviedo,857.85
1,Málaga,1062.46
1,Elche,1224.77
1,CD Castellón,555.32
1,Rayo,1299.81
1,Tenerife,953.42
1,Real Burgos,579.99
1,Deportivo,1100.84
1,Albacete,851.36
1,Real Racing,916.52
1,UE Lleida,697.63
1,SD Compostela,868.16
1,CP Mérida,769.72
1,UD Salamanca,707.16
1,Hércules CF,905.2
1,CF Extremadura,819.92
1,Alavés,1328.22
1,Villarreal,1471.19
1,Numancia,904.12
1,RC Recreativo,920.07
1,Getafe,1293.01
1,Levante,1279.59
1,Gimnàstic de Tarragona,900.87
1,Almería,1206.32
1,Xerez CD,1039.14
1,Granada,1156.27
1,Eibar,1176.37
1,Córdoba,948.36
1,Leganés,1287.99
1,Girona,1537.25
1,Huesca,1224.04
2,Sporting,1106.84
2,Athletic,1464.06
2,Valencia,1314.76
2,Espanyol,1242.08
2,Cádiz CF,1212.27
2,Las Palmas,1212.8
2,Zaragoza,1009.28
2,Sevilla,1332.38
2,Osasuna,1349.94
2,Atlético,1555.86
2,Betis,1425.94
2,CE Sabadell,528.42
2,Real Sociedad,1440.41
2,Real Madrid,1699.51
2,Real Murcia,838.98
2,Valladolid,1260.01
2,Barcelona,1643.71
2,Celta,1379.65
2,CD Logroñés,595.9
2,Mallorca,1323.34
2,Real Oviedo,857.85
2,Málaga,1062.46
2,Elche,1224.77
2,CD Castellón,555.32
2,Rayo,1299.5
2,Tenerife,953.42
2,Real Burgos,579.99
2,Deportivo,1100.84
2,Albacete,851.36
2,Real Racing,916.52
2,UE Lleida,697.63
2,SD Compostela,868.16
2,CP Mérida,769.72
2,UD Salamanca,707.16
2,Hércules CF,905.2
2,CF Extremadura,819.92
2,Alavés,1332.8
2,Villarreal,1480.47
2,Numancia,904.12
2,RC Recreativo,920.07
2,Getafe,1293.32
2,Levante,1279.59
2,Gimnàstic de Tarragona,900.87
2,Almería,1206.32
2,Xerez CD,1039.14
2,Granada,1156.27
2,Eibar,1176.37
2,Córdoba,948.36
2,Leganés,1299.81
2,Girona,1507.49
2,Huesca,1224.04
3,Sporting,1106.84
3,Athletic,1472.64
3,Valencia,1306.18
3,Espanyol,1253.57
3,Cádiz CF,1212.27
3,Las Palmas,1226.97
3,Zaragoza,1009.28
3,Sevilla,1331.96
3,Osasuna,1330.68
3,Atlético,1544.37
3,Betis,1435.11
3,CE Sabadell,528.42
3,Real Sociedad,1421.66
3,Real Madrid,1685.34
3,Real Murcia,838.98
3,Valladolid,1261.83
3,Barcelona,1647.2
3,Celta,1369.3
3,CD Logroñés,595.9
3,Mallorca,1323.76
3,Real Oviedo,857.85
3,Málaga,1062.46
3,Elche,1224.77
3,CD Castellón,555.32
3,Rayo,1296.01
3,Tenerife,953.42
3,Real Burgos,579.99
3,Deportivo,1100.84
3,Albacete,851.36
3,Real Racing,916.52
3,UE Lleida,697.63
3,SD Compostela,868.16
3,CP Mérida,769.72
3,UD Salamanca,707.16
3,Hércules CF,905.2
3,CF Extremadura,819.92
3,Alavés,1351.55
3,Villarreal,1490.82
3,Numancia,904.12
3,RC Recreativo,920.07
3,Getafe,1284.15
3,Levante,1279.59
3,Gimnàstic de Tarragona,900.87
3,Almería,1206.32
3,Xerez CD,1039.14
3,Granada,1156.27
3,Eibar,1176.37
3,Córdoba,948.36
3,Leganés,1297.99
3,Girona,1526.75
3,Huesca,1224.04
4,Sporting,1106.84
4,Athletic,1461.16
4,Valencia,1313.96
4,Espanyol,1269.74
4,Cádiz CF,1212.27
4,Las Palmas,1211.98
4,Zaragoza,1009.28
4,Sevilla,1320.73
4,Osasuna,1346.69
4,Atlético,1555.85
4,Betis,1426.36
4,CE Sabadell,528.42
4,Real Sociedad,1415.64
4,Real Madrid,1694.09
4,Real Murcia,838.98
4,Valladolid,1253.34
4,Barcelona,1655.69
4,Celta,1353.29
4,CD Logroñés,595.9
4,Mallorca,1337.11
4,Real Oviedo,857.85
4,Málaga,1062.46
4,Elche,1224.77
4,CD Castellón,555.32
4,Rayo,1279.84
4,Tenerife,953.42
4,Real Burgos,579.99
4,Deportivo,1100.84
4,Albacete,851.36
4,Real Racing,916.52
4,UE Lleida,697.63
4,SD Compostela,868.16
4,CP Mérida,769.72
4,UD Salamanca,707.16
4,Hércules CF,905.2
4,CF Extremadura,819.92
4,Alavés,1366.54
4,Villarreal,1483.04
4,Numancia,904.12
4,RC Recreativo,920.07
4,Getafe,1290.17
4,Levante,1279.59
4,Gimnàstic de Tarragona,900.87
4,Almería,1206.32
4,Xerez CD,1039.14
4,Granada,1156.27
4,Eibar,1176.37
4,Córdoba,948.36
4,Leganés,1284.64
4,Girona,1537.98
4,Huesca,1224.04
5,Sporting,1106.84
5,Athletic,1466.71
5,Valencia,1302.48
5,Espanyol,1288.07
5,Cádiz CF,1212.27
