Jornada,Equipo,ELO
1,Arenas de Getxo,1439.38
1,Espanyol,1431.61
1,Real Madrid,1552.62
1,Real Sociedad,1480.32
1,Real Racing,1448.99
1,Barcelona,1641.12
1,Athletic,1541.79
1,Atlético,1534.14
1,Real Unión,1462.79
1,CE Europa,1467.24
2,Arenas de Getxo,1428.48
2,Espanyol,1450.16
2,Real Madrid,1548.57
2,Real Sociedad,1519.68
2,Real Racing,1409.63
2,Barcelona,1652.02
2,Athletic,1538.41
2,Atlético,1515.59
2,Real Unión,1466.84
2,CE Europa,1470.62
3,Arenas de Getxo,1455.75
3,Espanyol,1450.93
3,Real Madrid,1532.79
3,Real Sociedad,1520.54
3,Real Racing,1382.36
3,Barcelona,1659.53
3,Athletic,1537.55
3,Atlético,1531.37
3,Real Unión,1466.07
3,CE Europa,1463.11
4,Arenas de Getxo,1441.64
4,Espanyol,1454.84
4,Real Madrid,1498.13
4,Real Sociedad,1555.2
4,Real Racing,1369.79
4,Barcelona,1672.1
4,Athletic,1533.64
4,Atlético,1528.4
4,Real Unión,1469.04
4,CE Europa,1477.22
5,Arenas de Getxo,1445.78
5,Espanyol,1480.52
5,Real Madrid,1472.45
5,Real Sociedad,1537.6
5,Real Racing,1390.37
5,Barcelona,1682.93
5,Athletic,1529.5
5,Atlético,1507.82
5,Real Unión,1458.21
5,CE Europa,1494.82
6,Arenas de Getxo,1449.91
6,Espanyol,1466.7
6,Real Madrid,1503.54
6,Real Sociedad,1533.47
6,Real Racing,1359.28
6,Barcelona,1695.15
6,Athletic,1552.5
6,Atlético,1495.6
6,Real Unión,1435.21
6,CE Europa,1508.64
7,Arenas de Getxo,1473.86
7,Espanyol,1442.75
7,Real Madrid,1518.17
7,Real Sociedad,1531.73
7,Real Racing,1336.65
7,Barcelona,1688.93
7,Athletic,1558.72
7,Atlético,1497.34
7,Real Unión,1457.84
7,CE Europa,1494.01
8,Arenas de Getxo,1448.68
8,Espanyol,1496.64
8,Real Madrid,1543.35
8,Real Sociedad,1514.29
8,Real Racing,1394.3
8,Barcelona,1635.04
8,Athletic,1589.47
8,Atlético,1466.59
8,Real Unión,1475.28
8,CE Europa,1436.36
9,Arenas de Getxo,1472.71
9,Espanyol,1482.95
9,Real Madrid,1579.62
9,Real Sociedad,1527.98
9,Real Racing,1377.87
9,Barcelona,1598.77
9,Athletic,1605.9
9,Atlético,1442.56
9,Real Unión,1488.09
9,CE Europa,1423.55
10,Arenas de Getxo,1511.63
10,Espanyol,1503.32
10,Real Madrid,1566.29
10,Real Sociedad,1516.46
10,Real Racing,1357.5
10,Barcelona,1610.29
10,Athletic,1619.23
10,Atlético,1418.46
10,Real Unión,1449.17
10,CE Europa,1447.65
11,Arenas de Getxo,1495.1
11,Espanyol,1475.0
11,Real Madrid,1561.09
11,Real Sociedad,1483.83
11,Real Racing,1390.13
11,Barcelona,1626.82
11,Athletic,1634.88
11,Atlético,1446.78
11,Real Unión,1454.37
11,CE Europa,1432.0
12,Arenas de Getxo,1518.76
12,Espanyol,1496.5
12,Real Madrid,1580.77
12,Real Sociedad,1459.92
12,Real Racing,1366.47
12,Barcelona,1640.99
12,Athletic,1658.79
12,Atlético,1427.1
12,Real Unión,1432.87
12,CE Europa,1417.83
13,Arenas de Getxo,1529.1
13,Espanyol,1473.67
13,Real Madrid,1575.42
13,Real Sociedad,1465.27
13,Real Racing,1390.38
13,Barcelona,1617.08
13,Athletic,1681.62
13,Atlético,1387.3
13,Real Unión,1472.67
13,CE Europa,1407.49
14,Arenas de Getxo,1512.17
14,Espanyol,1529.24
14,Real Madrid,1519.85
14,Real Sociedad,1484.36
14,Real Racing,1367.33
14,Barcelona,1630.94
14,Athletic,1698.55
14,Atlético,1410.35
14,Real Unión,1458.81
14,CE Europa,1388.4
15,Arenas de Getxo,1533.2
15,Espanyol,1538.11
15,Real Madrid,1487.57
15,Real Sociedad,1463.33
15,Real Racing,1399.61
15,Barcelona,1608.43
15,Athletic,1688.98
15,Atlético,1432.86
15,Real Unión,1468.38
15,CE Europa,1379.53
16,Arenas de Getxo,1518.99
16,Espanyol,1552.32
16,Real Madrid,1513.61
16,Real Sociedad,1484.18
16,Real Racing,1426.93
16,Barcelona,1597.3
16,Athletic,1700.11
16,Atlético,1412.01
16,Real Unión,1441.06
16,CE Europa,1353.49
17,Arenas de Getxo,1551.95
17,Espanyol,1539.76
17,Real Madrid,1480.65
17,Real Sociedad,1467.98
17,Real Racing,1381.9
17,Barcelona,1609.86
17,Athletic,1704.72
17,Atlético,1407.4
17,Real Unión,1457.26
17,CE Europa,1398.52
18,Arenas de Getxo,1560.69
18,Espanyol,1557.96
18,Real Madrid,1526.03
18,Real Sociedad,1449.78
18,Real Racing,1378.01
18,Barcelona,1564.48
18,Athletic,1708.61
18,Atlético,1398.66
18,Real Unión,1440.43
18,CE Europa,1415.35
