Jornada,Equipo,ELO
1,Betis,944.52
1,Athletic,1684.11
1,Real Madrid,1718.79
1,Zaragoza,1316.42
1,Hércules CF,1395.95
1,Barcelona,1687.89
1,Real Racing,1325.86
1,Celta,1509.8
1,Sevilla,1531.47
1,Valencia,1497.69
1,Atlético,1578.91
1,Espanyol,1522.03
1,Real Murcia,1257.68
1,Real Oviedo,1399.09
1,Granada,1211.03
1,Deportivo,1484.94
1,Real Sociedad,1441.01
1,CD Castellón,1121.86
1,CE Sabadell,1181.0
1,Sporting,1294.15
1,CD Alcoyano,1174.12
1,Gimnàstic de Tarragona,1202.8
1,Valladolid,1438.11
1,Málaga,1344.77
1,UE Lleida,1155.63
1,Atlético Tetuán,1288.93
1,Las Palmas,1447.62
1,Real Jaén,1494.63
1,Osasuna,1459.1
1,Alavés,1485.0
1,CyD Leonesa,1530.09
2,Betis,944.52
2,Athletic,1671.13
2,Real Madrid,1731.77
2,Zaragoza,1316.42
2,Hércules CF,1404.91
2,Barcelona,1683.03
2,Real Racing,1325.86
2,Celta,1467.91
2,Sevilla,1564.04
2,Valencia,1539.58
2,Atlético,1583.77
2,Espanyol,1489.46
2,Real Murcia,1248.72
2,Real Oviedo,1399.09
2,Granada,1211.03
2,Deportivo,1468.98
2,Real Sociedad,1443.03
2,CD Castellón,1121.86
2,CE Sabadell,1181.0
2,Sporting,1294.15
2,CD Alcoyano,1174.12
2,Gimnàstic de Tarragona,1202.8
2,Valladolid,1474.41
2,Málaga,1344.77
2,UE Lleida,1155.63
2,Atlético Tetuán,1288.93
2,Las Palmas,1463.58
2,Real Jaén,1494.63
2,Osasuna,1459.1
2,Alavés,1482.98
2,CyD Leonesa,1493.79
3,Betis,944.52
3,Athletic,1685.72
3,Real Madrid,1708.66
3,Zaragoza,1316.42
3,Hércules CF,1381.33
3,Barcelona,1685.22
3,Real Racing,1325.86
3,Celta,1453.31
3,Sevilla,1590.84
3,Valencia,1524.99
3,Atlético,1614.82
3,Espanyol,1512.57
3,Real Murcia,1246.53
3,Real Oviedo,1399.09
3,Granada,1211.03
3,Deportivo,1492.56
3,Real Sociedad,1474.46
3,CD Castellón,1121.86
3,CE Sabadell,1181.0
3,Sporting,1294.15
3,CD Alcoyano,1174.12
