Jornada,Local,Visitante,Resultado,Differencia Gol,Ganador,Año
1,Espanyol,Barcelona,1:0,1,Espanyol,1951/1952
1,Atlético,Real Sociedad,3:1,2,Atlético,1951/1952
1,Atlético Tetuán,Zaragoza,0:1,1,Zaragoza,1951/1952
1,Sevilla,Celta,3:1,2,Sevilla,1951/1952
1,Athletic,Sporting,4:2,2,Athletic,1951/1952
1,Deportivo,Real Racing,2:1,1,Deportivo,1951/1952
1,Valencia,Valladolid,3:0,3,Valencia,1951/1952
1,Las Palmas,Real Madrid,1:4,3,Real Madrid,1951/1952
2,Real Racing,Sevilla,3:1,2,Real Racing,1951/1952
2,Real Madrid,Atlético Tetuán,4:2,2,Real Madrid,1951/1952
2,Celta,Las Palmas,5:2,3,Celta,1951/1952
2,Barcelona,Athletic,1:0,1,Barcelona,1951/1952
2,Real Sociedad,Valencia,1:2,1,Valencia,1951/1952
2,Zaragoza,Espanyol,5:6,1,Espanyol,1951/1952
2,Sporting,Atlético,0:2,2,Atlético,1951/1952
2,Valladolid,Deportivo,5:0,5,Valladolid,1951/1952
3,Deportivo,Sevilla,1:1,0,Empate,1951/1952
3,Las Palmas,Real Racing,1:1,0,Empate,1951/1952
3,Valencia,Sporting,3:0,3,Valencia,1951/1952
3,Atlético Tetuán,Celta,2:1,1,Atlético Tetuán,1951/1952
3,Valladolid,Real Sociedad,4:1,3,Valladolid,1951/1952
3,Atlético,Barcelona,1:1,0,Empate,1951/1952
3,Espanyol,Real Madrid,4:3,1,Espanyol,1951/1952
3,Athletic,Zaragoza,10:1,9,Athletic,1951/1952
4,Sevilla,Las Palmas,5:0,5,Sevilla,1951/1952
4,Sporting,Valladolid,1:1,0,Empate,1951/1952
4,Real Sociedad,Deportivo,7:1,6,Real Sociedad,1951/1952
4,Barcelona,Valencia,1:3,2,Valencia,1951/1952
4,Real Madrid,Athletic,2:2,0,Empate,1951/1952
4,Celta,Espanyol,3:3,0,Empate,1951/1952
4,Zaragoza,Atlético,0:5,5,Atlético,1951/1952
4,Real Racing,Atlético Tetuán,4:0,4,Real Racing,1951/1952
5,Atlético Tetuán,Sevilla,3:4,1,Sevilla,1951/1952
5,Espanyol,Real Racing,4:1,3,Espanyol,1951/1952
5,Real Sociedad,Sporting,1:2,1,Sporting,1951/1952
5,Deportivo,Las Palmas,3:1,2,Deportivo,1951/1952
5,Valencia,Zaragoza,2:2,0,Empate,1951/1952
5,Valladolid,Barcelona,1:1,0,Empate,1951/1952
5,Atlético,Real Madrid,3:2,1,Atlético,1951/1952
5,Athletic,Celta,4:2,2,Athletic,1951/1952
6,Real Madrid,Valencia,3:1,2,Real Madrid,1951/1952
6,Sporting,Deportivo,0:2,2,Deportivo,1951/1952
6,Zaragoza,Valladolid,2:1,1,Zaragoza,1951/1952
6,Las Palmas,Atlético Tetuán,4:1,3,Las Palmas,1951/1952
6,Sevilla,Espanyol,3:2,1,Sevilla,1951/1952
6,Real Racing,Athletic,3:1,2,Real Racing,1951/1952
6,Barcelona,Real Sociedad,3:1,2,Barcelona,1951/1952
6,Celta,Atlético,0:3,3,Atlético,1951/1952
7,Real Sociedad,Zaragoza,2:0,2,Real Sociedad,1951/1952
7,Deportivo,Atlético Tetuán,2:3,1,Atlético Tetuán,1951/1952
7,Atlético,Real Racing,7:2,5,Atlético,1951/1952
7,Valencia,Celta,7:2,5,Valencia,1951/1952
7,Athletic,Sevilla,2:0,2,Athletic,1951/1952
7,Sporting,Barcelona,3:2,1,Sporting,1951/1952
