Jornada,Local,Visitante,Resultado,Differencia Gol,Ganador,Año
1,Athletic,Atlético,4:0,4,Athletic,1950/1951
1,Barcelona,Real Sociedad,8:2,6,Barcelona,1950/1951
1,UE Lleida,Celta,2:3,1,Celta,1950/1951
1,CD Alcoyano,Real Racing,3:3,0,Empate,1950/1951
1,Deportivo,Valladolid,0:1,1,Valladolid,1950/1951
1,Valencia,Málaga,3:1,2,Valencia,1950/1951
1,Sevilla,Real Murcia,5:0,5,Sevilla,1950/1951
1,Real Madrid,Espanyol,6:2,4,Real Madrid,1950/1951
2,Valladolid,Sevilla,4:1,3,Valladolid,1950/1951
2,Málaga,UE Lleida,9:0,9,Málaga,1950/1951
2,Real Racing,Deportivo,4:2,2,Real Racing,1950/1951
2,Real Sociedad,Real Madrid,6:2,4,Real Sociedad,1950/1951
2,Real Murcia,Athletic,3:6,3,Athletic,1950/1951
2,Atlético,Barcelona,6:4,2,Atlético,1950/1951
2,Espanyol,Valencia,2:2,0,Empate,1950/1951
2,Celta,CD Alcoyano,6:2,4,Celta,1950/1951
3,Valencia,Real Sociedad,1:1,0,Empate,1950/1951
3,Atlético,Real Murcia,2:2,0,Empate,1950/1951
3,CD Alcoyano,Málaga,2:1,1,CD Alcoyano,1950/1951
3,Athletic,Valladolid,1:1,0,Empate,1950/1951
3,Deportivo,Celta,4:1,3,Deportivo,1950/1951
3,UE Lleida,Espanyol,5:4,1,UE Lleida,1950/1951
3,Barcelona,Real Madrid,7:2,5,Barcelona,1950/1951
3,Sevilla,Real Racing,4:0,4,Sevilla,1950/1951
4,Celta,Sevilla,3:0,3,Celta,1950/1951
4,Málaga,Deportivo,4:2,2,Málaga,1950/1951
4,Espanyol,CD Alcoyano,5:3,2,Espanyol,1950/1951
4,Real Madrid,Valencia,3:2,1,Real Madrid,1950/1951
4,Real Murcia,Barcelona,3:2,1,Real Murcia,1950/1951
4,Real Racing,Athletic,1:0,1,Real Racing,1950/1951
4,Valladolid,Atlético,3:3,0,Empate,1950/1951
4,Real Sociedad,UE Lleida,2:0,2,Real Sociedad,1950/1951
5,Barcelona,Valencia,2:1,1,Barcelona,1950/1951
5,Sevilla,Málaga,4:2,2,Sevilla,1950/1951
5,Real Murcia,Valladolid,1:2,1,Valladolid,1950/1951
5,Atlético,Real Racing,9:1,8,Atlético,1950/1951
5,CD Alcoyano,Real Sociedad,1:4,3,Real Sociedad,1950/1951
5,Deportivo,Espanyol,4:1,3,Deportivo,1950/1951
5,UE Lleida,Real Madrid,1:6,5,Real Madrid,1950/1951
5,Athletic,Celta,9:4,5,Athletic,1950/1951
6,Celta,Atlético,0:2,2,Atlético,1950/1951
6,Real Madrid,CD Alcoyano,7:0,7,Real Madrid,1950/1951
6,Real Racing,Real Murcia,4:0,4,Real Racing,1950/1951
6,Valencia,UE Lleida,4:1,3,Valencia,1950/1951
6,Málaga,Athletic,2:1,1,Málaga,1950/1951
6,Valladolid,Barcelona,1:0,1,Valladolid,1950/1951
6,Real Sociedad,Deportivo,5:1,4,Real Sociedad,1950/1951
6,Espanyol,Sevilla,2:4,2,Sevilla,1950/1951
7,Sevilla,Real Sociedad,2:1,1,Sevilla,1950/1951
7,Barcelona,UE Lleida,6:1,5,Barcelona,1950/1951
7,Atlético,Málaga,3:0,3,Atlético,1950/1951
7,Real Murcia,Celta,1:2,1,Celta,1950/1951
7,CD Alcoyano,Valencia,0:2,2,Valencia,1950/1951
7,Athletic,Espanyol,4:2,2,Athletic,1950/1951
7,Deportivo,Real Madrid,5:0,5,Deportivo,1950/1951
7,Valladolid,Real Racing,4:1,3,Valladolid,1950/1951
8,Celta,Valladolid,0:1,1,Valladolid,1950/1951
8,Real Madrid,Sevilla,3:3,0,Empate,1950/1951
8,UE Lleida,CD Alcoyano,3:1,2,UE Lleida,1950/1951
8,Málaga,Real Murcia,0:0,0,Empate,1950/1951
8,Real Racing,Barcelona,2:2,0,Empate,1950/1951
8,Espanyol,Atlético,4:3,1,Espanyol,1950/1951
8,Real Sociedad,Athletic,3:0,3,Real Sociedad,1950/1951
8,Valencia,Deportivo,0:3,3,Deportivo,1950/1951
9,Atlético,Real Sociedad,2:2,0,Empate,1950/1951
9,Deportivo,UE Lleida,10:1,9,Deportivo,1950/1951
9,Barcelona,CD Alcoyano,6:0,6,Barcelona,1950/1951
9,Real Racing,Celta,2:1,1,Real Racing,1950/1951
9,Sevilla,Valencia,4:0,4,Sevilla,1950/1951
9,Real Murcia,Espanyol,0:0,0,Empate,1950/1951
9,Athletic,Real Madrid,2:5,3,Real Madrid,1950/1951
9,Valladolid,Málaga,1:0,1,Valladolid,1950/1951
10,UE Lleida,Sevilla,4:5,1,Sevilla,1950/1951
10,Málaga,Real Racing,2:0,2,Málaga,1950/1951
10,Real Sociedad,Real Murcia,7:0,7,Real Sociedad,1950/1951
10,CD Alcoyano,Deportivo,0:1,1,Deportivo,1950/1951
10,Real Madrid,Atlético,3:6,3,Atlético,1950/1951
10,Valencia,Athletic,3:1,2,Valencia,1950/1951
10,Celta,Barcelona,2:2,0,Empate,1950/1951
10,Espanyol,Valladolid,3:2,1,Espanyol,1950/1951
11,Valladolid,Real Sociedad,3:2,1,Valladolid,1950/1951
11,Athletic,UE Lleida,10:0,10,Athletic,1950/1951
11,Sevilla,CD Alcoyano,7:1,6,Sevilla,1950/1951
11,Barcelona,Deportivo,2:2,0,Empate,1950/1951
11,Atlético,Valencia,3:2,1,Atlético,1950/1951
11,Real Racing,Espanyol,4:3,1,Real Racing,1950/1951
11,Real Murcia,Real Madrid,2:5,3,Real Madrid,1950/1951
11,Celta,Málaga,2:1,1,Celta,1950/1951
12,CD Alcoyano,Athletic,0:1,1,Athletic,1950/1951
12,Valencia,Real Murcia,2:0,2,Valencia,1950/1951
12,Real Madrid,Valladolid,2:1,1,Real Madrid,1950/1951
12,Real Sociedad,Real Racing,5:0,5,Real Sociedad,1950/1951
12,UE Lleida,Atlético,3:4,1,Atlético,1950/1951
12,Espanyol,Celta,3:1,2,Espanyol,1950/1951
12,Málaga,Barcelona,3:1,2,Málaga,1950/1951
12,Deportivo,Sevilla,0:3,3,Sevilla,1950/1951
13,Barcelona,Sevilla,4:1,3,Barcelona,1950/1951
13,Real Murcia,UE Lleida,3:2,1,Real Murcia,1950/1951
13,Atlético,CD Alcoyano,5:1,4,Atlético,1950/1951
13,Celta,Real Sociedad,3:1,2,Celta,1950/1951
13,Valladolid,Valencia,0:1,1,Valencia,1950/1951
13,Málaga,Espanyol,2:0,2,Málaga,1950/1951
13,Real Racing,Real Madrid,1:0,1,Real Racing,1950/1951
13,Athletic,Deportivo,1:1,0,Empate,1950/1951
14,Barcelona,Espanyol,4:1,3,Barcelona,1950/1951
14,Real Sociedad,Málaga,4:1,3,Real Sociedad,1950/1951
14,CD Alcoyano,Real Murcia,1:0,1,CD Alcoyano,1950/1951
14,UE Lleida,Valladolid,2:2,0,Empate,1950/1951
14,Valencia,Real Racing,3:3,0,Empate,1950/1951
14,Deportivo,Atlético,3:0,3,Deportivo,1950/1951
14,Sevilla,Athletic,1:0,1,Sevilla,1950/1951
14,Real Madrid,Celta,1:1,0,Empate,1950/1951
15,Real Racing,UE Lleida,5:1,4,Real Racing,1950/1951
15,Málaga,Real Madrid,3:0,3,Málaga,1950/1951
15,Athletic,Barcelona,4:3,1,Athletic,1950/1951
15,Celta,Valencia,5:1,4,Celta,1950/1951
15,Atlético,Sevilla,2:1,1,Atlético,1950/1951
15,Espanyol,Real Sociedad,2:1,1,Espanyol,1950/1951
15,Real Murcia,Deportivo,2:0,2,Real Murcia,1950/1951
15,Valladolid,CD Alcoyano,0:1,1,CD Alcoyano,1950/1951
16,Real Sociedad,Barcelona,3:1,2,Real Sociedad,1950/1951
16,Atlético,Athletic,2:0,2,Atlético,1950/1951
16,Málaga,Valencia,0:2,2,Valencia,1950/1951
16,Real Murcia,Sevilla,3:2,1,Real Murcia,1950/1951
16,Valladolid,Deportivo,2:0,2,Valladolid,1950/1951
16,Real Racing,CD Alcoyano,3:1,2,Real Racing,1950/1951
16,Celta,UE Lleida,4:0,4,Celta,1950/1951
16,Espanyol,Real Madrid,7:1,6,Espanyol,1950/1951
17,Deportivo,Real Racing,0:1,1,Real Racing,1950/1951
17,Athletic,Real Murcia,5:1,4,Athletic,1950/1951
17,Sevilla,Valladolid,4:0,4,Sevilla,1950/1951
17,Valencia,Espanyol,3:2,1,Valencia,1950/1951
17,Real Madrid,Real Sociedad,7:2,5,Real Madrid,1950/1951
17,Barcelona,Atlético,3:0,3,Barcelona,1950/1951
17,CD Alcoyano,Celta,0:2,2,Celta,1950/1951
17,UE Lleida,Málaga,2:5,3,Málaga,1950/1951
18,Real Sociedad,Valencia,3:0,3,Real Sociedad,1950/1951
18,Espanyol,UE Lleida,8:0,8,Espanyol,1950/1951
18,Málaga,CD Alcoyano,2:0,2,Málaga,1950/1951
18,Celta,Deportivo,1:2,1,Deportivo,1950/1951
18,Real Murcia,Atlético,1:3,2,Atlético,1950/1951
18,Valladolid,Athletic,4:2,2,Valladolid,1950/1951
18,Real Madrid,Barcelona,4:1,3,Real Madrid,1950/1951
18,Real Racing,Sevilla,2:2,0,Empate,1950/1951
19,Athletic,Real Racing,3:1,2,Athletic,1950/1951
19,Atlético,Valladolid,7:0,7,Atlético,1950/1951
19,Deportivo,Málaga,2:2,0,Empate,1950/1951
19,UE Lleida,Real Sociedad,1:0,1,UE Lleida,1950/1951
19,Valencia,Real Madrid,2:1,1,Valencia,1950/1951
19,CD Alcoyano,Espanyol,4:1,3,CD Alcoyano,1950/1951
19,Sevilla,Celta,3:0,3,Sevilla,1950/1951
19,Barcelona,Real Murcia,2:1,1,Barcelona,1950/1951
20,Real Racing,Atlético,1:0,1,Real Racing,1950/1951
20,Real Sociedad,CD Alcoyano,3:1,2,Real Sociedad,1950/1951
20,Valladolid,Real Murcia,4:0,4,Valladolid,1950/1951
20,Málaga,Sevilla,2:0,2,Málaga,1950/1951
20,Celta,Athletic,4:1,3,Celta,1950/1951
20,Valencia,Barcelona,4:2,2,Valencia,1950/1951
20,Espanyol,Deportivo,3:2,1,Espanyol,1950/1951
20,Real Madrid,UE Lleida,7:0,7,Real Madrid,1950/1951
21,UE Lleida,Valencia,1:6,5,Valencia,1950/1951
21,Barcelona,Valladolid,3:1,2,Barcelona,1950/1951
21,Real Murcia,Real Racing,2:0,2,Real Murcia,1950/1951
21,Athletic,Málaga,3:1,2,Athletic,1950/1951
21,Sevilla,Espanyol,5:2,3,Sevilla,1950/1951
21,CD Alcoyano,Real Madrid,2:1,1,CD Alcoyano,1950/1951
21,Atlético,Celta,3:2,1,Atlético,1950/1951
21,Deportivo,Real Sociedad,1:1,0,Empate,1950/1951
22,Real Sociedad,Sevilla,1:0,1,Real Sociedad,1950/1951
22,Valencia,CD Alcoyano,4:1,3,Valencia,1950/1951
22,Celta,Real Murcia,4:1,3,Celta,1950/1951
22,Real Racing,Valladolid,4:1,3,Real Racing,1950/1951
22,Málaga,Atlético,2:1,1,Málaga,1950/1951
22,Espanyol,Athletic,3:2,1,Espanyol,1950/1951
22,UE Lleida,Barcelona,0:3,3,Barcelona,1950/1951
22,Real Madrid,Deportivo,2:1,1,Real Madrid,1950/1951
23,Valladolid,Celta,3:1,2,Valladolid,1950/1951
23,CD Alcoyano,UE Lleida,6:2,4,CD Alcoyano,1950/1951
23,Real Murcia,Málaga,4:0,4,Real Murcia,1950/1951
23,Athletic,Real Sociedad,7:1,6,Athletic,1950/1951
23,Deportivo,Valencia,1:0,1,Deportivo,1950/1951
23,Atlético,Espanyol,1:1,0,Empate,1950/1951
23,Sevilla,Real Madrid,4:0,4,Sevilla,1950/1951
23,Barcelona,Real Racing,2:1,1,Barcelona,1950/1951
24,Valencia,Sevilla,4:0,4,Valencia,1950/1951
24,Espanyol,Real Murcia,7:0,7,Espanyol,1950/1951
24,UE Lleida,Deportivo,1:0,1,UE Lleida,1950/1951
24,Celta,Real Racing,1:0,1,Celta,1950/1951
24,Real Sociedad,Atlético,1:1,0,Empate,1950/1951
24,Real Madrid,Athletic,2:2,0,Empate,1950/1951
24,CD Alcoyano,Barcelona,0:1,1,Barcelona,1950/1951
24,Málaga,Valladolid,0:0,0,Empate,1950/1951
25,Real Murcia,Real Sociedad,2:1,1,Real Murcia,1950/1951
25,Barcelona,Celta,3:1,2,Barcelona,1950/1951
25,Sevilla,UE Lleida,5:0,5,Sevilla,1950/1951
25,Deportivo,CD Alcoyano,4:0,4,Deportivo,1950/1951
25,Athletic,Valencia,4:1,3,Athletic,1950/1951
25,Valladolid,Espanyol,1:1,0,Empate,1950/1951
25,Atlético,Real Madrid,4:0,4,Atlético,1950/1951
25,Real Racing,Málaga,0:0,0,Empate,1950/1951
26,CD Alcoyano,Sevilla,1:1,0,Empate,1950/1951
26,Real Madrid,Real Murcia,6:0,6,Real Madrid,1950/1951
26,Real Sociedad,Valladolid,5:2,3,Real Sociedad,1950/1951
