Jornada,Local,Visitante,Resultado,Differencia Gol,Ganador,Año
1,Athletic,Barcelona,1:0,1,Athletic,2019/2020
1,Celta,Real Madrid,1:3,2,Real Madrid,2019/2020
1,Valencia,Real Sociedad,1:1,0,Empate,2019/2020
1,Mallorca,Eibar,2:1,1,Mallorca,2019/2020
1,Leganés,Osasuna,0:1,1,Osasuna,2019/2020
1,Villarreal,Granada,4:4,0,Empate,2019/2020
1,Alavés,Levante,1:0,1,Alavés,2019/2020
1,Espanyol,Sevilla,0:2,2,Sevilla,2019/2020
1,Betis,Valladolid,1:2,1,Valladolid,2019/2020
1,Atlético,Getafe,1:0,1,Atlético,2019/2020
2,Granada,Sevilla,0:1,1,Sevilla,2019/2020
2,Levante,Villarreal,2:1,1,Levante,2019/2020
2,Osasuna,Eibar,0:0,0,Empate,2019/2020
2,Real Madrid,Valladolid,1:1,0,Empate,2019/2020
2,Celta,Valencia,1:0,1,Celta,2019/2020
2,Getafe,Athletic,1:1,0,Empate,2019/2020
2,Alavés,Espanyol,0:0,0,Empate,2019/2020
2,Mallorca,Real Sociedad,0:1,1,Real Sociedad,2019/2020
2,Leganés,Atlético,0:1,1,Atlético,2019/2020
2,Barcelona,Betis,5:2,3,Barcelona,2019/2020
3,Sevilla,Celta,1:1,0,Empate,2019/2020
3,Athletic,Real Sociedad,2:0,2,Athletic,2019/2020
3,Osasuna,Barcelona,2:2,0,Empate,2019/2020
3,Getafe,Alavés,1:1,0,Empate,2019/2020
3,Levante,Valladolid,2:0,2,Levante,2019/2020
3,Betis,Leganés,2:1,1,Betis,2019/2020
3,Valencia,Mallorca,2:0,2,Valencia,2019/2020
3,Atlético,Eibar,3:2,1,Atlético,2019/2020
3,Espanyol,Granada,0:3,3,Granada,2019/2020
3,Villarreal,Real Madrid,2:2,0,Empate,2019/2020
4,Mallorca,Athletic,0:0,0,Empate,2019/2020
4,Real Madrid,Levante,3:2,1,Real Madrid,2019/2020
4,Leganés,Villarreal,0:3,3,Villarreal,2019/2020
4,Real Sociedad,Atlético,2:0,2,Real Sociedad,2019/2020
4,Barcelona,Valencia,5:2,3,Barcelona,2019/2020
4,Eibar,Espanyol,1:2,1,Espanyol,2019/2020
4,Alavés,Sevilla,0:1,1,Sevilla,2019/2020
4,Celta,Granada,0:2,2,Granada,2019/2020
4,Valladolid,Osasuna,1:1,0,Empate,2019/2020
