Jornada,Local,Visitante,Resultado,Differencia Gol,Ganador,Año
1,Real Sociedad,Las Palmas,1:0,1,Real Sociedad,1979/1980
1,Betis,Rayo,1:2,1,Rayo,1979/1980
1,Espanyol,AD Almería,5:2,3,Espanyol,1979/1980
1,Sporting,Sevilla,2:1,1,Sporting,1979/1980
1,Zaragoza,Barcelona,2:2,0,Empate,1979/1980
1,UD Salamanca,Athletic,2:1,1,UD Salamanca,1979/1980
1,Real Madrid,Valencia,3:1,2,Real Madrid,1979/1980
1,Hércules CF,Atlético,2:3,1,Atlético,1979/1980
1,Burgos CF,Málaga,1:0,1,Burgos CF,1979/1980
2,Athletic,Real Sociedad,0:1,1,Real Sociedad,1979/1980
2,Valencia,UD Salamanca,2:2,0,Empate,1979/1980
2,Las Palmas,Hércules CF,2:1,1,Las Palmas,1979/1980
2,Barcelona,Betis,5:0,5,Barcelona,1979/1980
2,Málaga,Espanyol,1:2,1,Espanyol,1979/1980
2,Atlético,Sporting,1:3,2,Sporting,1979/1980
2,Sevilla,Burgos CF,6:1,5,Sevilla,1979/1980
2,AD Almería,Zaragoza,1:0,1,AD Almería,1979/1980
2,Rayo,Real Madrid,1:2,1,Real Madrid,1979/1980
3,Espanyol,Zaragoza,2:0,2,Espanyol,1979/1980
3,Málaga,Sevilla,2:1,1,Málaga,1979/1980
3,Real Madrid,Barcelona,3:2,1,Real Madrid,1979/1980
3,Betis,AD Almería,0:0,0,Empate,1979/1980
3,UD Salamanca,Rayo,3:0,3,UD Salamanca,1979/1980
3,Sporting,Las Palmas,4:1,3,Sporting,1979/1980
3,Hércules CF,Athletic,2:1,1,Hércules CF,1979/1980
3,Real Sociedad,Valencia,0:0,0,Empate,1979/1980
3,Burgos CF,Atlético,1:1,0,Empate,1979/1980
4,Las Palmas,Burgos CF,2:1,1,Las Palmas,1979/1980
4,Valencia,Hércules CF,0:0,0,Empate,1979/1980
4,Atlético,Málaga,0:0,0,Empate,1979/1980
4,Sevilla,Espanyol,2:1,1,Sevilla,1979/1980
4,Barcelona,UD Salamanca,0:0,0,Empate,1979/1980
4,Athletic,Sporting,2:3,1,Sporting,1979/1980
4,Rayo,Real Sociedad,1:1,0,Empate,1979/1980
4,AD Almería,Real Madrid,1:1,0,Empate,1979/1980
4,Zaragoza,Betis,5:1,4,Zaragoza,1979/1980
5,Burgos CF,Athletic,1:1,0,Empate,1979/1980
5,Espanyol,Betis,0:0,0,Empate,1979/1980
5,UD Salamanca,AD Almería,2:1,1,UD Salamanca,1979/1980
5,Hércules CF,Rayo,2:2,0,Empate,1979/1980
5,Málaga,Las Palmas,1:0,1,Málaga,1979/1980
5,Real Sociedad,Barcelona,4:3,1,Real Sociedad,1979/1980
5,Sporting,Valencia,4:2,2,Sporting,1979/1980
5,Sevilla,Atlético,2:2,0,Empate,1979/1980
5,Real Madrid,Zaragoza,3:2,1,Real Madrid,1979/1980
6,Valencia,Burgos CF,3:1,2,Valencia,1979/1980
6,Barcelona,Hércules CF,2:0,2,Barcelona,1979/1980
6,Las Palmas,Sevilla,2:0,2,Las Palmas,1979/1980
6,Betis,Real Madrid,2:3,1,Real Madrid,1979/1980
