Jornada,Local,Visitante,Resultado,Differencia Gol,Ganador,Año
1,Celta,Athletic,0:3,3,Athletic,1958/1959
1,Sporting,Espanyol,1:0,1,Sporting,1958/1959
1,Barcelona,Valencia,6:0,6,Barcelona,1958/1959
1,Osasuna,Sevilla,2:2,0,Empate,1958/1959
1,Zaragoza,Real Sociedad,1:0,1,Zaragoza,1958/1959
1,Atlético,Real Oviedo,2:0,2,Atlético,1958/1959
1,Betis,Granada,2:1,1,Betis,1958/1959
1,Las Palmas,Real Madrid,1:2,1,Real Madrid,1958/1959
2,Espanyol,Celta,2:1,1,Espanyol,1958/1959
2,Athletic,Osasuna,3:1,2,Athletic,1958/1959
2,Real Oviedo,Las Palmas,2:1,1,Real Oviedo,1958/1959
2,Real Sociedad,Barcelona,1:1,0,Empate,1958/1959
2,Granada,Zaragoza,4:1,3,Granada,1958/1959
2,Valencia,Atlético,4:2,2,Valencia,1958/1959
2,Sevilla,Betis,2:4,2,Betis,1958/1959
2,Real Madrid,Sporting,5:1,4,Real Madrid,1958/1959
3,Osasuna,Espanyol,2:1,1,Osasuna,1958/1959
3,Barcelona,Granada,3:0,3,Barcelona,1958/1959
3,Las Palmas,Sporting,4:0,4,Las Palmas,1958/1959
3,Atlético,Real Sociedad,2:0,2,Atlético,1958/1959
3,Real Oviedo,Valencia,1:1,0,Empate,1958/1959
3,Betis,Athletic,4:0,4,Betis,1958/1959
3,Celta,Real Madrid,2:4,2,Real Madrid,1958/1959
3,Zaragoza,Sevilla,4:2,2,Zaragoza,1958/1959
4,Espanyol,Betis,2:0,2,Espanyol,1958/1959
4,Sporting,Celta,2:2,0,Empate,1958/1959
4,Real Sociedad,Real Oviedo,1:1,0,Empate,1958/1959
4,Granada,Atlético,1:0,1,Granada,1958/1959
4,Sevilla,Barcelona,0:2,2,Barcelona,1958/1959
4,Las Palmas,Valencia,2:4,2,Valencia,1958/1959
4,Athletic,Zaragoza,3:2,1,Athletic,1958/1959
4,Real Madrid,Osasuna,8:0,8,Real Madrid,1958/1959
5,Zaragoza,Espanyol,1:0,1,Zaragoza,1958/1959
5,Real Oviedo,Granada,1:0,1,Real Oviedo,1958/1959
5,Osasuna,Sporting,4:1,3,Osasuna,1958/1959
5,Celta,Las Palmas,0:0,0,Empate,1958/1959
5,Atlético,Sevilla,5:0,5,Atlético,1958/1959
5,Barcelona,Athletic,3:0,3,Barcelona,1958/1959
5,Betis,Real Madrid,2:3,1,Real Madrid,1958/1959
5,Valencia,Real Sociedad,2:0,2,Valencia,1958/1959
6,Athletic,Atlético,1:2,1,Atlético,1958/1959
6,Sevilla,Real Oviedo,4:0,4,Sevilla,1958/1959
6,Real Sociedad,Las Palmas,6:2,4,Real Sociedad,1958/1959
6,Celta,Osasuna,3:0,3,Celta,1958/1959
6,Granada,Valencia,1:0,1,Granada,1958/1959
6,Espanyol,Barcelona,0:3,3,Barcelona,1958/1959
6,Sporting,Betis,1:1,0,Empate,1958/1959
6,Real Madrid,Zaragoza,3:0,3,Real Madrid,1958/1959
7,Valencia,Sevilla,1:0,1,Valencia,1958/1959
7,Real Sociedad,Granada,3:1,2,Real Sociedad,1958/1959
7,Las Palmas,Osasuna,5:1,4,Las Palmas,1958/1959
7,Betis,Celta,2:1,1,Betis,1958/1959
7,Atlético,Espanyol,3:2,1,Atlético,1958/1959
7,Real Oviedo,Athletic,1:2,1,Athletic,1958/1959
7,Barcelona,Real Madrid,4:0,4,Barcelona,1958/1959
7,Zaragoza,Sporting,2:2,0,Empate,1958/1959
8,Celta,Zaragoza,2:0,2,Celta,1958/1959
8,Sevilla,Real Sociedad,0:1,1,Real Sociedad,1958/1959
8,Las Palmas,Granada,1:0,1,Las Palmas,1958/1959
8,Espanyol,Real Oviedo,2:0,2,Espanyol,1958/1959
8,Sporting,Barcelona,2:1,1,Sporting,1958/1959
8,Real Madrid,Atlético,5:0,5,Real Madrid,1958/1959
8,Athletic,Valencia,2:1,1,Athletic,1958/1959
8,Osasuna,Betis,3:0,3,Osasuna,1958/1959
9,Granada,Sevilla,1:0,1,Granada,1958/1959
9,Zaragoza,Osasuna,2:1,1,Zaragoza,1958/1959
9,Atlético,Sporting,1:1,0,Empate,1958/1959
9,Barcelona,Celta,2:0,2,Barcelona,1958/1959
9,Valencia,Espanyol,1:1,0,Empate,1958/1959
9,Real Sociedad,Athletic,1:1,0,Empate,1958/1959
9,Real Oviedo,Real Madrid,0:2,2,Real Madrid,1958/1959
9,Betis,Las Palmas,2:0,2,Betis,1958/1959
10,Las Palmas,Sevilla,3:0,3,Las Palmas,1958/1959
10,Espanyol,Real Sociedad,2:0,2,Espanyol,1958/1959
10,Athletic,Granada,3:0,3,Athletic,1958/1959
10,Sporting,Real Oviedo,0:3,3,Real Oviedo,1958/1959
10,Celta,Atlético,0:1,1,Atlético,1958/1959
10,Real Madrid,Valencia,3:0,3,Real Madrid,1958/1959
10,Osasuna,Barcelona,2:2,0,Empate,1958/1959
10,Betis,Zaragoza,7:0,7,Betis,1958/1959
11,Las Palmas,Zaragoza,3:1,2,Las Palmas,1958/1959
11,Atlético,Osasuna,2:0,2,Atlético,1958/1959
11,Valencia,Sporting,2:0,2,Valencia,1958/1959
11,Barcelona,Betis,4:1,3,Barcelona,1958/1959
11,Granada,Espanyol,1:1,0,Empate,1958/1959
11,Sevilla,Athletic,3:2,1,Sevilla,1958/1959
11,Real Sociedad,Real Madrid,0:0,0,Empate,1958/1959
11,Real Oviedo,Celta,1:0,1,Real Oviedo,1958/1959
