Jornada,Local,Visitante,Resultado,Differencia Gol,Ganador,Año
1,Atlético,Barcelona,1:1,0,Empate,1944/1945
1,Espanyol,Sporting,0:0,0,Empate,1944/1945
1,Sevilla,Granada,4:1,3,Sevilla,1944/1945
1,Deportivo,Real Murcia,3:1,2,Deportivo,1944/1945
1,Valencia,CE Sabadell,1:1,0,Empate,1944/1945
1,Athletic,CD Castellón,1:3,2,CD Castellón,1944/1945
1,Real Oviedo,Real Madrid,4:0,4,Real Oviedo,1944/1945
2,CD Castellón,Sevilla,2:2,0,Empate,1944/1945
2,Barcelona,Real Oviedo,0:1,1,Real Oviedo,1944/1945
2,Granada,Atlético,2:1,1,Granada,1944/1945
2,Real Murcia,Valencia,2:1,1,Real Murcia,1944/1945
2,Real Madrid,Espanyol,3:0,3,Real Madrid,1944/1945
2,CE Sabadell,Athletic,1:2,1,Athletic,1944/1945
2,Sporting,Deportivo,3:3,0,Empate,1944/1945
3,Deportivo,Real Madrid,2:2,0,Empate,1944/1945
3,Real Oviedo,Espanyol,1:0,1,Real Oviedo,1944/1945
3,Valencia,Sporting,4:1,3,Valencia,1944/1945
3,Barcelona,Granada,4:2,2,Barcelona,1944/1945
3,Athletic,Real Murcia,5:1,4,Athletic,1944/1945
3,Sevilla,CE Sabadell,4:0,4,Sevilla,1944/1945
3,Atlético,CD Castellón,4:0,4,Atlético,1944/1945
4,CD Castellón,Barcelona,0:1,1,Barcelona,1944/1945
4,Real Murcia,Sevilla,3:1,2,Real Murcia,1944/1945
4,Espanyol,Deportivo,7:1,6,Espanyol,1944/1945
4,Granada,Real Oviedo,5:1,4,Granada,1944/1945
4,Sporting,Athletic,0:2,2,Athletic,1944/1945
4,CE Sabadell,Atlético,0:1,1,Atlético,1944/1945
4,Real Madrid,Valencia,1:1,0,Empate,1944/1945
5,Granada,CD Castellón,0:2,2,CD Castellón,1944/1945
5,Athletic,Real Madrid,2:1,1,Athletic,1944/1945
5,Valencia,Espanyol,2:0,2,Valencia,1944/1945
5,Sevilla,Sporting,6:0,6,Sevilla,1944/1945
5,Real Oviedo,Deportivo,2:2,0,Empate,1944/1945
5,Atlético,Real Murcia,4:3,1,Atlético,1944/1945
5,Barcelona,CE Sabadell,2:1,1,Barcelona,1944/1945
6,CE Sabadell,Granada,3:2,1,CE Sabadell,1944/1945
6,CD Castellón,Real Oviedo,5:3,2,CD Castellón,1944/1945
6,Real Madrid,Sevilla,5:0,5,Real Madrid,1944/1945
6,Sporting,Atlético,2:0,2,Sporting,1944/1945
6,Deportivo,Valencia,2:3,1,Valencia,1944/1945
6,Real Murcia,Barcelona,1:1,0,Empate,1944/1945
6,Espanyol,Athletic,2:3,1,Athletic,1944/1945
7,Granada,Real Murcia,1:1,0,Empate,1944/1945
7,Real Oviedo,Valencia,2:0,2,Real Oviedo,1944/1945
7,CD Castellón,CE Sabadell,8:0,8,CD Castellón,1944/1945
7,Atlético,Real Madrid,0:1,1,Real Madrid,1944/1945
