Jornada,Local,Visitante,Resultado,Differencia Gol,Ganador,Año
1,Real Madrid,Valencia,1:2,1,Valencia,1954/1955
1,Las Palmas,Atlético,4:1,3,Las Palmas,1954/1955
1,Barcelona,Sevilla,4:2,2,Barcelona,1954/1955
1,Valladolid,Real Sociedad,1:0,1,Valladolid,1954/1955
1,Málaga,Celta,0:0,0,Empate,1954/1955
1,Deportivo,Hércules CF,2:1,1,Deportivo,1954/1955
1,Athletic,Alavés,4:0,4,Athletic,1954/1955
1,Real Racing,Espanyol,3:1,2,Real Racing,1954/1955
2,Celta,Real Racing,2:1,1,Celta,1954/1955
2,Atlético,Málaga,2:2,0,Empate,1954/1955
2,Hércules CF,Valladolid,2:1,1,Hércules CF,1954/1955
2,Real Sociedad,Real Madrid,1:3,2,Real Madrid,1954/1955
2,Espanyol,Athletic,1:3,2,Athletic,1954/1955
2,Alavés,Barcelona,2:2,0,Empate,1954/1955
2,Valencia,Las Palmas,4:0,4,Valencia,1954/1955
2,Sevilla,Deportivo,3:2,1,Sevilla,1954/1955
3,Real Racing,Atlético,2:4,2,Atlético,1954/1955
3,Deportivo,Alavés,3:0,3,Deportivo,1954/1955
3,Real Sociedad,Hércules CF,4:0,4,Real Sociedad,1954/1955
3,Real Madrid,Las Palmas,7:0,7,Real Madrid,1954/1955
3,Valladolid,Sevilla,2:5,3,Sevilla,1954/1955
3,Málaga,Valencia,1:1,0,Empate,1954/1955
3,Barcelona,Espanyol,1:0,1,Barcelona,1954/1955
3,Athletic,Celta,2:2,0,Empate,1954/1955
4,Valencia,Real Racing,8:1,7,Valencia,1954/1955
4,Alavés,Valladolid,1:4,3,Valladolid,1954/1955
4,Espanyol,Deportivo,2:2,0,Empate,1954/1955
4,Atlético,Athletic,1:2,1,Athletic,1954/1955
4,Hércules CF,Real Madrid,1:1,0,Empate,1954/1955
4,Celta,Barcelona,1:1,0,Empate,1954/1955
4,Sevilla,Real Sociedad,5:2,3,Sevilla,1954/1955
4,Las Palmas,Málaga,2:1,1,Las Palmas,1954/1955
5,Barcelona,Atlético,4:0,4,Barcelona,1954/1955
5,Real Sociedad,Alavés,2:0,2,Real Sociedad,1954/1955
5,Real Madrid,Málaga,4:1,3,Real Madrid,1954/1955
5,Real Racing,Las Palmas,2:1,1,Real Racing,1954/1955
5,Hércules CF,Sevilla,1:1,0,Empate,1954/1955
5,Athletic,Valencia,7:0,7,Athletic,1954/1955
5,Valladolid,Espanyol,4:2,2,Valladolid,1954/1955
5,Deportivo,Celta,4:2,2,Deportivo,1954/1955
6,Las Palmas,Athletic,3:3,0,Empate,1954/1955
6,Atlético,Deportivo,2:1,1,Atlético,1954/1955
6,Celta,Valladolid,2:2,0,Empate,1954/1955
6,Alavés,Hércules CF,2:0,2,Alavés,1954/1955
6,Valencia,Barcelona,4:1,3,Valencia,1954/1955
6,Sevilla,Real Madrid,1:0,1,Sevilla,1954/1955
6,Málaga,Real Racing,3:1,2,Málaga,1954/1955
6,Espanyol,Real Sociedad,1:0,1,Espanyol,1954/1955
7,Real Sociedad,Celta,5:0,5,Real Sociedad,1954/1955
7,Sevilla,Alavés,1:2,1,Alavés,1954/1955
7,Athletic,Málaga,6:1,5,Athletic,1954/1955
