Jornada,Local,Visitante,Resultado,Differencia Gol,Ganador,Año
1,Valencia,Atlético,3:0,3,Valencia,1942/1943
1,Sevilla,Zaragoza,6:0,6,Sevilla,1942/1943
1,Athletic,Betis,5:0,5,Athletic,1942/1943
1,Espanyol,Celta,1:0,1,Espanyol,1942/1943
1,Real Oviedo,CD Castellón,4:1,3,Real Oviedo,1942/1943
1,Real Madrid,Barcelona,3:0,3,Real Madrid,1942/1943
1,Granada,Deportivo,1:2,1,Deportivo,1942/1943
2,Betis,Sevilla,2:5,3,Sevilla,1942/1943
2,Celta,Real Oviedo,2:0,2,Celta,1942/1943
2,Barcelona,Valencia,1:2,1,Valencia,1942/1943
2,Atlético,Espanyol,2:3,1,Espanyol,1942/1943
2,CD Castellón,Athletic,2:2,0,Empate,1942/1943
2,Deportivo,Real Madrid,1:2,1,Real Madrid,1942/1943
2,Zaragoza,Granada,2:3,1,Granada,1942/1943
3,Valencia,Espanyol,3:0,3,Valencia,1942/1943
3,Real Oviedo,Atlético,2:1,1,Real Oviedo,1942/1943
3,Real Madrid,Zaragoza,2:1,1,Real Madrid,1942/1943
3,Granada,Betis,6:2,4,Granada,1942/1943
3,Athletic,Celta,4:0,4,Athletic,1942/1943
3,Barcelona,Deportivo,1:1,0,Empate,1942/1943
3,Sevilla,CD Castellón,4:1,3,Sevilla,1942/1943
4,Betis,Real Madrid,3:1,2,Betis,1942/1943
4,Celta,Sevilla,1:0,1,Celta,1942/1943
4,CD Castellón,Granada,3:2,1,CD Castellón,1942/1943
4,Espanyol,Real Oviedo,5:0,5,Espanyol,1942/1943
4,Zaragoza,Barcelona,1:1,0,Empate,1942/1943
4,Deportivo,Valencia,2:2,0,Empate,1942/1943
4,Atlético,Athletic,2:3,1,Athletic,1942/1943
5,Real Madrid,CD Castellón,0:0,0,Empate,1942/1943
5,Athletic,Espanyol,2:1,1,Athletic,1942/1943
5,Sevilla,Atlético,2:1,1,Sevilla,1942/1943
5,Deportivo,Zaragoza,3:1,2,Deportivo,1942/1943
5,Barcelona,Betis,4:1,3,Barcelona,1942/1943
5,Granada,Celta,3:1,2,Granada,1942/1943
5,Valencia,Real Oviedo,7:0,7,Valencia,1942/1943
6,Atlético,Granada,7:1,6,Atlético,1942/1943
6,Betis,Deportivo,1:1,0,Empate,1942/1943
6,Espanyol,Sevilla,1:2,1,Sevilla,1942/1943
6,Zaragoza,Valencia,0:0,0,Empate,1942/1943
6,Real Oviedo,Athletic,3:3,0,Empate,1942/1943
6,Celta,Real Madrid,2:1,1,Celta,1942/1943
6,CD Castellón,Barcelona,0:2,2,Barcelona,1942/1943
7,Sevilla,Real Oviedo,0:5,5,Real Oviedo,1942/1943
7,Real Madrid,Atlético,1:3,2,Atlético,1942/1943
7,Deportivo,CD Castellón,0:1,1,CD Castellón,1942/1943
7,Valencia,Athletic,2:2,0,Empate,1942/1943
7,Barcelona,Celta,8:0,8,Barcelona,1942/1943
7,Granada,Espanyol,2:2,0,Empate,1942/1943
7,Zaragoza,Betis,1:0,1,Zaragoza,1942/1943
8,Real Oviedo,Granada,4:2,2,Real Oviedo,1942/1943
8,Celta,Deportivo,0:1,1,Deportivo,1942/1943
8,Athletic,Sevilla,5:0,5,Athletic,1942/1943
8,Betis,Valencia,2:2,0,Empate,1942/1943
8,Atlético,Barcelona,4:0,4,Atlético,1942/1943
8,Espanyol,Real Madrid,4:2,2,Espanyol,1942/1943
8,CD Castellón,Zaragoza,3:0,3,CD Castellón,1942/1943
9,Barcelona,Espanyol,2:0,2,Barcelona,1942/1943
9,Deportivo,Atlético,0:0,0,Empate,1942/1943
9,Valencia,Sevilla,4:2,2,Valencia,1942/1943
9,Zaragoza,Celta,1:2,1,Celta,1942/1943
9,Real Madrid,Real Oviedo,2:1,1,Real Madrid,1942/1943
9,Betis,CD Castellón,1:1,0,Empate,1942/1943
9,Granada,Athletic,1:3,2,Athletic,1942/1943
10,Celta,Betis,4:2,2,Celta,1942/1943
10,Atlético,Zaragoza,3:1,2,Atlético,1942/1943
10,Espanyol,Deportivo,1:1,0,Empate,1942/1943
10,Real Oviedo,Barcelona,3:2,1,Real Oviedo,1942/1943
10,Athletic,Real Madrid,3:2,1,Athletic,1942/1943
10,CD Castellón,Valencia,1:0,1,CD Castellón,1942/1943
10,Sevilla,Granada,3:2,1,Sevilla,1942/1943
11,Barcelona,Athletic,1:3,2,Athletic,1942/1943
11,Zaragoza,Espanyol,4:2,2,Zaragoza,1942/1943
11,Betis,Atlético,1:2,1,Atlético,1942/1943
11,Real Madrid,Sevilla,1:1,0,Empate,1942/1943
11,CD Castellón,Celta,5:0,5,CD Castellón,1942/1943
11,Deportivo,Real Oviedo,0:1,1,Real Oviedo,1942/1943
11,Valencia,Granada,3:2,1,Valencia,1942/1943
12,Granada,Real Madrid,1:0,1,Granada,1942/1943
12,Atlético,CD Castellón,5:1,4,Atlético,1942/1943
12,Athletic,Deportivo,0:2,2,Deportivo,1942/1943
12,Valencia,Celta,1:1,0,Empate,1942/1943
12,Espanyol,Betis,3:0,3,Espanyol,1942/1943
12,Sevilla,Barcelona,4:2,2,Sevilla,1942/1943
12,Real Oviedo,Zaragoza,1:1,0,Empate,1942/1943
13,Barcelona,Granada,5:2,3,Barcelona,1942/1943
13,Zaragoza,Athletic,0:1,1,Athletic,1942/1943
13,CD Castellón,Espanyol,2:1,1,CD Castellón,1942/1943
13,Real Madrid,Valencia,0:1,1,Valencia,1942/1943
13,Celta,Atlético,1:1,0,Empate,1942/1943
13,Deportivo,Sevilla,1:1,0,Empate,1942/1943
13,Betis,Real Oviedo,1:2,1,Real Oviedo,1942/1943
14,Betis,Athletic,3:1,2,Betis,1942/1943
14,Celta,Espanyol,3:2,1,Celta,1942/1943
14,Atlético,Valencia,1:1,0,Empate,1942/1943
14,Zaragoza,Sevilla,3:4,1,Sevilla,1942/1943
14,CD Castellón,Real Oviedo,3:0,3,CD Castellón,1942/1943
