Jornada,Local,Visitante,Resultado,Differencia Gol,Ganador,Año
1,Osasuna,Real Madrid,1:4,3,Real Madrid,1993/1994
1,Barcelona,Real Sociedad,3:0,3,Barcelona,1993/1994
1,Zaragoza,Sevilla,1:2,1,Sevilla,1993/1994
1,Valladolid,Sporting,0:1,1,Sporting,1993/1994
1,Deportivo,Celta,0:0,0,Empate,1993/1994
1,Real Oviedo,Valencia,0:3,3,Valencia,1993/1994
1,Atlético,CD Logroñés,1:0,1,Atlético,1993/1994
1,Real Racing,Rayo,1:0,1,Real Racing,1993/1994
1,Tenerife,UE Lleida,1:0,1,Tenerife,1993/1994
1,Athletic,Albacete,4:1,3,Athletic,1993/1994
2,Albacete,Barcelona,0:0,0,Empate,1993/1994
2,Sporting,Deportivo,0:2,2,Deportivo,1993/1994
2,Valencia,Atlético,2:2,0,Empate,1993/1994
2,Celta,Real Oviedo,1:1,0,Empate,1993/1994
2,Real Sociedad,Zaragoza,2:2,0,Empate,1993/1994
2,Sevilla,Osasuna,1:1,0,Empate,1993/1994
2,CD Logroñés,Real Racing,0:1,1,Real Racing,1993/1994
2,Rayo,Tenerife,4:3,1,Rayo,1993/1994
2,UE Lleida,Athletic,1:2,1,Athletic,1993/1994
2,Real Madrid,Valladolid,1:3,2,Valladolid,1993/1994
3,Deportivo,Real Madrid,4:0,4,Deportivo,1993/1994
3,Valladolid,Sevilla,2:2,0,Empate,1993/1994
3,Real Oviedo,Sporting,0:1,1,Sporting,1993/1994
3,Athletic,Barcelona,0:0,0,Empate,1993/1994
3,UE Lleida,Rayo,0:1,1,Rayo,1993/1994
3,Tenerife,CD Logroñés,2:0,2,Tenerife,1993/1994
3,Real Racing,Valencia,0:1,1,Valencia,1993/1994
3,Atlético,Celta,3:2,1,Atlético,1993/1994
3,Osasuna,Real Sociedad,0:2,2,Real Sociedad,1993/1994
3,Zaragoza,Albacete,1:1,0,Empate,1993/1994
4,CD Logroñés,UE Lleida,2:1,1,CD Logroñés,1993/1994
4,Sevilla,Deportivo,0:0,0,Empate,1993/1994
4,Sporting,Atlético,1:1,0,Empate,1993/1994
4,Valencia,Tenerife,3:2,1,Valencia,1993/1994
4,Barcelona,Zaragoza,4:1,3,Barcelona,1993/1994
4,Albacete,Osasuna,2:1,1,Albacete,1993/1994
4,Real Sociedad,Valladolid,1:0,1,Real Sociedad,1993/1994
4,Real Madrid,Real Oviedo,0:1,1,Real Oviedo,1993/1994
4,Celta,Real Racing,0:0,0,Empate,1993/1994
4,Rayo,Athletic,1:2,1,Athletic,1993/1994
5,Atlético,Real Madrid,0:0,0,Empate,1993/1994
5,Osasuna,Barcelona,2:3,1,Barcelona,1993/1994
5,Deportivo,Real Sociedad,0:1,1,Real Sociedad,1993/1994
5,Athletic,Zaragoza,2:1,1,Athletic,1993/1994
5,UE Lleida,Valencia,1:1,0,Empate,1993/1994
5,Tenerife,Celta,0:0,0,Empate,1993/1994
5,Real Racing,Sporting,2:0,2,Real Racing,1993/1994
5,Real Oviedo,Sevilla,0:2,2,Sevilla,1993/1994
5,Rayo,CD Logroñés,3:1,2,Rayo,1993/1994
5,Valladolid,Albacete,1:0,1,Valladolid,1993/1994
6,Zaragoza,Osasuna,2:1,1,Zaragoza,1993/1994
6,Barcelona,Valladolid,3:0,3,Barcelona,1993/1994
6,Albacete,Deportivo,0:0,0,Empate,1993/1994
6,Real Sociedad,Real Oviedo,2:2,0,Empate,1993/1994
6,Sevilla,Atlético,2:1,1,Sevilla,1993/1994
