Jornada,Local,Visitante,Resultado,Differencia Gol,Ganador,Año
1,Granada,Espanyol,1:0,1,Granada,1959/1960
1,Real Sociedad,Valencia,2:0,2,Real Sociedad,1959/1960
1,Las Palmas,Atlético,0:3,3,Atlético,1959/1960
1,Valladolid,Zaragoza,2:1,1,Valladolid,1959/1960
1,Real Madrid,Betis,7:1,6,Real Madrid,1959/1960
1,Real Oviedo,Elche,1:1,0,Empate,1959/1960
1,Sevilla,Osasuna,3:1,2,Sevilla,1959/1960
1,Barcelona,Athletic,4:1,3,Barcelona,1959/1960
2,Betis,Las Palmas,2:1,1,Betis,1959/1960
2,Zaragoza,Granada,6:2,4,Zaragoza,1959/1960
2,Osasuna,Real Oviedo,4:3,1,Osasuna,1959/1960
2,Valencia,Real Madrid,2:1,1,Valencia,1959/1960
2,Atlético,Sevilla,3:2,1,Atlético,1959/1960
2,Elche,Barcelona,2:1,1,Elche,1959/1960
2,Espanyol,Real Sociedad,4:2,2,Espanyol,1959/1960
2,Athletic,Valladolid,4:3,1,Athletic,1959/1960
3,Betis,Valencia,2:0,2,Betis,1959/1960
3,Barcelona,Osasuna,6:0,6,Barcelona,1959/1960
3,Valladolid,Elche,1:0,1,Valladolid,1959/1960
3,Real Sociedad,Zaragoza,1:0,1,Real Sociedad,1959/1960
3,Real Oviedo,Atlético,1:0,1,Real Oviedo,1959/1960
3,Real Madrid,Espanyol,4:0,4,Real Madrid,1959/1960
3,Granada,Athletic,3:2,1,Granada,1959/1960
3,Las Palmas,Sevilla,2:1,1,Las Palmas,1959/1960
4,Espanyol,Betis,1:1,0,Empate,1959/1960
4,Sevilla,Real Oviedo,0:1,1,Real Oviedo,1959/1960
4,Osasuna,Valladolid,4:1,3,Osasuna,1959/1960
4,Las Palmas,Valencia,1:0,1,Las Palmas,1959/1960
4,Zaragoza,Real Madrid,2:2,0,Empate,1959/1960
4,Atlético,Barcelona,0:1,1,Barcelona,1959/1960
4,Athletic,Real Sociedad,4:0,4,Athletic,1959/1960
4,Elche,Granada,1:0,1,Elche,1959/1960
5,Valladolid,Atlético,0:1,1,Atlético,1959/1960
5,Granada,Osasuna,2:1,1,Granada,1959/1960
5,Real Sociedad,Elche,4:2,2,Real Sociedad,1959/1960
5,Real Oviedo,Las Palmas,1:0,1,Real Oviedo,1959/1960
5,Barcelona,Sevilla,5:0,5,Barcelona,1959/1960
5,Valencia,Espanyol,0:0,0,Empate,1959/1960
5,Real Madrid,Athletic,3:1,2,Real Madrid,1959/1960
5,Betis,Zaragoza,1:2,1,Zaragoza,1959/1960
6,Zaragoza,Valencia,3:1,2,Zaragoza,1959/1960
6,Sevilla,Valladolid,5:0,5,Sevilla,1959/1960
6,Espanyol,Las Palmas,0:0,0,Empate,1959/1960
6,Atlético,Granada,0:2,2,Granada,1959/1960
6,Real Oviedo,Barcelona,2:0,2,Real Oviedo,1959/1960
6,Elche,Real Madrid,1:5,4,Real Madrid,1959/1960
6,Athletic,Betis,4:1,3,Athletic,1959/1960
6,Osasuna,Real Sociedad,1:1,0,Empate,1959/1960
7,Granada,Sevilla,0:1,1,Sevilla,1959/1960
7,Real Madrid,Osasuna,7:0,7,Real Madrid,1959/1960
7,Betis,Elche,2:2,0,Empate,1959/1960
7,Espanyol,Zaragoza,2:1,1,Espanyol,1959/1960
7,Real Sociedad,Atlético,0:3,3,Atlético,1959/1960
7,Valencia,Athletic,3:2,1,Valencia,1959/1960
7,Las Palmas,Barcelona,0:8,8,Barcelona,1959/1960
7,Valladolid,Real Oviedo,3:0,3,Valladolid,1959/1960
8,Las Palmas,Zaragoza,2:0,2,Las Palmas,1959/1960
8,Sevilla,Real Sociedad,3:0,3,Sevilla,1959/1960
8,Real Oviedo,Granada,2:2,0,Empate,1959/1960
8,Barcelona,Valladolid,5:1,4,Barcelona,1959/1960
8,Atlético,Real Madrid,3:3,0,Empate,1959/1960
8,Elche,Valencia,2:1,1,Elche,1959/1960
8,Athletic,Espanyol,2:0,2,Athletic,1959/1960
8,Osasuna,Betis,0:1,1,Betis,1959/1960
9,Real Madrid,Sevilla,1:0,1,Real Madrid,1959/1960
9,Valencia,Osasuna,3:0,3,Valencia,1959/1960
9,Espanyol,Elche,3:0,3,Espanyol,1959/1960
9,Valladolid,Las Palmas,5:0,5,Valladolid,1959/1960
9,Betis,Atlético,1:4,3,Atlético,1959/1960
9,Zaragoza,Athletic,1:2,1,Athletic,1959/1960
9,Granada,Barcelona,0:0,0,Empate,1959/1960
9,Real Sociedad,Real Oviedo,6:2,4,Real Sociedad,1959/1960
10,Atlético,Valencia,0:0,0,Empate,1959/1960
10,Barcelona,Real Sociedad,3:0,3,Barcelona,1959/1960
10,Valladolid,Granada,3:2,1,Valladolid,1959/1960
10,Sevilla,Betis,2:1,1,Sevilla,1959/1960
10,Osasuna,Espanyol,1:0,1,Osasuna,1959/1960
10,Las Palmas,Athletic,0:2,2,Athletic,1959/1960
10,Real Oviedo,Real Madrid,1:1,0,Empate,1959/1960
10,Elche,Zaragoza,5:0,5,Elche,1959/1960
11,Betis,Real Oviedo,3:0,3,Betis,1959/1960
11,Las Palmas,Granada,1:2,1,Granada,1959/1960
11,Zaragoza,Osasuna,1:1,0,Empate,1959/1960
11,Real Sociedad,Valladolid,4:2,2,Real Sociedad,1959/1960
11,Valencia,Sevilla,3:3,0,Empate,1959/1960
11,Espanyol,Atlético,2:0,2,Espanyol,1959/1960
