Jornada,Local,Visitante,Resultado,Differencia Gol,Ganador,Año
1,Athletic,Las Palmas,1:2,1,Las Palmas,1971/1972
1,Valencia,Espanyol,1:1,0,Empate,1971/1972
1,Celta,Atlético,2:1,1,Celta,1971/1972
1,Barcelona,Real Sociedad,3:0,3,Barcelona,1971/1972
1,Real Madrid,Betis,2:0,2,Real Madrid,1971/1972
1,CE Sabadell,Sporting,0:2,2,Sporting,1971/1972
1,Granada,Málaga,2:0,2,Granada,1971/1972
1,Deportivo,Córdoba,3:2,1,Deportivo,1971/1972
1,Sevilla,Burgos CF,2:0,2,Sevilla,1971/1972
2,Las Palmas,Valencia,1:1,0,Empate,1971/1972
2,Málaga,Deportivo,2:0,2,Málaga,1971/1972
2,Sporting,Athletic,3:2,1,Sporting,1971/1972
2,Atlético,CE Sabadell,5:0,5,Atlético,1971/1972
2,Real Sociedad,Granada,3:1,2,Real Sociedad,1971/1972
2,Betis,Celta,1:1,0,Empate,1971/1972
2,Córdoba,Sevilla,1:1,0,Empate,1971/1972
2,Espanyol,Barcelona,3:0,3,Espanyol,1971/1972
2,Burgos CF,Real Madrid,1:2,1,Real Madrid,1971/1972
3,Valencia,Sporting,1:0,1,Valencia,1971/1972
3,Real Madrid,Celta,3:0,3,Real Madrid,1971/1972
3,Granada,Espanyol,0:0,0,Empate,1971/1972
3,Burgos CF,Córdoba,1:0,1,Burgos CF,1971/1972
3,Sevilla,Málaga,1:2,1,Málaga,1971/1972
3,Barcelona,Las Palmas,1:2,1,Las Palmas,1971/1972
3,Athletic,Atlético,0:1,1,Atlético,1971/1972
3,Deportivo,Real Sociedad,1:0,1,Deportivo,1971/1972
3,CE Sabadell,Betis,2:1,1,CE Sabadell,1971/1972
4,Las Palmas,Granada,2:2,0,Empate,1971/1972
4,Atlético,Valencia,0:1,1,Valencia,1971/1972
4,Málaga,Burgos CF,4:1,3,Málaga,1971/1972
4,Celta,CE Sabadell,0:1,1,CE Sabadell,1971/1972
4,Real Sociedad,Sevilla,1:1,0,Empate,1971/1972
4,Betis,Athletic,1:0,1,Betis,1971/1972
4,Sporting,Barcelona,1:0,1,Sporting,1971/1972
4,Córdoba,Real Madrid,2:2,0,Empate,1971/1972
4,Espanyol,Deportivo,2:0,2,Espanyol,1971/1972
5,Barcelona,Atlético,0:0,0,Empate,1971/1972
5,Deportivo,Las Palmas,1:0,1,Deportivo,1971/1972
5,Real Madrid,CE Sabadell,2:0,2,Real Madrid,1971/1972
5,Córdoba,Málaga,0:0,0,Empate,1971/1972
5,Granada,Sporting,1:0,1,Granada,1971/1972
5,Sevilla,Espanyol,1:0,1,Sevilla,1971/1972
5,Burgos CF,Real Sociedad,3:1,2,Burgos CF,1971/1972
5,Valencia,Betis,2:0,2,Valencia,1971/1972
5,Athletic,Celta,4:0,4,Athletic,1971/1972
6,Las Palmas,Sevilla,1:1,0,Empate,1971/1972
6,CE Sabadell,Athletic,0:0,0,Empate,1971/1972
6,Espanyol,Burgos CF,1:1,0,Empate,1971/1972
6,Real Sociedad,Córdoba,2:1,1,Real Sociedad,1971/1972
6,Atlético,Granada,1:0,1,Atlético,1971/1972
6,Celta,Valencia,1:3,2,Valencia,1971/1972
6,Betis,Barcelona,0:0,0,Empate,1971/1972
6,Málaga,Real Madrid,1:1,0,Empate,1971/1972
6,Sporting,Deportivo,2:0,2,Sporting,1971/1972
7,Barcelona,Celta,1:0,1,Barcelona,1971/1972
7,Real Madrid,Athletic,1:0,1,Real Madrid,1971/1972
7,Deportivo,Atlético,1:1,0,Empate,1971/1972
7,Sevilla,Sporting,3:1,2,Sevilla,1971/1972
7,Burgos CF,Las Palmas,1:0,1,Burgos CF,1971/1972
7,Valencia,CE Sabadell,3:1,2,Valencia,1971/1972
7,Córdoba,Espanyol,3:1,2,Córdoba,1971/1972
7,Granada,Betis,0:0,0,Empate,1971/1972
7,Málaga,Real Sociedad,1:1,0,Empate,1971/1972
8,Atlético,Sevilla,0:2,2,Sevilla,1971/1972
8,Sporting,Burgos CF,0:0,0,Empate,1971/1972
8,Las Palmas,Córdoba,3:0,3,Las Palmas,1971/1972
8,Celta,Granada,0:0,0,Empate,1971/1972
8,Betis,Deportivo,2:0,2,Betis,1971/1972
8,Athletic,Valencia,1:1,0,Empate,1971/1972
8,CE Sabadell,Barcelona,0:0,0,Empate,1971/1972
8,Real Sociedad,Real Madrid,0:2,2,Real Madrid,1971/1972
8,Espanyol,Málaga,4:1,3,Espanyol,1971/1972
9,Burgos CF,Atlético,0:0,0,Empate,1971/1972
9,Málaga,Las Palmas,0:0,0,Empate,1971/1972
9,Granada,CE Sabadell,3:1,2,Granada,1971/1972
9,Córdoba,Sporting,0:1,1,Sporting,1971/1972
9,Barcelona,Athletic,0:1,1,Athletic,1971/1972
9,Sevilla,Betis,3:1,2,Sevilla,1971/1972
9,Real Madrid,Valencia,1:1,0,Empate,1971/1972
9,Real Sociedad,Espanyol,4:1,3,Real Sociedad,1971/1972
9,Deportivo,Celta,0:1,1,Celta,1971/1972
10,Las Palmas,Real Sociedad,0:0,0,Empate,1971/1972
10,Celta,Sevilla,4:1,3,Celta,1971/1972
10,Betis,Burgos CF,2:0,2,Betis,1971/1972
10,Atlético,Córdoba,2:2,0,Empate,1971/1972
10,Athletic,Granada,1:0,1,Athletic,1971/1972
10,CE Sabadell,Deportivo,4:1,3,CE Sabadell,1971/1972
10,Valencia,Barcelona,1:0,1,Valencia,1971/1972
10,Espanyol,Real Madrid,0:0,0,Empate,1971/1972
10,Sporting,Málaga,1:2,1,Málaga,1971/1972
11,Espanyol,Las Palmas,4:0,4,Espanyol,1971/1972
11,Málaga,Atlético,0:0,0,Empate,1971/1972
11,Sevilla,CE Sabadell,1:1,0,Empate,1971/1972
11,Real Sociedad,Sporting,3:1,2,Real Sociedad,1971/1972
11,Real Madrid,Barcelona,1:1,0,Empate,1971/1972
11,Granada,Valencia,1:0,1,Granada,1971/1972
11,Deportivo,Athletic,1:0,1,Deportivo,1971/1972
11,Burgos CF,Celta,3:2,1,Burgos CF,1971/1972
11,Córdoba,Betis,3:1,2,Córdoba,1971/1972
12,Las Palmas,Real Madrid,2:0,2,Las Palmas,1971/1972
12,Atlético,Real Sociedad,5:0,5,Atlético,1971/1972
