Jornada,Local,Visitante,Resultado,Differencia Gol,Ganador,Año
1,Real Racing,Espanyol,4:1,3,Real Racing,1929/1930
1,Barcelona,Real Sociedad,3:0,3,Barcelona,1929/1930
1,Real Unión,Arenas de Getxo,3:2,1,Real Unión,1929/1930
1,Atlético,CE Europa,5:3,2,Atlético,1929/1930
1,Athletic,Real Madrid,2:1,1,Athletic,1929/1930
2,Arenas de Getxo,Barcelona,1:3,2,Barcelona,1929/1930
2,CE Europa,Athletic,2:2,0,Empate,1929/1930
2,Espanyol,Atlético,1:0,1,Espanyol,1929/1930
2,Real Sociedad,Real Racing,7:0,7,Real Sociedad,1929/1930
2,Real Madrid,Real Unión,2:2,0,Empate,1929/1930
3,Atlético,Real Madrid,2:1,1,Atlético,1929/1930
3,Barcelona,CE Europa,2:1,1,Barcelona,1929/1930
3,Real Racing,Arenas de Getxo,2:5,3,Arenas de Getxo,1929/1930
3,Real Unión,Espanyol,3:3,0,Empate,1929/1930
3,Athletic,Real Sociedad,2:2,0,Empate,1929/1930
4,Real Sociedad,Real Madrid,4:0,4,Real Sociedad,1929/1930
4,Espanyol,Athletic,2:2,0,Empate,1929/1930
4,Barcelona,Real Racing,5:0,5,Barcelona,1929/1930
4,Atlético,Real Unión,3:3,0,Empate,1929/1930
4,Arenas de Getxo,CE Europa,2:3,1,CE Europa,1929/1930
5,CE Europa,Real Sociedad,3:2,1,CE Europa,1929/1930
5,Arenas de Getxo,Athletic,3:3,0,Empate,1929/1930
5,Real Unión,Barcelona,1:3,2,Barcelona,1929/1930
5,Real Racing,Atlético,3:2,1,Real Racing,1929/1930
5,Real Madrid,Espanyol,2:4,2,Espanyol,1929/1930
6,Barcelona,Atlético,4:2,2,Barcelona,1929/1930
6,Real Madrid,Real Racing,6:0,6,Real Madrid,1929/1930
6,Real Sociedad,Arenas de Getxo,4:4,0,Empate,1929/1930
6,Athletic,Real Unión,5:2,3,Athletic,1929/1930
6,Espanyol,CE Europa,1:2,1,CE Europa,1929/1930
7,Arenas de Getxo,Espanyol,2:0,2,Arenas de Getxo,1929/1930
7,Atlético,Real Sociedad,1:1,0,Empate,1929/1930
7,Barcelona,Athletic,1:1,0,Empate,1929/1930
7,CE Europa,Real Madrid,1:2,1,Real Madrid,1929/1930
7,Real Unión,Real Racing,6:3,3,Real Unión,1929/1930
8,Espanyol,Barcelona,4:0,4,Espanyol,1929/1930
8,Athletic,Atlético,6:1,5,Athletic,1929/1930
8,Real Madrid,Arenas de Getxo,5:2,3,Real Madrid,1929/1930
8,Real Sociedad,Real Unión,2:3,1,Real Unión,1929/1930
8,Real Racing,CE Europa,6:0,6,Real Racing,1929/1930
9,CE Europa,Real Unión,0:1,1,Real Unión,1929/1930
9,Barcelona,Real Madrid,1:4,3,Real Madrid,1929/1930
9,Real Sociedad,Espanyol,1:0,1,Real Sociedad,1929/1930
9,Athletic,Real Racing,4:0,4,Athletic,1929/1930
9,Atlético,Arenas de Getxo,1:3,2,Arenas de Getxo,1929/1930
10,Real Madrid,Athletic,2:3,1,Athletic,1929/1930
10,CE Europa,Atlético,2:0,2,CE Europa,1929/1930
10,Espanyol,Real Racing,3:0,3,Espanyol,1929/1930
10,Arenas de Getxo,Real Unión,7:2,5,Arenas de Getxo,1929/1930
10,Real Sociedad,Barcelona,1:2,1,Barcelona,1929/1930
11,Real Unión,Real Madrid,2:2,0,Empate,1929/1930
11,Real Racing,Real Sociedad,2:0,2,Real Racing,1929/1930
11,Barcelona,Arenas de Getxo,3:1,2,Barcelona,1929/1930
11,Athletic,CE Europa,3:0,3,Athletic,1929/1930
11,Atlético,Espanyol,2:0,2,Atlético,1929/1930
12,CE Europa,Barcelona,0:3,3,Barcelona,1929/1930
12,Espanyol,Real Unión,3:1,2,Espanyol,1929/1930
12,Arenas de Getxo,Real Racing,5:1,4,Arenas de Getxo,1929/1930
12,Real Sociedad,Athletic,1:7,6,Athletic,1929/1930
12,Real Madrid,Atlético,4:1,3,Real Madrid,1929/1930
13,Real Racing,Barcelona,2:1,1,Real Racing,1929/1930
13,Athletic,Espanyol,6:0,6,Athletic,1929/1930
13,Real Unión,Atlético,8:2,6,Real Unión,1929/1930
13,Real Madrid,Real Sociedad,1:1,0,Empate,1929/1930
13,CE Europa,Arenas de Getxo,1:2,1,Arenas de Getxo,1929/1930
14,Athletic,Arenas de Getxo,5:2,3,Athletic,1929/1930
14,Atlético,Real Racing,3:1,2,Atlético,1929/1930
14,Real Sociedad,CE Europa,2:0,2,Real Sociedad,1929/1930
14,Barcelona,Real Unión,4:2,2,Barcelona,1929/1930
14,Espanyol,Real Madrid,8:1,7,Espanyol,1929/1930
15,Real Racing,Real Madrid,2:0,2,Real Racing,1929/1930
15,Atlético,Barcelona,3:2,1,Atlético,1929/1930
15,Real Unión,Athletic,1:1,0,Empate,1929/1930
15,CE Europa,Espanyol,1:2,1,Espanyol,1929/1930
15,Arenas de Getxo,Real Sociedad,3:1,2,Arenas de Getxo,1929/1930
16,Espanyol,Arenas de Getxo,1:0,1,Espanyol,1929/1930
16,Real Racing,Real Unión,4:2,2,Real Racing,1929/1930
16,Real Sociedad,Atlético,2:0,2,Real Sociedad,1929/1930
16,Athletic,Barcelona,4:3,1,Athletic,1929/1930
16,Real Madrid,CE Europa,6:1,5,Real Madrid,1929/1930
17,CE Europa,Real Racing,5:0,5,CE Europa,1929/1930
17,Arenas de Getxo,Real Madrid,5:1,4,Arenas de Getxo,1929/1930
17,Atlético,Athletic,3:4,1,Athletic,1929/1930
17,Barcelona,Espanyol,5:4,1,Barcelona,1929/1930
17,Real Unión,Real Sociedad,3:2,1,Real Unión,1929/1930
18,Real Unión,CE Europa,3:4,1,CE Europa,1929/1930
18,Real Madrid,Barcelona,5:1,4,Real Madrid,1929/1930
18,Real Racing,Athletic,2:3,1,Athletic,1929/1930
18,Arenas de Getxo,Atlético,2:1,1,Arenas de Getxo,1929/1930
18,Espanyol,Real Sociedad,3:1,2,Espanyol,1929/1930
