Jornada,Local,Visitante,Resultado,Differencia Gol,Ganador,Año
1,Deportivo,Valencia,3:0,3,Deportivo,""
1,Sporting,Albacete,3:0,3,Sporting,""
1,Espanyol,UD Salamanca,3:1,2,Espanyol,""
1,CP Mérida,Betis,1:1,0,Empate,""
1,Athletic,Real Racing,4:0,4,Athletic,""
1,Atlético,Real Sociedad,4:1,3,Atlético,""
1,Sevilla,Tenerife,0:1,1,Tenerife,""
1,Celta,SD Compostela,0:1,1,SD Compostela,""
1,Zaragoza,Real Oviedo,1:0,1,Zaragoza,""
1,Rayo,Real Madrid,1:5,4,Real Madrid,""
1,Valladolid,Barcelona,0:2,2,Barcelona,""
1,Albacete,Sevilla,3:2,1,Albacete,""
2,Barcelona,CP Mérida,2:2,0,Empate,""
2,Real Madrid,Athletic,1:2,1,Athletic,""
2,Betis,Zaragoza,3:1,2,Betis,""
2,Real Sociedad,Sporting,2:0,2,Real Sociedad,""
2,Real Racing,Atlético,0:4,4,Atlético,""
2,Tenerife,Espanyol,1:4,3,Espanyol,""
2,UD Salamanca,Celta,0:1,1,Celta,""
2,SD Compostela,Deportivo,4:0,4,SD Compostela,""
2,Real Oviedo,Rayo,2:0,2,Real Oviedo,""
2,Valencia,Valladolid,1:0,1,Valencia,""
2,Athletic,Atlético,0:2,2,Atlético,""
2,Valladolid,SD Compostela,0:0,0,Empate,""
3,CP Mérida,Valencia,0:2,2,Valencia,""
3,Sporting,Real Racing,4:2,2,Sporting,""
3,Sevilla,Real Sociedad,2:1,1,Sevilla,""
3,Espanyol,Albacete,1:0,1,Espanyol,""
3,Celta,Tenerife,2:2,0,Empate,""
3,Zaragoza,Barcelona,0:3,3,Barcelona,""
3,Rayo,Betis,1:2,1,Betis,""
3,Real Madrid,Real Oviedo,2:3,1,Real Oviedo,""
3,Deportivo,UD Salamanca,2:0,2,Deportivo,""
3,Real Racing,Sevilla,1:1,0,Empate,""
3,Barcelona,Rayo,2:0,2,Barcelona,""
3,Betis,Real Madrid,0:0,0,Empate,""
4,UD Salamanca,Valladolid,0:0,0,Empate,""
4,Real Sociedad,Espanyol,0:1,1,Espanyol,""
4,Atlético,Sporting,2:0,2,Atlético,""
4,Albacete,Celta,4:0,4,Albacete,""
4,Tenerife,Deportivo,1:1,0,Empate,""
4,Valencia,Zaragoza,0:0,0,Empate,""
4,Real Oviedo,Athletic,0:0,0,Empate,""
4,SD Compostela,CP Mérida,1:0,1,SD Compostela,""
4,Real Madrid,Barcelona,1:1,0,Empate,""
4,Athletic,Sporting,2:1,1,Athletic,""
4,Zaragoza,SD Compostela,1:0,1,Zaragoza,""
4,Sevilla,Atlético,0:0,0,Empate,""
5,Espanyol,Real Racing,1:0,1,Espanyol,""
5,Celta,Real Sociedad,1:1,0,Empate,""
5,Deportivo,Albacete,5:0,5,Deportivo,""
5,CP Mérida,UD Salamanca,0:0,0,Empate,""
5,Rayo,Valencia,3:2,1,Rayo,""
5,Real Oviedo,Betis,0:1,1,Betis,""
5,Valladolid,Tenerife,3:0,3,Valladolid,""
5,UD Salamanca,Zaragoza,0:1,1,Zaragoza,""
5,Sporting,Sevilla,3:1,2,Sporting,""
5,Real Racing,Celta,2:1,1,Real Racing,""
5,Real Sociedad,Deportivo,2:1,1,Real Sociedad,""
5,SD Compostela,Rayo,1:0,1,SD Compostela,""
6,Valencia,Real Madrid,4:3,1,Valencia,""
6,Barcelona,Real Oviedo,4:1,3,Barcelona,""
6,Betis,Athletic,0:0,0,Empate,""
6,Albacete,Valladolid,4:2,2,Albacete,""
6,Tenerife,CP Mérida,1:0,1,Tenerife,""
6,Atlético,Espanyol,2:1,1,Atlético,""
6,Betis,Barcelona,1:5,4,Barcelona,""
6,Zaragoza,Tenerife,0:2,2,Tenerife,""
6,Athletic,Sevilla,1:1,0,Empate,""
6,Espanyol,Sporting,0:0,0,Empate,""
6,Celta,Atlético,0:3,3,Atlético,""
6,Deportivo,Real Racing,2:3,1,Real Racing,""
7,CP Mérida,Albacete,1:1,0,Empate,""
7,Rayo,UD Salamanca,1:4,3,UD Salamanca,""
7,Real Madrid,SD Compostela,2:1,1,Real Madrid,""
7,Real Oviedo,Valencia,0:1,1,Valencia,""
7,Valladolid,Real Sociedad,3:0,3,Valladolid,""
7,Sevilla,Espanyol,0:3,3,Espanyol,""
7,Atlético,Deportivo,1:0,1,Atlético,""
7,Valencia,Betis,1:1,0,Empate,""
7,Barcelona,Athletic,4:1,3,Barcelona,""
7,SD Compostela,Real Oviedo,4:1,3,SD Compostela,""
7,Real Racing,Valladolid,0:0,0,Empate,""
7,Real Sociedad,CP Mérida,1:2,1,CP Mérida,""
8,Albacete,Zaragoza,0:1,1,Zaragoza,""
8,Sporting,Celta,1:0,1,Sporting,""
8,Tenerife,Rayo,2:2,0,Empate,""
8,UD Salamanca,Real Madrid,0:2,2,Real Madrid,""
8,Valladolid,Atlético,0:1,1,Atlético,""
8,Real Madrid,Tenerife,2:0,2,Real Madrid,""
8,Athletic,Espanyol,0:0,0,Empate,""
