Jornada,Local,Visitante,Resultado,Differencia Gol,Ganador,Año
1,Atlético,CE Sabadell,2:0,2,Atlético,1967/1968
1,Athletic,Córdoba,3:0,3,Athletic,1967/1968
1,Valencia,Betis,2:1,1,Valencia,1967/1968
1,Sevilla,Real Madrid,0:2,2,Real Madrid,1967/1968
1,Zaragoza,Barcelona,3:2,1,Zaragoza,1967/1968
1,Las Palmas,Málaga,1:1,0,Empate,1967/1968
1,Espanyol,Elche,1:1,0,Empate,1967/1968
1,Real Sociedad,Pontevedra CF,1:0,1,Real Sociedad,1967/1968
2,Elche,Athletic,1:0,1,Elche,1967/1968
2,Real Madrid,Real Sociedad,9:1,8,Real Madrid,1967/1968
2,Córdoba,Atlético,0:1,1,Atlético,1967/1968
2,Betis,Las Palmas,4:2,2,Betis,1967/1968
2,Málaga,Sevilla,0:0,0,Empate,1967/1968
2,Barcelona,Espanyol,1:0,1,Barcelona,1967/1968
2,CE Sabadell,Valencia,2:0,2,CE Sabadell,1967/1968
2,Pontevedra CF,Zaragoza,1:0,1,Pontevedra CF,1967/1968
3,Valencia,Córdoba,5:0,5,Valencia,1967/1968
3,Athletic,Barcelona,0:0,0,Empate,1967/1968
3,Espanyol,Pontevedra CF,4:1,3,Espanyol,1967/1968
3,Betis,CE Sabadell,2:3,1,CE Sabadell,1967/1968
3,Atlético,Elche,2:1,1,Atlético,1967/1968
3,Las Palmas,Sevilla,4:1,3,Las Palmas,1967/1968
3,Zaragoza,Real Madrid,0:0,0,Empate,1967/1968
3,Real Sociedad,Málaga,0:0,0,Empate,1967/1968
4,Real Madrid,Espanyol,2:2,0,Empate,1967/1968
4,Sevilla,Real Sociedad,0:0,0,Empate,1967/1968
4,Málaga,Zaragoza,2:2,0,Empate,1967/1968
4,Córdoba,Betis,3:0,3,Córdoba,1967/1968
4,Elche,Valencia,1:0,1,Elche,1967/1968
4,Pontevedra CF,Athletic,1:1,0,Empate,1967/1968
4,Barcelona,Atlético,1:1,0,Empate,1967/1968
4,Las Palmas,CE Sabadell,1:0,1,Las Palmas,1967/1968
5,Zaragoza,Sevilla,1:1,0,Empate,1967/1968
5,Atlético,Pontevedra CF,3:0,3,Atlético,1967/1968
5,CE Sabadell,Córdoba,2:1,1,CE Sabadell,1967/1968
5,Betis,Elche,1:0,1,Betis,1967/1968
5,Real Sociedad,Las Palmas,0:1,1,Las Palmas,1967/1968
5,Valencia,Barcelona,1:2,1,Barcelona,1967/1968
5,Athletic,Real Madrid,1:2,1,Real Madrid,1967/1968
5,Espanyol,Málaga,4:1,3,Espanyol,1967/1968
6,Pontevedra CF,Valencia,1:0,1,Pontevedra CF,1967/1968
6,Córdoba,Las Palmas,2:1,1,Córdoba,1967/1968
6,Barcelona,Betis,2:1,1,Barcelona,1967/1968
6,Elche,CE Sabadell,1:1,0,Empate,1967/1968
6,Sevilla,Espanyol,3:0,3,Sevilla,1967/1968
6,Málaga,Athletic,2:2,0,Empate,1967/1968
6,Real Sociedad,Zaragoza,2:0,2,Real Sociedad,1967/1968
6,Real Madrid,Atlético,0:0,0,Empate,1967/1968
7,Espanyol,Real Sociedad,2:0,2,Espanyol,1967/1968
7,Betis,Pontevedra CF,0:1,1,Pontevedra CF,1967/1968
7,Córdoba,Elche,3:0,3,Córdoba,1967/1968
7,Las Palmas,Zaragoza,2:1,1,Las Palmas,1967/1968
7,Athletic,Sevilla,2:0,2,Athletic,1967/1968
7,CE Sabadell,Barcelona,1:1,0,Empate,1967/1968
7,Valencia,Real Madrid,2:0,2,Valencia,1967/1968
7,Atlético,Málaga,4:2,2,Atlético,1967/1968
8,Zaragoza,Espanyol,4:2,2,Zaragoza,1967/1968
8,Real Madrid,Betis,3:0,3,Real Madrid,1967/1968
8,Sevilla,Atlético,0:2,2,Atlético,1967/1968
8,Málaga,Valencia,0:0,0,Empate,1967/1968
8,Barcelona,Córdoba,3:2,1,Barcelona,1967/1968
8,Pontevedra CF,CE Sabadell,0:0,0,Empate,1967/1968
8,Real Sociedad,Athletic,1:1,0,Empate,1967/1968
8,Las Palmas,Elche,3:1,2,Las Palmas,1967/1968
9,Atlético,Real Sociedad,2:1,1,Atlético,1967/1968
9,Córdoba,Pontevedra CF,3:1,2,Córdoba,1967/1968
9,Betis,Málaga,2:0,2,Betis,1967/1968
9,Athletic,Zaragoza,2:0,2,Athletic,1967/1968
9,Valencia,Sevilla,4:2,2,Valencia,1967/1968
9,Elche,Barcelona,0:2,2,Barcelona,1967/1968
9,CE Sabadell,Real Madrid,2:4,2,Real Madrid,1967/1968
9,Espanyol,Las Palmas,3:2,1,Espanyol,1967/1968
10,Real Madrid,Córdoba,4:0,4,Real Madrid,1967/1968
10,Real Sociedad,Valencia,2:0,2,Real Sociedad,1967/1968
10,Zaragoza,Atlético,1:1,0,Empate,1967/1968
10,Málaga,CE Sabadell,1:3,2,CE Sabadell,1967/1968
10,Pontevedra CF,Elche,1:0,1,Pontevedra CF,1967/1968
10,Espanyol,Athletic,1:1,0,Empate,1967/1968
10,Las Palmas,Barcelona,4:1,3,Las Palmas,1967/1968
10,Sevilla,Betis,2:3,1,Betis,1967/1968
11,CE Sabadell,Sevilla,2:2,0,Empate,1967/1968
11,Barcelona,Pontevedra CF,4:0,4,Barcelona,1967/1968
11,Córdoba,Málaga,2:3,1,Málaga,1967/1968
11,Betis,Real Sociedad,4:1,3,Betis,1967/1968
11,Atlético,Espanyol,0:0,0,Empate,1967/1968
11,Las Palmas,Athletic,1:0,1,Las Palmas,1967/1968
11,Elche,Real Madrid,0:0,0,Empate,1967/1968
11,Valencia,Zaragoza,3:1,2,Valencia,1967/1968
12,Espanyol,Valencia,4:5,1,Valencia,1967/1968
12,Sevilla,Córdoba,1:0,1,Sevilla,1967/1968
12,Real Sociedad,CE Sabadell,6:0,6,Real Sociedad,1967/1968
12,Málaga,Elche,2:0,2,Málaga,1967/1968
12,Athletic,Atlético,6:1,5,Athletic,1967/1968
12,Pontevedra CF,Las Palmas,3:0,3,Pontevedra CF,1967/1968
12,Real Madrid,Barcelona,1:1,0,Empate,1967/1968
12,Zaragoza,Betis,1:0,1,Zaragoza,1967/1968
13,Elche,Sevilla,4:2,2,Elche,1967/1968
13,Barcelona,Málaga,1:0,1,Barcelona,1967/1968
13,Atlético,Las Palmas,1:2,1,Las Palmas,1967/1968
13,Córdoba,Real Sociedad,2:0,2,Córdoba,1967/1968
13,Betis,Espanyol,1:4,3,Espanyol,1967/1968
13,Valencia,Athletic,3:3,0,Empate,1967/1968
13,Pontevedra CF,Real Madrid,3:0,3,Pontevedra CF,1967/1968
13,CE Sabadell,Zaragoza,1:0,1,CE Sabadell,1967/1968
14,Las Palmas,Real Madrid,2:2,0,Empate,1967/1968
14,Sevilla,Barcelona,2:1,1,Sevilla,1967/1968
14,Zaragoza,Córdoba,3:0,3,Zaragoza,1967/1968
14,Málaga,Pontevedra CF,3:1,2,Málaga,1967/1968
14,Espanyol,CE Sabadell,3:1,2,Espanyol,1967/1968
14,Real Sociedad,Elche,5:0,5,Real Sociedad,1967/1968
14,Atlético,Valencia,0:0,0,Empate,1967/1968
14,Athletic,Betis,8:0,8,Athletic,1967/1968
15,Real Madrid,Málaga,3:0,3,Real Madrid,1967/1968
