Jornada,Local,Visitante,Resultado,Differencia Gol,Ganador,Año
1,Sporting,Espanyol,1:1,0,Empate,1947/1948
1,Real Sociedad,Valencia,0:2,2,Valencia,1947/1948
1,Sevilla,Atlético,1:1,0,Empate,1947/1948
1,Barcelona,Real Oviedo,2:1,1,Barcelona,1947/1948
1,Real Madrid,CD Alcoyano,2:2,0,Empate,1947/1948
1,CE Sabadell,Gimnàstic de Tarragona,2:2,0,Empate,1947/1948
1,Celta,Athletic,5:1,4,Celta,1947/1948
2,Real Oviedo,Celta,1:2,1,Celta,1947/1948
2,Valencia,Sporting,3:1,2,Valencia,1947/1948
2,Athletic,Real Sociedad,1:3,2,Real Sociedad,1947/1948
2,Espanyol,Sevilla,0:1,1,Sevilla,1947/1948
2,CD Alcoyano,Barcelona,0:2,2,Barcelona,1947/1948
2,Gimnàstic de Tarragona,Real Madrid,3:3,0,Empate,1947/1948
2,Atlético,CE Sabadell,8:0,8,Atlético,1947/1948
3,CE Sabadell,Real Madrid,1:1,0,Empate,1947/1948
3,Sporting,Athletic,1:2,1,Athletic,1947/1948
3,Atlético,Espanyol,5:2,3,Atlético,1947/1948
3,Sevilla,Valencia,3:0,3,Sevilla,1947/1948
3,Real Sociedad,Real Oviedo,1:2,1,Real Oviedo,1947/1948
3,Celta,CD Alcoyano,2:0,2,Celta,1947/1948
3,Barcelona,Gimnàstic de Tarragona,1:1,0,Empate,1947/1948
4,Real Madrid,Barcelona,1:1,0,Empate,1947/1948
4,Gimnàstic de Tarragona,Celta,2:2,0,Empate,1947/1948
4,Espanyol,CE Sabadell,2:3,1,CE Sabadell,1947/1948
4,Real Oviedo,Sporting,0:0,0,Empate,1947/1948
4,Valencia,Atlético,3:1,2,Valencia,1947/1948
4,CD Alcoyano,Real Sociedad,3:1,2,CD Alcoyano,1947/1948
4,Athletic,Sevilla,2:2,0,Empate,1947/1948
5,Real Sociedad,Gimnàstic de Tarragona,3:1,2,Real Sociedad,1947/1948
5,Celta,Real Madrid,4:1,3,Celta,1947/1948
5,CE Sabadell,Barcelona,2:4,2,Barcelona,1947/1948
5,Atlético,Athletic,1:1,0,Empate,1947/1948
5,Espanyol,Valencia,1:3,2,Valencia,1947/1948
5,Sevilla,Real Oviedo,5:1,4,Sevilla,1947/1948
5,Sporting,CD Alcoyano,1:1,0,Empate,1947/1948
6,Valencia,CE Sabadell,4:1,3,Valencia,1947/1948
6,Gimnàstic de Tarragona,Sporting,5:0,5,Gimnàstic de Tarragona,1947/1948
6,Barcelona,Celta,1:1,0,Empate,1947/1948
6,Real Madrid,Real Sociedad,3:0,3,Real Madrid,1947/1948
6,CD Alcoyano,Sevilla,1:1,0,Empate,1947/1948
6,Athletic,Espanyol,1:2,1,Espanyol,1947/1948
6,Real Oviedo,Atlético,2:2,0,Empate,1947/1948
7,Atlético,CD Alcoyano,3:2,1,Atlético,1947/1948
7,Valencia,Athletic,3:0,3,Valencia,1947/1948
7,Sevilla,Gimnàstic de Tarragona,3:1,2,Sevilla,1947/1948
7,Sporting,Real Madrid,2:0,2,Sporting,1947/1948
7,Espanyol,Real Oviedo,3:1,2,Espanyol,1947/1948
7,Real Sociedad,Barcelona,0:0,0,Empate,1947/1948
7,CE Sabadell,Celta,2:0,2,CE Sabadell,1947/1948
8,Barcelona,Sporting,4:0,4,Barcelona,1947/1948
8,Athletic,CE Sabadell,3:1,2,Athletic,1947/1948
8,Celta,Real Sociedad,2:0,2,Celta,1947/1948
8,Real Madrid,Sevilla,2:1,1,Real Madrid,1947/1948
8,Gimnàstic de Tarragona,Atlético,2:1,1,Gimnàstic de Tarragona,1947/1948
