Año,Equipo,ELO
2009/2010,Real Oviedo,1232.85
2009/2010,Málaga,1416.89
2009/2010,Elche,749.5
2009/2010,CD Castellón,930.32
2009/2010,Rayo,1203.65
2009/2010,Tenerife,1328.42
2009/2010,Real Burgos,954.99
2009/2010,Deportivo,1357.86
2009/2010,Albacete,1226.36
2009/2010,Real Racing,1390.24
2009/2010,UE Lleida,1072.63
2009/2010,SD Compostela,1243.16
2009/2010,CP Mérida,1144.72
2009/2010,UD Salamanca,1082.16
2009/2010,Hércules CF,1067.42
2009/2010,CF Extremadura,1194.92
2009/2010,Alavés,1296.05
2009/2010,Villarreal,1512.7
2009/2010,Numancia,1279.12
2009/2010,RC Recreativo,1295.07
2009/2010,Getafe,1539.69
2009/2010,Levante,1257.85
2009/2010,Gimnàstic de Tarragona,1275.87
2009/2010,Almería,1400.36
2009/2010,Xerez CD,1414.14
2010/2011,Sporting,1421.91
2010/2011,Athletic,1480.73
2010/2011,Valencia,1566.5
2010/2011,Espanyol,1379.38
2010/2011,Cádiz CF,1205.71
2010/2011,Las Palmas,1185.83
2010/2011,Zaragoza,1419.53
2010/2011,Sevilla,1495.89
2010/2011,Osasuna,1450.57
2010/2011,Atlético,1476.15
2010/2011,Betis,1376.84
2010/2011,CE Sabadell,878.42
2010/2011,Real Sociedad,1340.73
2010/2011,Real Madrid,1798.48
2010/2011,Real Murcia,1188.98
2010/2011,Valladolid,1348.33
2010/2011,Barcelona,1846.73
2010/2011,Celta,1308.6
2010/2011,CD Logroñés,945.9
2010/2011,Mallorca,1341.86
2010/2011,Real Oviedo,1207.85
2010/2011,Málaga,1479.43
2010/2011,Elche,724.5
2010/2011,CD Castellón,905.32
2010/2011,Rayo,1178.65
2010/2011,Tenerife,1303.42
2010/2011,Real Burgos,929.99
2010/2011,Deportivo,1391.73
2010/2011,Albacete,1201.36
2010/2011,Real Racing,1395.46
2010/2011,UE Lleida,1047.63
2010/2011,SD Compostela,1218.16
2010/2011,CP Mérida,1119.72
2010/2011,UD Salamanca,1057.16
2010/2011,Hércules CF,1255.2
2010/2011,CF Extremadura,1169.92
2010/2011,Alavés,1271.05
2010/2011,Villarreal,1462.37
2010/2011,Numancia,1254.12
2010/2011,RC Recreativo,1270.07
2010/2011,Getafe,1388.33
2010/2011,Levante,1390.47
2010/2011,Gimnàstic de Tarragona,1250.87
2010/2011,Almería,1306.01
2010/2011,Xerez CD,1389.14
2011/2012,Sporting,1370.61
2011/2012,Athletic,1427.26
2011/2012,Valencia,1505.09
2011/2012,Espanyol,1389.21
2011/2012,Cádiz CF,1180.71
2011/2012,Las Palmas,1160.83
2011/2012,Zaragoza,1413.11
2011/2012,Sevilla,1464.88
2011/2012,Osasuna,1440.82
2011/2012,Atlético,1506.37
2011/2012,Betis,1405.66
2011/2012,CE Sabadell,853.42
2011/2012,Real Sociedad,1429.1
2011/2012,Real Madrid,1870.68
2011/2012,Real Murcia,1163.98
2011/2012,Valladolid,1323.33
2011/2012,Barcelona,1841.2
2011/2012,Celta,1283.6
2011/2012,CD Logroñés,920.9
2011/2012,Mallorca,1462.25
2011/2012,Real Oviedo,1182.85
2011/2012,Málaga,1486.83
2011/2012,Elche,699.5
2011/2012,CD Castellón,880.32
2011/2012,Rayo,1325.85
2011/2012,Tenerife,1278.42
2011/2012,Real Burgos,904.99
2011/2012,Deportivo,1366.73
2011/2012,Albacete,1176.36
2011/2012,Real Racing,1241.52
2011/2012,UE Lleida,1022.63
2011/2012,SD Compostela,1193.16
2011/2012,CP Mérida,1094.72
2011/2012,UD Salamanca,1032.16
2011/2012,Hércules CF,1230.2
2011/2012,CF Extremadura,1144.92
2011/2012,Alavés,1246.05
2011/2012,Villarreal,1378.71
2011/2012,Numancia,1229.12
2011/2012,RC Recreativo,1245.07
2011/2012,Getafe,1397.89
2011/2012,Levante,1468.55
2011/2012,Gimnàstic de Tarragona,1225.87
2011/2012,Almería,1281.01
2011/2012,Xerez CD,1364.14
2011/2012,Granada,1364.42
2012/2013,Sporting,1345.61
2012/2013,Athletic,1393.11
2012/2013,Valencia,1566.05
2012/2013,Espanyol,1402.2
2012/2013,Cádiz CF,1155.71
2012/2013,Las Palmas,1135.83
2012/2013,Zaragoza,1309.28
2012/2013,Sevilla,1467.92
2012/2013,Osasuna,1372.6
2012/2013,Atlético,1581.57
2012/2013,Betis,1457.1
2012/2013,CE Sabadell,828.42
2012/2013,Real Sociedad,1591.97
2012/2013,Real Madrid,1810.22
2012/2013,Real Murcia,1138.98
2012/2013,Valladolid,1333.14
2012/2013,Barcelona,1864.12
2012/2013,Celta,1335.05
2012/2013,CD Logroñés,895.9
2012/2013,Mallorca,1356.03
2012/2013,Real Oviedo,1157.85
2012/2013,Málaga,1457.46
2012/2013,Elche,674.5
2012/2013,CD Castellón,855.32
2012/2013,Rayo,1382.19
2012/2013,Tenerife,1253.42
2012/2013,Real Burgos,879.99
2012/2013,Deportivo,1362.21
2012/2013,Albacete,1151.36
2012/2013,Real Racing,1216.52
2012/2013,UE Lleida,997.63
2012/2013,SD Compostela,1168.16
2012/2013,CP Mérida,1069.72
2012/2013,UD Salamanca,1007.16
2012/2013,Hércules CF,1205.2
2012/2013,CF Extremadura,1119.92
2012/2013,Alavés,1221.05
2012/2013,Villarreal,1353.71
2012/2013,Numancia,1204.12
2012/2013,RC Recreativo,1220.07
2012/2013,Getafe,1367.21
2012/2013,Levante,1360.0
2012/2013,Gimnàstic de Tarragona,1200.87
2012/2013,Almería,1256.01
2012/2013,Xerez CD,1339.14
2012/2013,Granada,1403.4
2013/2014,Sporting,1320.61
2013/2014,Athletic,1562.25
2013/2014,Valencia,1423.12
2013/2014,Espanyol,1323.76
2013/2014,Cádiz CF,1130.71
2013/2014,Las Palmas,1110.83
2013/2014,Zaragoza,1284.28
2013/2014,Sevilla,1521.76
2013/2014,Osasuna,1321.14
2013/2014,Atlético,1643.85
2013/2014,Betis,1254.29
2013/2014,CE Sabadell,803.42
2013/2014,Real Sociedad,1488.47
2013/2014,Real Madrid,1739.84
2013/2014,Real Murcia,1113.98
2013/2014,Valladolid,1295.27
2013/2014,Barcelona,1755.32
2013/2014,Celta,1430.69
2013/2014,CD Logroñés,870.9
2013/2014,Mallorca,1331.03
2013/2014,Real Oviedo,1132.85
2013/2014,Málaga,1395.48
2013/2014,Elche,1089.96
2013/2014,CD Castellón,830.32
2013/2014,Rayo,1345.49
2013/2014,Tenerife,1228.42
2013/2014,Real Burgos,854.99
2013/2014,Deportivo,1337.21
2013/2014,Albacete,1126.36
2013/2014,Real Racing,1191.52
2013/2014,UE Lleida,972.63
2013/2014,SD Compostela,1143.16
2013/2014,CP Mérida,1044.72
2013/2014,UD Salamanca,982.16
2013/2014,Hércules CF,1180.2
2013/2014,CF Extremadura,1094.92
2013/2014,Alavés,1196.05
2013/2014,Villarreal,1459.14
2013/2014,Numancia,1179.12
2013/2014,RC Recreativo,1195.07
2013/2014,Getafe,1365.12
2013/2014,Levante,1397.84
2013/2014,Gimnàstic de Tarragona,1175.87
2013/2014,Almería,1316.48
2013/2014,Xerez CD,1314.14
2013/2014,Granada,1300.26
2014/2015,Sporting,1295.61
2014/2015,Athletic,1532.24
2014/2015,Valencia,1607.0
2014/2015,Espanyol,1431.51
2014/2015,Cádiz CF,1105.71
2014/2015,Las Palmas,1085.83
2014/2015,Zaragoza,1259.28
2014/2015,Sevilla,1608.39
2014/2015,Osasuna,1296.14
2014/2015,Atlético,1648.19
2014/2015,Betis,1229.29
2014/2015,CE Sabadell,778.42
2014/2015,Real Sociedad,1427.04
2014/2015,Real Madrid,1767.95
2014/2015,Real Murcia,1088.98
2014/2015,Valladolid,1270.27
2014/2015,Barcelona,1806.44
2014/2015,Celta,1479.69
2014/2015,CD Logroñés,845.9
2014/2015,Mallorca,1306.03
2014/2015,Real Oviedo,1107.85
2014/2015,Málaga,1363.45
2014/2015,Elche,1316.32
2014/2015,CD Castellón,805.32
2014/2015,Rayo,1372.43
2014/2015,Tenerife,1203.42
2014/2015,Real Burgos,829.99
2014/2015,Deportivo,1344.58
2014/2015,Albacete,1101.36
2014/2015,Real Racing,1166.52
2014/2015,UE Lleida,947.63
2014/2015,SD Compostela,1118.16
2014/2015,CP Mérida,1019.72
2014/2015,UD Salamanca,957.16
2014/2015,Hércules CF,1155.2
2014/2015,CF Extremadura,1069.92
2014/2015,Alavés,1171.05
2014/2015,Villarreal,1449.95
2014/2015,Numancia,1154.12
2014/2015,RC Recreativo,1170.07
2014/2015,Getafe,1281.85
2014/2015,Levante,1328.46
2014/2015,Gimnàstic de Tarragona,1150.87
2014/2015,Almería,1285.2
2014/2015,Xerez CD,1289.14
2014/2015,Granada,1336.06
2014/2015,Eibar,1310.93
2014/2015,Córdoba,1198.36
2015/2016,Sporting,1351.0
2015/2016,Athletic,1538.83
2015/2016,Valencia,1410.79
2015/2016,Espanyol,1336.13
2015/2016,Cádiz CF,1080.71
2015/2016,Las Palmas,1335.58
2015/2016,Zaragoza,1234.28
2015/2016,Sevilla,1414.71
2015/2016,Osasuna,1271.14
2015/2016,Atlético,1707.99
2015/2016,Betis,1352.4
2015/2016,CE Sabadell,753.42
2015/2016,Real Sociedad,1424.95
2015/2016,Real Madrid,1795.4
2015/2016,Real Murcia,1063.98
2015/2016,Valladolid,1245.27
2015/2016,Barcelona,1782.41
2015/2016,Celta,1449.04
2015/2016,CD Logroñés,820.9
2015/2016,Mallorca,1281.03
2015/2016,Real Oviedo,1082.85
2015/2016,Málaga,1437.26
2015/2016,Elche,1291.32
2015/2016,CD Castellón,780.32
2015/2016,Rayo,1369.78
2015/2016,Tenerife,1178.42
2015/2016,Real Burgos,804.99
2015/2016,Deportivo,1349.05
2015/2016,Albacete,1076.36
2015/2016,Real Racing,1141.52
2015/2016,UE Lleida,922.63
2015/2016,SD Compostela,1093.16
2015/2016,CP Mérida,994.72
2015/2016,UD Salamanca,932.16
2015/2016,Hércules CF,1130.2
2015/2016,CF Extremadura,1044.92
2015/2016,Alavés,1146.05
2015/2016,Villarreal,1446.39
2015/2016,Numancia,1129.12
2015/2016,RC Recreativo,1145.07
2015/2016,Getafe,1278.59
2015/2016,Levante,1265.75
2015/2016,Gimnàstic de Tarragona,1125.87
2015/2016,Almería,1260.2
2015/2016,Xerez CD,1264.14
2015/2016,Granada,1369.77
2015/2016,Eibar,1291.07
2015/2016,Córdoba,1173.36
2016/2017,Sporting,1306.84
2016/2017,Athletic,1514.51
2016/2017,Valencia,1396.7
2016/2017,Espanyol,1428.54
2016/2017,Cádiz CF,1055.71
2016/2017,Las Palmas,1267.04
2016/2017,Zaragoza,1209.28
2016/2017,Sevilla,1510.63
2016/2017,Osasuna,1189.5
2016/2017,Atlético,1672.48
2016/2017,Betis,1297.7
2016/2017,CE Sabadell,728.42
2016/2017,Real Sociedad,1470.47
2016/2017,Real Madrid,1806.56
2016/2017,Real Murcia,1038.98
2016/2017,Valladolid,1220.27
2016/2017,Barcelona,1794.63
2016/2017,Celta,1344.14
2016/2017,CD Logroñés,795.9
2016/2017,Mallorca,1256.03
2016/2017,Real Oviedo,1057.85
2016/2017,Málaga,1437.68
2016/2017,Elche,1266.32
2016/2017,CD Castellón,755.32
2016/2017,Rayo,1344.78
2016/2017,Tenerife,1153.42
2016/2017,Real Burgos,779.99
2016/2017,Deportivo,1332.23
2016/2017,Albacete,1051.36
2016/2017,Real Racing,1116.52
2016/2017,UE Lleida,897.63
2016/2017,SD Compostela,1068.16
2016/2017,CP Mérida,969.72
2016/2017,UD Salamanca,907.16
2016/2017,Hércules CF,1105.2
2016/2017,CF Extremadura,1019.92
2016/2017,Alavés,1426.58
2016/2017,Villarreal,1542.71
2016/2017,Numancia,1104.12
2016/2017,RC Recreativo,1120.07
2016/2017,Getafe,1253.59
2016/2017,Levante,1240.75
2016/2017,Gimnàstic de Tarragona,1100.87
2016/2017,Almería,1235.2
2016/2017,Xerez CD,1239.14
2016/2017,Granada,1177.88
2016/2017,Eibar,1423.32
2016/2017,Córdoba,1148.36
2016/2017,Leganés,1369.82
2017/2018,Sporting,1281.84
2017/2018,Athletic,1397.5
2017/2018,Valencia,1546.81
2017/2018,Espanyol,1447.45
2017/2018,Cádiz CF,1030.71
2017/2018,Las Palmas,1181.49
2017/2018,Zaragoza,1184.28
2017/2018,Sevilla,1446.89
2017/2018,Osasuna,1164.5
2017/2018,Atlético,1624.35
2017/2018,Betis,1454.15
2017/2018,CE Sabadell,703.42
2017/2018,Real Sociedad,1477.45
2017/2018,Real Madrid,1720.48
2017/2018,Real Murcia,1013.98
2017/2018,Valladolid,1195.27
2017/2018,Barcelona,1809.64
2017/2018,Celta,1430.04
2017/2018,CD Logroñés,770.9
2017/2018,Mallorca,1231.03
2017/2018,Real Oviedo,1032.85
2017/2018,Málaga,1237.46
2017/2018,Elche,1241.32
2017/2018,CD Castellón,730.32
2017/2018,Rayo,1319.78
2017/2018,Tenerife,1128.42
2017/2018,Real Burgos,754.99
2017/2018,Deportivo,1275.84
2017/2018,Albacete,1026.36
2017/2018,Real Racing,1091.52
2017/2018,UE Lleida,872.63
2017/2018,SD Compostela,1043.16
2017/2018,CP Mérida,944.72
2017/2018,UD Salamanca,882.16
2017/2018,Hércules CF,1080.2
2017/2018,CF Extremadura,994.92
2017/2018,Alavés,1426.89
2017/2018,Villarreal,1519.65
2017/2018,Numancia,1079.12
2017/2018,RC Recreativo,1095.07
2017/2018,Getafe,1442.01
2017/2018,Levante,1402.16
2017/2018,Gimnàstic de Tarragona,1075.87
2017/2018,Almería,1210.2
2017/2018,Xerez CD,1214.14
2017/2018,Granada,1152.88
2017/2018,Eibar,1451.96
2017/2018,Córdoba,1123.36
2017/2018,Leganés,1344.9
2017/2018,Girona,1392.96
2018/2019,Sporting,1256.84
2018/2019,Athletic,1466.79
2018/2019,Valencia,1578.63
2018/2019,Espanyol,1515.38
2018/2019,Cádiz CF,1005.71
2018/2019,Las Palmas,1156.49
2018/2019,Zaragoza,1159.28
2018/2019,Sevilla,1493.15
2018/2019,Osasuna,1139.5
2018/2019,Atlético,1614.12
2018/2019,Betis,1419.04
2018/2019,CE Sabadell,678.42
2018/2019,Real Sociedad,1460.58
2018/2019,Real Madrid,1558.38
2018/2019,Real Murcia,988.98
2018/2019,Valladolid,1318.71
2018/2019,Barcelona,1773.47
2018/2019,Celta,1408.72
2018/2019,CD Logroñés,745.9
2018/2019,Mallorca,1206.03
2018/2019,Real Oviedo,1007.85
2018/2019,Málaga,1212.46
2018/2019,Elche,1216.32
2018/2019,CD Castellón,705.32
2018/2019,Rayo,1299.44
2018/2019,Tenerife,1103.42
2018/2019,Real Burgos,729.99
2018/2019,Deportivo,1250.84
2018/2019,Albacete,1001.36
2018/2019,Real Racing,1066.52
2018/2019,UE Lleida,847.63
2018/2019,SD Compostela,1018.16
2018/2019,CP Mérida,919.72
2018/2019,UD Salamanca,857.16
2018/2019,Hércules CF,1055.2
2018/2019,CF Extremadura,969.92
2018/2019,Alavés,1396.45
2018/2019,Villarreal,1476.95
2018/2019,Numancia,1054.12
2018/2019,RC Recreativo,1070.07
2018/2019,Getafe,1532.47
2018/2019,Levante,1438.4
2018/2019,Gimnàstic de Tarragona,1050.87
2018/2019,Almería,1185.2
2018/2019,Xerez CD,1189.14
2018/2019,Granada,1127.88
2018/2019,Eibar,1449.09
2018/2019,Córdoba,1098.36
2018/2019,Leganés,1422.57
2018/2019,Girona,1332.06
2018/2019,Huesca,1395.94
2019/2020,Sporting,1231.84
2019/2020,Athletic,1414.4
2019/2020,Valencia,1412.82
2019/2020,Espanyol,1268.44
2019/2020,Cádiz CF,980.71
2019/2020,Las Palmas,1131.49
2019/2020,Zaragoza,1134.28
2019/2020,Sevilla,1585.68
2019/2020,Osasuna,1376.21
2019/2020,Atlético,1607.63
2019/2020,Betis,1350.91
2019/2020,CE Sabadell,653.42
2019/2020,Real Sociedad,1460.88
2019/2020,Real Madrid,1700.3
2019/2020,Real Murcia,963.98
2019/2020,Valladolid,1362.53
2019/2020,Barcelona,1692.67
2019/2020,Celta,1361.91
2019/2020,CD Logroñés,720.9
2019/2020,Mallorca,1313.08
2019/2020,Real Oviedo,982.85
2019/2020,Málaga,1187.46
2019/2020,Elche,1191.32
2019/2020,CD Castellón,680.32
2019/2020,Rayo,1274.44
2019/2020,Tenerife,1078.42
2019/2020,Real Burgos,704.99
2019/2020,Deportivo,1225.84
2019/2020,Albacete,976.36
2019/2020,Real Racing,1041.52
2019/2020,UE Lleida,822.63
2019/2020,SD Compostela,993.16
2019/2020,CP Mérida,894.72
2019/2020,UD Salamanca,832.16
2019/2020,Hércules CF,1030.2
2019/2020,CF Extremadura,944.92
2019/2020,Alavés,1309.46
2019/2020,Villarreal,1518.88
2019/2020,Numancia,1029.12
2019/2020,RC Recreativo,1045.07
2019/2020,Getafe,1435.73
2019/2020,Levante,1412.59
2019/2020,Gimnàstic de Tarragona,1025.87
2019/2020,Almería,1160.2
2019/2020,Xerez CD,1164.14
2019/2020,Granada,1436.28
2019/2020,Eibar,1390.31
2019/2020,Córdoba,1073.36
2019/2020,Leganés,1385.6
2019/2020,Girona,1307.06
2019/2020,Huesca,1370.94
2020/2021,Sporting,1206.84
2020/2021,Athletic,1404.5
2020/2021,Valencia,1393.25
2020/2021,Espanyol,1243.44
2020/2021,Cádiz CF,1244.62
2020/2021,Las Palmas,1106.49
2020/2021,Zaragoza,1109.28
2020/2021,Sevilla,1567.79
2020/2021,Osasuna,1389.53
2020/2021,Atlético,1647.86
2020/2021,Betis,1471.98
2020/2021,CE Sabadell,628.42
2020/2021,Real Sociedad,1498.58
2020/2021,Real Madrid,1702.39
2020/2021,Real Murcia,938.98
2020/2021,Valladolid,1263.62
2020/2021,Barcelona,1656.98
2020/2021,Celta,1449.71
2020/2021,CD Logroñés,695.9
2020/2021,Mallorca,1288.08
2020/2021,Real Oviedo,957.85
2020/2021,Málaga,1162.46
2020/2021,Elche,1281.13
2020/2021,CD Castellón,655.32
2020/2021,Rayo,1249.44
2020/2021,Tenerife,1053.42
2020/2021,Real Burgos,679.99
2020/2021,Deportivo,1200.84
2020/2021,Albacete,951.36
2020/2021,Real Racing,1016.52
2020/2021,UE Lleida,797.63
2020/2021,SD Compostela,968.16
2020/2021,CP Mérida,869.72
2020/2021,UD Salamanca,807.16
2020/2021,Hércules CF,1005.2
2020/2021,CF Extremadura,919.92
2020/2021,Alavés,1305.62
2020/2021,Villarreal,1509.05
2020/2021,Numancia,1004.12
2020/2021,RC Recreativo,1020.07
2020/2021,Getafe,1336.9
2020/2021,Levante,1322.79
2020/2021,Gimnàstic de Tarragona,1000.87
2020/2021,Almería,1135.2
2020/2021,Xerez CD,1139.14
2020/2021,Granada,1325.45
2020/2021,Eibar,1276.37
2020/2021,Córdoba,1048.36
2020/2021,Leganés,1360.6
2020/2021,Girona,1282.06
2020/2021,Huesca,1324.04
2021/2022,Sporting,1181.84
2021/2022,Athletic,1449.51
2021/2022,Valencia,1382.46
2021/2022,Espanyol,1305.19
2021/2022,Cádiz CF,1346.94
2021/2022,Las Palmas,1081.49
2021/2022,Zaragoza,1084.28
2021/2022,Sevilla,1554.09
2021/2022,Osasuna,1335.59
2021/2022,Atlético,1588.23
2021/2022,Betis,1519.83
2021/2022,CE Sabadell,603.42
2021/2022,Real Sociedad,1467.14
2021/2022,Real Madrid,1680.44
2021/2022,Real Murcia,913.98
2021/2022,Valladolid,1238.62
2021/2022,Barcelona,1634.94
2021/2022,Celta,1398.79
2021/2022,CD Logroñés,670.9
2021/2022,Mallorca,1270.02
2021/2022,Real Oviedo,932.85
2021/2022,Málaga,1137.46
2021/2022,Elche,1324.56
2021/2022,CD Castellón,630.32
2021/2022,Rayo,1263.31
2021/2022,Tenerife,1028.42
2021/2022,Real Burgos,654.99
2021/2022,Deportivo,1175.84
2021/2022,Albacete,926.36
2021/2022,Real Racing,991.52
2021/2022,UE Lleida,772.63
2021/2022,SD Compostela,943.16
2021/2022,CP Mérida,844.72
2021/2022,UD Salamanca,782.16
2021/2022,Hércules CF,980.2
2021/2022,CF Extremadura,894.92
2021/2022,Alavés,1232.76
2021/2022,Villarreal,1522.02
2021/2022,Numancia,979.12
2021/2022,RC Recreativo,995.07
2021/2022,Getafe,1357.51
2021/2022,Levante,1354.59
2021/2022,Gimnàstic de Tarragona,975.87
2021/2022,Almería,1110.2
2021/2022,Xerez CD,1114.14
2021/2022,Granada,1301.17
2021/2022,Eibar,1251.37
2021/2022,Córdoba,1023.36
2021/2022,Leganés,1335.6
2021/2022,Girona,1257.06
2021/2022,Huesca,1299.04
2022/2023,Sporting,1156.84
2022/2023,Athletic,1373.46
2022/2023,Valencia,1353.39
2022/2023,Espanyol,1289.56
2022/2023,Cádiz CF,1332.87
2022/2023,Las Palmas,1056.49
2022/2023,Zaragoza,1059.28
2022/2023,Sevilla,1423.27
2022/2023,Osasuna,1375.78
2022/2023,Atlético,1617.47
2022/2023,Betis,1446.89
2022/2023,CE Sabadell,578.42
2022/2023,Real Sociedad,1533.54
2022/2023,Real Madrid,1579.86
2022/2023,Real Murcia,888.98
2022/2023,Valladolid,1274.43
2022/2023,Barcelona,1626.71
2022/2023,Celta,1340.22
2022/2023,CD Logroñés,645.9
2022/2023,Mallorca,1354.93
2022/2023,Real Oviedo,907.85
2022/2023,Málaga,1112.46
2022/2023,Elche,1274.77
2022/2023,CD Castellón,605.32
2022/2023,Rayo,1283.27
2022/2023,Tenerife,1003.42
2022/2023,Real Burgos,629.99
2022/2023,Deportivo,1150.84
2022/2023,Albacete,901.36
2022/2023,Real Racing,966.52
2022/2023,UE Lleida,747.63
2022/2023,SD Compostela,918.16
2022/2023,CP Mérida,819.72
2022/2023,UD Salamanca,757.16
2022/2023,Hércules CF,955.2
2022/2023,CF Extremadura,869.92
2022/2023,Alavés,1207.76
2022/2023,Villarreal,1517.46
2022/2023,Numancia,954.12
2022/2023,RC Recreativo,970.07
2022/2023,Getafe,1344.36
2022/2023,Levante,1329.59
2022/2023,Gimnàstic de Tarragona,950.87
2022/2023,Almería,1278.38
2022/2023,Xerez CD,1089.14
2022/2023,Granada,1276.17
2022/2023,Eibar,1226.37
2022/2023,Córdoba,998.36
2022/2023,Leganés,1310.6
2022/2023,Girona,1385.83
2022/2023,Huesca,1274.04
2023/2024,Sporting,1131.84
2023/2024,Athletic,1480.31
2023/2024,Valencia,1340.72
2023/2024,Espanyol,1264.56
2023/2024,Cádiz CF,1237.27
2023/2024,Las Palmas,1218.96
2023/2024,Zaragoza,1034.28
2023/2024,Sevilla,1347.32
2023/2024,Osasuna,1337.81
2023/2024,Atlético,1528.85
2023/2024,Betis,1425.32
2023/2024,CE Sabadell,553.42
2023/2024,Real Sociedad,1454.11
2023/2024,Real Madrid,1707.87
2023/2024,Real Murcia,863.98
2023/2024,Valladolid,1249.43
2023/2024,Barcelona,1631.06
2023/2024,Celta,1343.89
2023/2024,CD Logroñés,620.9
2023/2024,Mallorca,1325.04
2023/2024,Real Oviedo,882.85
2023/2024,Málaga,1087.46
2023/2024,Elche,1249.77
2023/2024,CD Castellón,580.32
2023/2024,Rayo,1278.67
2023/2024,Tenerife,978.42
2023/2024,Real Burgos,604.99
2023/2024,Deportivo,1125.84
2023/2024,Albacete,876.36
2023/2024,Real Racing,941.52
2023/2024,UE Lleida,722.63
2023/2024,SD Compostela,893.16
2023/2024,CP Mérida,794.72
2023/2024,UD Salamanca,732.16
2023/2024,Hércules CF,930.2
2023/2024,CF Extremadura,844.92
2023/2024,Alavés,1342.58
2023/2024,Villarreal,1468.44
2023/2024,Numancia,929.12
2023/2024,RC Recreativo,945.07
2023/2024,Getafe,1284.85
2023/2024,Levante,1304.59
2023/2024,Gimnàstic de Tarragona,925.87
2023/2024,Almería,1231.32
2023/2024,Xerez CD,1064.14
2023/2024,Granada,1181.27
2023/2024,Eibar,1201.37
2023/2024,Córdoba,973.36
2023/2024,Leganés,1285.6
2023/2024,Girona,1542.45
2023/2024,Huesca,1249.04
2024/2025,Sporting,1106.84
2024/2025,Athletic,1530.04
2024/2025,Valencia,1393.94
2024/2025,Espanyol,1345.44
2024/2025,Cádiz CF,1212.27
2024/2025,Las Palmas,1217.11
2024/2025,Zaragoza,1009.28
2024/2025,Sevilla,1304.91
2024/2025,Osasuna,1415.36
2024/2025,Atlético,1563.66
2024/2025,Betis,1445.95
2024/2025,CE Sabadell,528.42
2024/2025,Real Sociedad,1327.65
2024/2025,Real Madrid,1657.34
2024/2025,Real Murcia,838.98
2024/2025,Valladolid,1075.39
2024/2025,Barcelona,1702.77
2024/2025,Celta,1410.07
2024/2025,CD Logroñés,595.9
2024/2025,Mallorca,1319.33
2024/2025,Real Oviedo,857.85
2024/2025,Málaga,1062.46
2024/2025,Elche,1224.77
2024/2025,CD Castellón,555.32
2024/2025,Rayo,1362.69
2024/2025,Tenerife,953.42
2024/2025,Real Burgos,579.99
2024/2025,Deportivo,1100.84
2024/2025,Albacete,851.36
2024/2025,Real Racing,916.52
2024/2025,UE Lleida,697.63
2024/2025,SD Compostela,868.16
2024/2025,CP Mérida,769.72
2024/2025,UD Salamanca,707.16
2024/2025,Hércules CF,905.2
2024/2025,CF Extremadura,819.92
2024/2025,Alavés,1350.49
2024/2025,Villarreal,1528.44
2024/2025,Numancia,904.12
2024/2025,RC Recreativo,920.07
2024/2025,Getafe,1300.47
2024/2025,Levante,1279.59
2024/2025,Gimnàstic de Tarragona,900.87
2024/2025,Almería,1206.32
2024/2025,Xerez CD,1039.14
2024/2025,Granada,1156.27
2024/2025,Eibar,1176.37
2024/2025,Córdoba,948.36
2024/2025,Leganés,1301.94
2024/2025,Girona,1304.85
2024/2025,Huesca,1224.04
